coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
eos,11 Jun 2017,26 Jun 2017,15.0,338.0,1,blockchain,4,185000000.0,N/A,N/A,0.99,55121,40,N/A,0.02,13613000,0.19,0.09,1.35,1.32,0.075,1.325,0.014,0.016
iota,24 Nov 2017,20 Dec 2017,26.0,161.0,12,saas,N/A,N/A,N/A,N/A,N/A,2,8,N/A,0.0,25425600,-0.2,0.12,1.83,1.76,0.07,-0.191,0.007,0.008
tron,07 Sep 2017,08 Sep 2017,1.0,264.0,3,blockchain,1,70000000.0,70000000.0,1.0,0.0019,100000,31,N/A,0.046,48512,0.15,0.09,1.5,1.46,-0.073,2.187,0.026,0.025
neo,8 Aug 2017,7 Sep 2017,30.0,265.0,3,blockchain,16,28056944.0,N/A,N/A,0.03,4,32,318875,17.616,1349,0.12,0.08,1.33,1.3,0.04,-0.665,0.017,0.006
qtum,12 Mar 2017,17 Mar 2017,5.0,439.0,7,blockchain,18,15000000.0,N/A,1.0,0.3,14091,9,163767,19.633,11221600,0.23,0.06,0.98,0.93,0.071,0.623,0.008,0.005
omisego,23 Jun 2017,23 Jul 2017,30.0,311.0,7,fintech,5,25000000.0,25000000.0,1.0,0.23,N/A,13,275336,1.533,750698,0.37,0.31,4.86,4.82,-0.059,-1.101,0.016,0.004
icon,22 Sep 2017,22 Sep 2017,0.0,250.0,8,transportation,41,42750000.0,42800000.0,1.0,0.11,21035,30,102251,3.519,71509,0.34,0.32,5.1,5.05,-0.086,-1.848,0.017,0.018
zilliqa,27 Dec 2017,04 Jan 2018,8.0,146.0,12,blockchain,N/A,22000000.0,22000000.0,1.0,0.0038,30058,30,N/A,34.8,4921770,-0.37,-0.14,-2.21,-2.3,-0.358,-1.883,0.002,0.002
aeternity,29 May 2017,19 Jun 2017,21.0,345.0,5,saas,15,24426689.0,N/A,N/A,0.28,N/A,4,278,1.484,1518,0.39,0.09,1.42,1.42,0.026,0.393,0.017,0.009
0x,15 Aug 2017,15 Sep 2017,31.0,257.0,1,saas,6,24000000.0,24000000.0,1.0,0.07,N/A,8,43765,2.206,5232600,0.23,0.12,1.97,1.97,-0.256,-1.107,0.016,0.011
bytom,20 Jun 2017,20 Jul 2017,30.0,314.0,3,saas,5,22554000.0,N/A,N/A,0.05,N/A,2,17772,1.256,7543670,0.18,0.05,0.77,0.77,-0.084,-1.893,0.013,0.01
golem,13 Nov 2016,13 Nov 2016,0.0,563.0,5,saas,15,8000000.0,N/A,1.0,0.01,97,0,137892,56.708,33778300,0.01,0.1,0.2,0.2,0.574,2.318,0.012,0.01
wanchain,01 Oct 2017,01 Nov 2017,31.0,210.0,3,blockchain,17,35990000.0,36000000.0,1.0,0.34,47457,0,N/A,11.382,189439000,0.18,0.06,0.96,1.08,-0.582,-5.352,0.003,-0.021
populous,24 Jul 2017,24 Jul 2017,0.0,310.0,4,fintech,5,10220400.0,991001144.0,0.01,0.25,N/A,0,22840,12.32,2704070,0.2,0.11,1.69,1.75,-0.059,-4.943,0.012,-0.023
augur,17 Aug 2015,1 Oct 2015,45.0,972.0,1,saas,13,5000000.0,N/A,0.8,0.6,N/A,0,433,1.45,728,0.09,0.14,2.18,2.34,0.027,-0.636,0.009,0.001
status,20 Jun 2017,20 Jun 2017,0.0,344.0,6,saas,12,10000000.0,N/A,N/A,0.04,N/A,0,100920,0.404,13747700,-0.21,0.04,0.66,0.72,0.159,-0.511,0.008,-0.015
aion,24 Nov 2017,24 Dec 2017,30.0,157.0,12,blockchain,N/A,N/A,N/A,N/A,1.0,11240,0,N/A,-0.374,20958,0.12,0.22,3.46,3.5,-0.134,-5.057,0.018,-0.022
nebulas,8 Dec 2017,16 Dec 2017,8.0,169.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,12063,2,22485,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.016
loopring,1 Aug 2017,16 Aug 2017,15.0,287.0,3,saas,3,45000000.0,N/A,1.0,0.06,N/A,0,27534,0.747,200829,-0.05,0.12,1.93,1.99,-0.143,-0.17,0.014,-0.02
cybermiles,21 Nov 2017,21 Dec 2017,30.0,160.0,1,saas,9,30881582.0,30900000.0,1.0,0.0524,70113,0,235086,2.447,12580000,-0.09,0.01,0.22,0.28,-0.015,-4.5,0.007,0.015
komodo,15 Oct 2016,16 Nov 2016,32.0,560.0,12,saas,N/A,1983781.0,N/A,N/A,0.38,N/A,0,88576,-0.708,22487,0.02,0.12,1.88,1.89,-0.003,-2.852,0.022,-0.016
digixdao,29 Mar 2016,30 Mar 2016,1.0,791.0,7,saas,N/A,55000004.0,N/A,N/A,4.2,N/A,0,15071,6.543,1900,-0.05,-0.01,-0.14,-0.07,0.031,-1.966,0.006,-0.024
ark,05 Nov 2016,09 Dec 2016,34.0,537.0,12,blockchain,N/A,22000000.0,N/A,N/A,0.1,43,0,N/A,-0.657,133793,0.32,0.26,4.19,4.25,-0.166,-2.125,0.017,-0.014
dentacoin,1 Oct 2017,1 Nov 2017,31.0,210.0,5,insurance services,19,1923507.0,28800000.0,0.07,0.0,1454,0,110,0.0,228296,0.04,0.06,0.94,0.98,-0.189,-1.091,0.025,-0.003
elastos,01 Jan 2018,22 Jan 2018,21.0,128.0,3,blockchain,N/A,94073200.0,94100000.0,1.0,18.09,17111,0,N/A,1.259,33745700,0.19,-0.02,-0.34,-0.24,-0.438,1.739,0.003,-0.003
bancor,12 Jun 2017,12 Jun 2017,0.0,352.0,12,saas,6,15300000.0,N/A,N/A,3.92,6573,0,810,4.097,16871,-0.16,-0.07,-1.04,-0.97,-0.003,-1.341,0.001,-0.005
cryptonex,01 Sep 2017,30 Sep 2017,29.0,242.0,12,other,N/A,N/A,N/A,N/A,N/A,2341,0,N/A,0.0,79554,-0.03,0.12,1.88,1.95,-0.224,-0.5,0.009,-0.01
fusion,1 Feb 2018,10 Feb 2018,9.0,109.0,7,fintech,20,42185216.0,42200000.0,1.0,2.06,10418,0,7564,0.592,1440790,-0.04,0.12,1.87,1.98,-0.209,-4.205,0.011,-0.001
veritaseum,25 Apr 2017,26 May 2017,31.0,369.0,1,blockchain,2,6480882.0,N/A,N/A,12.0,1782,0,23232,3.047,450758,0.22,0.13,2.02,2.02,-262.331,-1.83,194.18,-0.005
electroneum,14 Sep 2017,20 Oct 2017,36.0,222.0,4,blockchain,15,39934610.0,40000000.0,1.0,0.01,49257,0,123654,6.736,2464330,-0.13,0.08,1.26,1.31,0.093,-2.591,0.002,-0.003
substratum,14 Aug 2017,14 Sep 2017,31.0,258.0,1,blockchain,6,13800000.0,45000000.0,0.31,0.07,12646,0,1160,-0.333,41819,0.29,0.28,4.47,4.54,-0.246,-4.375,0.017,-0.026
dragonchain,2 Oct 2017,2 Nov 2017,31.0,209.0,1,saas,8,13700000.0,16689535.8,0.82,0.07,N/A,0,73642,2.853,1142060,0.37,0.26,4.08,4.14,0.109,-3.568,0.013,-0.022
kin,12 Sep 2017,26 Sep 2017,14.0,246.0,1,saas,7,48594816.0,75000000.0,0.65,0.0,N/A,0,24540,0.0,372049,-0.08,-0.01,-0.17,-0.07,-0.145,-2.261,0.012,-0.003
holo,29 Mar 2018,28 Apr 2018,30.0,32.0,7,telecommunications,8,20388500.0,20400000.0,1.0,0.0002,8018,0,4698,2.84,5764530,0.26,2.05,4.1,4.17,0.67,2.33,0.023,0.02
storm,07 Nov 2017,08 Dec 2017,31.0,173.0,1,fintech,14,30716420.0,27600000.0,1.0,0.0113,9936,0,26588,0.43,330757,0.68,0.15,2.39,2.45,-0.238,-2.295,0.018,-0.024
bnktothefuture,05 Feb 2018,15 Feb 2018,10.0,104.0,12,fintech,N/A,33000000.0,N/A,N/A,0.1,N/A,0,N/A,-0.22,40890,0.31,0.2,3.11,3.21,0.011,0.602,0.019,-0.007
gifto,14 Dec 2017,14 Dec 2017,0.0,167.0,3,entertainment,13,10000000.0,10000000.0,1.0,0.1,56530,0,16483,2.489,44959800,0.32,0.12,1.93,1.98,-0.07,-4.341,0.007,-0.025
power-ledger,8 Sep 2017,6 Oct 2017,28.0,240.0,9,energy,17,13232290.0,N/A,N/A,0.09,16601,9,918,-0.381,1017460,0.51,0.32,5.09,5.05,0.057,-1.093,0.016,0.008
civic,21 Jun 2017,22 Jun 2017,1.0,342.0,1,saas,2,33000000.0,33000000.0,1.0,0.1,8903,0,86336,0.767,9750800,0.18,0.14,2.26,2.33,-0.245,-1.5,0.009,-0.005
dropil,7 Feb 2018,7 Mar 2018,28.0,84.0,1,fintech,6,60000000.0,31679999.999999996,1.0,0.00317,718,0,6708,0.985,78904,-0.05,0.06,0.99,1.1,0.021,0.932,0.005,0.003
salt,01 Aug 2017,15 Aug 2017,14.0,288.0,12,fintech,N/A,48500000.0,48500000.0,1.0,0.89,783,0,N/A,3.876,4174650,-0.17,0.0,0.08,0.16,-0.08,-3.636,0.0,-0.024
nexo,17 Mar 2018,15 Apr 2018,29.0,45.0,6,fintech,18,52500000.0,52500000.0,1.0,0.1,64443,0,N/A,0.85,3226150,0.04,0.34,0.68,0.76,-0.704,0.941,0.003,0.008
decentraland,8 Aug 2017,8 Aug 2017,0.0,295.0,10,entertainment,13,24137000.0,20000000.0,1.0,0.02,N/A,0,3,0.237,688849,-0.21,-0.01,-0.19,-0.12,-0.119,-1.582,0.015,-0.022
storiqa,28 Nov 2017,29 Jan 2018,62.0,121.0,3,saas,11,25000000.0,25000000.0,1.0,0.0,30971,0,10892,0.0,271889,-0.09,0.11,1.8,1.91,-0.021,11.565,0.025,0.077
quantstamp,17 Nov 2017,16 Dec 2017,29.0,165.0,1,fintech,10,31320000.0,31300000.0,1.0,0.07,24208,0,N/A,0.304,28481900,0.18,0.23,3.59,3.64,-0.322,-1.518,0.013,-0.006
neblio,6 Aug 2017,20 Aug 2017,14.0,283.0,1,fintech,2,14834923.0,N/A,0.07,0.2,N/A,0,N/A,2.146,257746,0.2,0.24,3.77,3.83,-0.11,0.465,0.022,-0.021
monaco,18 May 2017,18 Jun 2017,31.0,346.0,6,fintech,4,26700000.0,N/A,0.1,2.88,7313,0,64506,-0.142,1549870,-0.1,0.2,3.1,3.14,0.048,-1.829,0.014,-0.02
storj,19 May 2017,25 May 2017,6.0,370.0,1,saas,15,30000000.0,30000000.0,1.0,0.5,N/A,0,82860,0.097,211542,0.08,0.11,1.71,1.76,-0.011,-0.518,0.009,-0.016
bottos,31 Dec 2017,30 Jan 2018,30.0,120.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,2.296,18592600,-0.1,-0.12,-1.97,-1.88,-0.161,-2.588,0.003,-0.008
revain,21 Aug 2017,4 Sep 2017,14.0,268.0,2,saas,11,12513346.0,400.0,1.0,0.05,2356,0,6398,0.558,107140,0.26,0.38,6.0,6.08,0.091,0.218,0.015,-0.018
tenx,24 Jun 2017,24 Jun 2017,0.0,340.0,7,fintech,10,80000000.0,N/A,N/A,0.87,115,0,1717,53.943,303595,0.05,0.16,2.47,2.51,-0.135,-0.271,0.007,-0.018
request-network,13 Oct 2017,17 Oct 2017,4.0,229.0,5,fintech,7,33600000.0,33600000.0,1.0,0.06,13879,1,765,0.013,5914220,0.13,0.27,4.23,4.17,-0.187,-1.126,0.011,0.025
cindicator,12 Sep 2017,12 Oct 2017,30.0,230.0,2,blockchain,12,15000000.0,15000000.0,1.0,0.01,7972,0,38807,1.258,971989,-0.44,0.06,0.89,0.98,-0.142,-1.976,0.014,-0.019
iconomi,25 Aug 2016,29 Sep 2016,35.0,608.0,5,saas,26,10000000.0,N/A,0.85,0.11,N/A,0,912,1.433,14652,0.13,0.1,1.6,1.65,-0.095,-0.406,0.01,-0.017
aragon,17 May 2017,17 May 2017,0.0,378.0,5,saas,2,25000000.0,N/A,N/A,0.74,N/A,0,6785,1.054,2745280,0.28,0.09,1.43,1.52,0.011,0.488,0.007,-0.01
singularitynet,19 Dec 2017,19 Dec 2017,0.0,162.0,6,saas,9,32847814.0,32800000.0,1.0,0.1,15697,0,16485,14.2,17465100,0.09,0.0,0.08,0.12,-0.135,-9.206,0.002,-0.011
arcblock,3 Feb 2018,3 Feb 2018,0.0,116.0,1,blockchain,4,45000000.0,45000000.0,1.0,0.5,38546,0,32353,1.54,94865600,-0.38,0.07,1.09,1.23,-0.069,-0.953,0.0,-0.009
time-new-bank,18 Nov 2017,23 Nov 2017,5.0,192.0,7,saas,10,14360000.0,14400000.0,1.0,0.02,26248,0,14821,0.761,10625600,0.34,0.2,3.17,3.13,-0.147,0.772,0.009,0.006
lympo,17 Feb 2018,28 Feb 2018,11.0,91.0,5,entertainment,11,16857899.0,12700000.0,1.0,0.0217,13057,0,6183,-0.258,176692,0.26,0.21,3.41,3.49,-0.072,4.5,0.028,0.04
medibloc,27 Nov 2017,15 Dec 2017,18.0,166.0,7,saas,17,21271251.0,30000000.0,0.71,0.0088,5388,0,10541,1.26,645796,0.53,0.13,1.99,2.04,-0.39,-1.424,0.011,-0.003
enjin-coin,3 Oct 2017,31 Oct 2017,28.0,215.0,7,entertainment,8,22959609.0,25000000.0,0.92,0.03,13110,1,N/A,-0.332,742008,0.02,0.28,4.4,4.36,-0.144,-2.007,0.015,0.005
poa-network,17 Nov 2017,17 Nov 2017,0.0,198.0,1,saas,19,12500000.0,12500000.0,1.0,0.0724,10905,0,N/A,7.763,79376200,-0.34,0.06,0.99,0.94,-0.35,-1.621,-0.001,0.004
gnosis,24 Apr 2017,24 Apr 2017,0.0,401.0,5,saas,10,12500000.0,N/A,1.0,29.85,N/A,0,67861,-1.0,22984,-0.01,-0.02,-0.32,-0.29,-0.961,9.559,0.007,-0.018
particl,16 Mar 2017,12 Apr 2017,27.0,413.0,12,other,N/A,750000.0,N/A,N/A,1.0,N/A,0,N/A,5.95,983921,-0.06,0.08,1.26,1.36,-0.212,-1.388,0.007,-0.022
metal,9 Jun 2017,9 Jun 2017,0.0,355.0,1,blockchain,7,N/A,N/A,1.0,0.18,205,0,32712,8.278,2843520,0.35,0.3,4.71,4.78,-0.237,-0.165,0.01,-0.015
sophiatx,7 Dec 2017,17 Dec 2017,10.0,164.0,6,saas,21,23470356.0,82300000.0,0.29,0.0716,5556,0,15562,5.361,2148170,0.35,0.08,1.19,1.26,-0.121,-0.165,0.005,-0.005
credits,15 Feb 2018,28 Feb 2018,13.0,91.0,7,saas,9,22570394.0,20000000.0,1.0,0.17,27242,0,18233,1.4,3014620,0.28,0.17,2.64,2.72,0.026,-1.006,0.013,-0.005
sonm,15 Jun 2017,19 Jun 2017,4.0,345.0,2,saas,13,42000000.0,N/A,N/A,0.59,7983,0,273,-0.116,86186,-0.56,-0.1,-1.66,-1.59,-0.08,-2.735,0.005,-0.007
docademic,29 Jan 2018,15 Apr 2018,76.0,45.0,10,insurance services,13,1100000.0,N/A,N/A,0.017,6942,0,10463,0.388,716822,0.42,3.36,6.72,6.75,4.096,8.255,0.194,0.164
dent,12 Jul 2017,26 Jul 2017,14.0,308.0,3,telecommunications,8,1923507.0,28800000.0,0.07,0.0,1454,0,35619,0.0,71565,0.16,0.1,1.65,1.73,-0.169,-3.443,0.03,-0.024
bluzelle,18 Jan 2018,2 Feb 2018,15.0,117.0,7,saas,10,19500000.0,19500000.0,1.0,0.12,23344,0,32294,4.648,41214300,0.11,-0.0,-0.02,0.16,-0.654,-5.887,0.004,-0.028
boscoin,09 May 2017,10 May 2017,1.0,385.0,12,blockchain,17,17920000.0,N/A,N/A,0.044,N/A,0,N/A,18.93,27934,0.19,0.19,3.05,3.17,-0.05,-4.934,0.002,-0.026
smartmesh,29 Nov 2017,28 Dec 2017,29.0,153.0,7,saas,9,15691200.0,16800000.0,0.93,0.0167,21734,0,3724,0.868,1131310,0.39,0.15,2.32,2.42,0.049,1.0,0.013,-0.02
ignis,5 Aug 2017,14 Oct 2017,70.0,228.0,5,other,3,15000000.0,21600000.0,0.69,1.05,N/A,0,26998,1.2,18762,0.26,0.07,1.16,1.2,-1.222,-3.698,0.007,-0.028
thekey,15 Jan 2018,15 Jan 2018,0.0,135.0,3,other,14,22000000.0,22000000.0,1.0,0.0352,74594,0,29039,-0.186,9008350,0.0,-0.07,-1.09,-0.85,-0.277,-3.472,-0.002,-0.015
blockv,19 Oct 2017,25 Oct 2017,6.0,217.0,1,saas,18,21599100.0,40000000.0,0.54,0.42,3712,0,6362,-0.948,492028,0.34,0.23,3.6,3.71,-0.014,-3.651,0.01,-0.021
jibrel-network,27 Nov 2017,1 Jan 2018,35.0,153.0,6,blockchain,9,30000000.0,30000000.0,1.0,0.25,2174,30,6391,0.689,10089800,0.06,-0.1,-1.64,-1.62,-0.511,-1.341,0.003,0.018
crypterium,31 Oct 2017,14 Jan 2018,75.0,136.0,5,fintech,15,51656963.0,47000000.0,1.0,1.5,34206,0,16262,0.54,183715,-0.38,-0.05,-0.75,-0.59,-0.294,-11.057,-0.003,-0.011
cube,16 Feb 2018,15 Mar 2018,27.0,76.0,4,saas,12,N/A,N/A,N/A,N/A,1648,0,5952,0.0,6757530,-0.13,0.0,0.04,0.22,-0.124,-2.5,-0.005,-0.015
apex,01 Jan 2018,28 Jan 2018,27.0,122.0,12,blockchain,N/A,25000000.0,25000000.0,1.0,0.16,16038,0,N/A,0.055,9262900,0.4,3.21,6.42,6.67,-0.463,-6.085,-0.002,-0.041
origintrail,15 Jan 2018,17 Jan 2018,2.0,133.0,5,saas,11,21513600.0,21500000.0,1.0,0.1,10049,0,540,1.364,3901170,0.19,0.06,0.93,1.07,-0.184,-3.472,0.009,-0.005
ambrosus,22 Sep 2017,22 Oct 2017,30.0,224.0,6,insurance services,20,32507330.0,97800000.0,0.33,0.29,4225,6,16834,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.002
tokenpay,7 Dec 2017,17 Jan 2018,41.0,133.0,7,blockchain,10,40948500.0,40900000.0,1.0,5.46,17412,0,N/A,-0.626,1515520,0.43,3.43,6.86,6.94,-0.365,-4.047,0.031,-0.037
crypto20,16 Oct 2017,30 Nov 2017,45.0,185.0,1,fintech,6,37698373.0,75000000.0,0.5,1.1,N/A,6,9565,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.009
zebi,05 Mar 2018,31 Mar 2018,26.0,60.0,7,fintech,17,8561100.0,8600000.0,1.0,0.0333,15341,0,16141,2.483,5412550,0.14,1.11,2.22,2.4,-0.286,-4.434,0.001,-0.031
genesis-vision,15 Oct 2017,15 Nov 2017,31.0,200.0,2,fintech,10,2836732.0,23000000.0,0.12,1.0,8045,24,19015,1.68,683667,0.39,0.27,4.32,4.33,-0.038,-1.938,0.019,0.011
ethlend,25 Nov 2017,30 Nov 2017,5.0,181.0,5,blockchain,25,17860000.0,17900000.0,1.0,0.02,19144,0,45837,-0.069,728686,0.43,0.26,4.09,4.19,-0.298,-3.264,0.015,-0.028
telcoin,11 Dec 2017,30 Dec 2017,19.0,151.0,8,blockchain,19,25000000.0,25000000.0,1.0,0.001,20986,0,24812,5.031,842193,0.04,-0.05,-0.81,-0.67,-0.288,-1.066,-0.003,-0.014
edgeless,28 Feb 2017,21 Mar 2017,21.0,435.0,12,saas,0,2000000.0,N/A,N/A,0.04,1239,0,39708,-0.23,18692,0.26,0.18,2.87,2.94,0.031,-2.066,0.015,-0.014
red-pulse,8 Oct 2017,8 Oct 2017,0.0,238.0,3,fintech,11,14508923.0,14500000.0,1.0,0.03,6382,8,32635,0.849,5395350,-0.05,0.23,3.57,3.58,-0.243,-0.615,0.011,0.01
adex,30 Jun 2017,30 Jun 2017,0.0,334.0,2,fintech,16,10000000.0,N/A,1.0,0.24,4565,0,55851,3.417,5581960,-0.26,-2.08,-4.17,-3.77,-0.053,-2.028,-0.017,-0.02
bread,16 Dec 2017,24 Dec 2017,8.0,157.0,6,blockchain,6,20021300.0,20000000.0,1.0,0.78,46528,0,54136,1.423,56455400,0.23,-0.03,-0.47,-0.29,-0.063,-3.066,-0.003,-0.024
pillar,15 Jul 2017,17 Jul 2017,2.0,317.0,4,saas,30,20000000.0,N/A,N/A,0.1,746,0,12567,-0.256,101274,0.24,0.07,1.03,1.2,-0.151,-0.84,0.01,-0.031
banca,26 Feb 2018,26 Feb 2018,0.0,93.0,7,other,17,20000000.0,20000000.0,1.0,0.002,9026,0,6877,-0.655,856596,0.06,0.27,4.21,4.34,-0.722,-4.453,0.035,0.012
paypie,15 Oct 2017,16 Oct 2017,1.0,226.0,1,saas,11,26000000.0,26000000.0,1.0,0.37,4222,0,7687,-0.02,256062,0.06,0.15,2.35,2.44,0.011,-10.038,0.013,-0.034
eidoo,4 Oct 2017,16 Oct 2017,12.0,226.0,6,saas,5,27676992.0,51700000.0,0.54,2.3,5434,0,25420,0.035,39128,-0.02,0.15,2.37,2.62,-0.162,-4.075,0.003,-0.028
airswap,10 Oct 2017,10 Nov 2017,31.0,201.0,1,fintech,4,12600000.0,12600000.0,1.0,0.3,4412,0,N/A,0.345,3654270,-0.15,0.06,0.95,1.17,-0.067,-1.217,0.005,-0.02
babb,6 Feb 2018,6 Mar 2018,28.0,85.0,4,fintech,13,20000000.0,20000000.0,1.0,0.0,14036,0,9289,0.0,286765,-0.01,0.23,3.64,3.78,-0.357,-0.613,0.024,-0.007
singulardtv,2 Oct 2016,2 Oct 2016,0.0,605.0,1,saas,0,7500000.0,N/A,N/A,0.02,265,0,36385,-0.067,165271,-0.14,-0.11,-1.72,-1.45,-0.097,-6.708,0.009,-0.032
wepower,1 Feb 2018,2 Feb 2018,1.0,117.0,7,saas,20,40000000.0,40000000.0,1.0,0.13,52173,0,35656,0.35,782690,-0.0,-0.04,-0.7,-0.52,-0.038,-0.632,-0.004,-0.024
appcoins,13 Dec 2017,20 Dec 2017,7.0,161.0,7,saas,18,15300000.0,15300000.0,1.0,0.1,11869,0,27212,34.3,124119000,-0.07,-0.12,-1.97,-1.82,-0.106,-0.085,-0.008,-0.021
