coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,beta_top10
ethersportz,9 Jan 2018,10 Jan 2018,1.0,144.0,1,entertainment,6,3500000.0,3500000.0,1.0,0.5,1777,0,N/A,N/A,N/A,0.123,71545,0.12,0.04,0.57,0.57,1.06,1.5
chronologic,25 Aug 2017,25 Sep 2017,31.0,251.0,12,fintech,3,7400000.0,N/A,N/A,0.1,N/A,0,N/A,0.3,N/A,108.4,23084,-0.02,-0.0,-0.02,-0.02,-0.011,7.5
crycash,12 Dec 2017,31 Jan 2018,50.0,123.0,5,blockchain,6,N/A,N/A,N/A,1.1,3120,0,1433,0.42,N/A,-0.574,50581,0.07,0.57,1.14,1.14,0.135,4.0
darcrus,21 Dec 2016,26 Dec 2016,5.0,524.0,12,saas,1,29742.0,N/A,0.23,0.02,1544,0,9389,N/A,N/A,0.05,6268,0.36,0.17,2.66,2.66,-0.502,-15.5
skincoin,21 Jun 2017,21 Jul 2017,30.0,317.0,2,blockchain,5,3292183.0,10000000.0,0.33,0.04,731,0,6712,N/A,N/A,-0.08,9042,-0.18,0.0,0.0,0.0,-0.348,-6.0
qvolta,10 Oct 2017,20 Oct 2017,10.0,226.0,7,blockchain,4,729652.0,4700000.0,0.16,0.3,1599,0,1,N/A,N/A,0.064,40141,0.06,0.14,2.28,2.28,0.104,-18.0
farad,1 Oct 2017,31 Oct 2017,30.0,215.0,12,energy,11,N/A,N/A,N/A,0.13,76,0,3419,0.56,N/A,-0.395,39680,0.05,0.12,1.95,1.95,-0.126,8.0
transcodium,1 Mar 2018,30 Apr 2018,60.0,34.0,4,saas,7,10977534.0,30000000.0,0.37,0.376,6174,0,N/A,0.52,N/A,-0.625,488145,-0.19,-1.5,-3.0,-3.0,-0.92,-20.5
biotron,27 Mar 2018,05 Apr 2018,9.0,59.0,12,other,N/A,N/A,N/A,N/A,0.22,2438,0,N/A,0.46,N/A,-0.814,955,0.16,1.3,2.61,2.61,0.328,-0.5
earth-token,15 Dec 2017,15 Mar 2018,90.0,80.0,11,saas,11,N/A,N/A,N/A,0.16,13052,0,20266,0.22,N/A,-0.699,509033,-0.36,-2.82,-5.64,-5.64,-0.269,-1.0
tigereum,8 Dec 2017,18 Dec 2017,10.0,167.0,4,saas,15,N/A,12000000.0,N/A,0.067,N/A,0,3585,N/A,N/A,1.166,195263,0.29,0.14,2.27,2.27,-0.129,-16.5
phi-token,8 Mar 2018,21 Mar 2018,13.0,74.0,5,other,16,3800000.0,N/A,N/A,1.61803,26276,0,3815,0.2,N/A,-0.631,58338,-0.09,-0.69,-1.38,-1.38,0.162,-1.5
bitjob,12 Sep 2017,13 Oct 2017,31.0,235.0,12,saas,26,2726424.0,12000000.0,0.23,0.39,2181,4,6866,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.5
soma,27 Sep 2017,14 Nov 2017,48.0,201.0,5,ecommerce,11,6049621.0,39800000.0,0.15,0.74,2133,0,4962,0.54,N/A,-0.686,6114,0.39,0.15,2.37,2.37,-0.246,33.0
wild-crypto,05 Sep 2017,11 Sep 2017,6.0,265.0,12,other,N/A,N/A,N/A,N/A,N/A,611,0,N/A,N/A,N/A,0.0,4468,0.03,0.13,2.08,2.08,-0.282,-3.0
blocklancer,16 Jan 2018,16 Feb 2018,31.0,107.0,5,fintech,5,30000010.0,90000000.0,0.33,0.09,N/A,0,50,0.68,N/A,-0.795,34683,0.24,0.1,1.62,1.62,0.984,-1.0
boutspro,11 Mar 2018,25 Mar 2018,14.0,70.0,4,blockchain,32,N/A,7000000.0,N/A,0.007,13017,0,9845,N/A,N/A,2.189,100240,0.04,0.3,0.6,0.6,-0.422,-4.5
fundyourselfnow,13 Jun 2017,31 Jul 2017,48.0,307.0,12,other,9,N/A,N/A,N/A,N/A,5173,0,N/A,N/A,N/A,0.0,27307,0.24,0.14,2.2,2.2,0.174,-7.5
nitro,30 Nov 2017,26 Dec 2017,26.0,159.0,3,saas,11,2694156.0,58000000.0,0.05,0.97,16090,0,3739,0.84,N/A,0.577,131540,0.07,0.07,1.18,1.18,-0.378,3.5
plancoin,24 Jan 2018,23 Feb 2018,30.0,100.0,12,blockchain,N/A,1700000.0,N/A,N/A,0.6,N/A,0,1909,N/A,N/A,-0.584,282642,0.03,0.21,0.41,0.41,0.801,16.0
elcoin,08 Jan 2018,05 Feb 2018,28.0,118.0,5,saas,18,N/A,30000000.0,N/A,N/A,690,0,4519,N/A,N/A,0.0,11,-0.12,0.16,2.61,2.61,98.761,-15.0
suretly,11 Jul 2017,11 Aug 2017,31.0,296.0,2,fintech,6,28000001.0,N/A,N/A,30.93,N/A,0,1292,0.54,N/A,-0.578,12585,-0.12,-0.04,-0.67,-0.67,-0.024,-8.0
mcap,27 Apr 2017,7 May 2017,10.0,392.0,1,blockchain,N/A,44287318.0,N/A,N/A,4.0,N/A,0,152,N/A,N/A,0.635,3797,-0.1,-0.14,-2.3,-2.3,0.035,-1.5
oceanlab,07 Aug 2017,31 Aug 2017,24.0,276.0,12,blockchain,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,29066,0.34,0.17,2.64,2.64,-0.144,-2.0
pluscoin,26 Sep 2017,10 Oct 2017,14.0,236.0,8,blockchain,13,9598000.0,N/A,N/A,1.49,117,0,247,0.22,N/A,-0.999,67444,-0.11,0.08,1.23,1.23,-0.737,-35.0
bitair,17 Sep 2017,31 Oct 2017,44.0,215.0,12,other,N/A,21510000.0,N/A,N/A,0.019,N/A,0,N/A,0.4,N/A,-0.239,209739,0.14,-0.02,-0.32,-0.32,-0.219,1.5
regalcoin,22 Aug 2017,22 Sep 2017,31.0,254.0,12,blockchain,N/A,N/A,N/A,N/A,0.97,5521,0,9579,N/A,N/A,10.742,3808740,0.4,0.22,3.52,3.52,-0.253,7.0
crystal-clear,8 Sep 2017,8 Oct 2017,30.0,238.0,2,transportation,7,3377550.0,N/A,N/A,3.09,N/A,0,4524,N/A,N/A,-0.1,21319,-0.14,-0.02,-0.39,-0.39,-0.499,-8.5
ccore,9 Nov 2017,30 Nov 2017,21.0,185.0,12,fintech,8,1400000.0,N/A,N/A,0.45,2042,0,3928,0.26,N/A,1.163,15228,0.11,0.12,1.84,1.84,0.253,15.5
fujinto,10 Aug 2017,10 Sep 2017,31.0,266.0,8,blockchain,4,17566200.0,N/A,0.6,0.07,N/A,0,943,0.24,N/A,4.452,580241,-0.34,-0.24,-3.74,-3.74,0.353,38.0
peerguess,28 Oct 2017,09 Dec 2017,42.0,178.0,12,saas,13,N/A,N/A,N/A,0.06,1064,0,2036,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hedge,15 Sep 2017,15 Oct 2017,30.0,231.0,5,blockchain,9,2100000.0,15000000.0,0.14,0.67,N/A,0,3781,N/A,N/A,0.063,35573,0.16,0.13,2.06,2.06,-0.663,-30.5
srcoin,1 Mar 2018,31 Mar 2018,30.0,64.0,12,insurance services,11,4000000.0,N/A,N/A,0.006,1236,0,953,0.26,N/A,-0.185,132146,0.04,0.31,0.63,0.63,4.41,-1.0
ecobit,9 Apr 2017,15 Jun 2017,67.0,353.0,12,other,N/A,N/A,N/A,N/A,0.03,286,0,1126,N/A,N/A,0.078,41297,-0.03,-0.0,-0.0,-0.0,0.212,4.0
apx,1 May 2017,21 May 2017,20.0,378.0,12,blockchain,N/A,2749185.0,900.0,1.0,0.6,N/A,0,5255,N/A,N/A,4.267,714525,0.21,0.07,1.18,1.18,0.055,1.0
blockpool,01 May 2017,30 Jun 2017,60.0,338.0,12,other,10,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,39542,-0.11,0.18,2.93,2.93,-0.065,3.0
starta,4 Jul 2017,3 Aug 2017,30.0,304.0,2,fintech,13,50000009.0,N/A,N/A,1.0,N/A,0,N/A,N/A,N/A,-0.204,6482,0.17,0.05,0.73,0.73,0.25,0.5
tokenbox,14 Nov 2017,28 Nov 2017,14.0,187.0,2,saas,8,8000000.0,20000000.0,0.4,1.0,1964,0,2412,0.76,N/A,0.5,116601,-0.15,-0.12,-1.91,-1.91,0.139,-26.0
sense,7 Nov 2017,21 Nov 2017,14.0,194.0,1,telecommunications,7,15000000.0,15000000.0,1.0,0.1,2437,0,9019,0.44,N/A,-0.433,13019,0.03,-0.16,-2.58,-2.58,-0.061,3.0
flypme,19 Sep 2017,26 Sep 2017,7.0,257.0,5,other,1,1610000.0,N/A,N/A,0.07,22,0,N/A,0.38,N/A,1.578,15603,0.1,0.21,3.3,3.3,0.098,-2.0
dcorp,01 Jun 2017,29 Jun 2017,28.0,339.0,12,fintech,4,N/A,N/A,N/A,N/A,1724,0,N/A,N/A,N/A,0.0,199375,-0.09,0.13,2.12,2.12,0.174,26.5
neverdie,30 Jun 2017,1 Sep 2017,63.0,275.0,1,entertainment,2,5800000.0,10000000.0,0.58,0.25,10,0,1484,N/A,N/A,-0.193,43022,-0.08,-0.16,-2.59,-2.59,0.17,2.0
centra,03 Aug 2017,02 Oct 2017,60.0,244.0,1,fintech,19,26100000.0,26100000.0,1.0,0.73,1188,0,48,0.56,N/A,-0.527,2484,0.24,0.14,2.22,2.22,-0.203,28.5
wandx,27 Oct 2017,21 Nov 2017,25.0,194.0,7,other,6,86654.0,N/A,N/A,0.09,2368,0,6390,0.34,N/A,4.727,90663,0.3,0.04,0.6,0.6,-0.008,6.0
monster-byte,6 Jul 2017,4 Aug 2017,29.0,303.0,10,entertainment,2,10000002.0,N/A,1.0,0.11,N/A,0,2202,0.44,N/A,-0.271,16860,0.13,0.13,2.1,2.1,-0.382,7.5
musiconomi,27 Aug 2017,27 Sep 2017,31.0,249.0,12,other,6,N/A,N/A,N/A,0.01,N/A,0,N/A,0.46,N/A,10.468,735,0.09,0.12,1.87,1.87,0.93,3.5
etheriya,21 Jun 2017,10 Aug 2017,50.0,297.0,12,saas,N/A,30000.0,N/A,0.85,0.25,N/A,0,595,N/A,N/A,5.4,23481,0.18,0.02,0.34,0.34,1.004,-7.0
global-jobcoin,28 Oct 2017,6 Dec 2017,39.0,179.0,6,saas,4,N/A,N/A,N/A,1.31,N/A,0,12061,N/A,N/A,-0.817,14648,0.14,0.13,2.13,2.13,-0.964,62.0
bitpark-coin,15 Sep 2016,20 Oct 2016,35.0,591.0,8,fintech,1,29195.0,N/A,N/A,0.1,N/A,0,1110,N/A,N/A,-0.817,103,-0.02,0.08,1.2,1.2,0.117,-8.0
newbium,1 May 2016,31 May 2016,30.0,733.0,12,saas,N/A,38180.0,600000.0,0.06,N/A,N/A,0,3274,N/A,N/A,0.0,11,0.27,0.22,3.51,3.51,0.299,9.0
blockpay,23 Aug 2016,15 Sep 2016,23.0,626.0,6,saas,1,53836010.0,N/A,N/A,0.12,N/A,0,N/A,N/A,N/A,0.762,483,-0.17,-0.01,-0.13,-0.13,0.267,-13.5
escroco,30 Oct 2017,28 Nov 2017,29.0,189.0,12,fintech,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-5.023
tigercoin,25 Feb 2018,25 Mar 2018,28.0,70.0,12,fintech,N/A,N/A,N/A,N/A,N/A,504,0,N/A,0.32,N/A,0.0,0.0,-0.24,-0.13,-2.12,-2.12,-1.074,5.5
bankcoin,5 Nov 2016,19 Dec 2016,44.0,531.0,10,fintech,2,1000000.0,N/A,0.16,0.25,20,0,2529,N/A,N/A,0.998,47742,0.11,0.23,3.65,3.65,0.431,-2.0
300-token,30 Jun 2017,6 Jul 2017,6.0,332.0,12,blockchain,N/A,16724.0,N/A,0.7,79.76,N/A,0,822,N/A,N/A,7.334,22581,-0.15,0.03,0.48,0.48,-0.14,2.0
abjcoin,1 Sep 2017,30 Oct 2017,59.0,216.0,12,blockchain,10,N/A,1290000.0,N/A,0.5,1816,0,N/A,0.28,N/A,0.183,87523,0.09,0.23,3.57,3.57,0.667,-41.0
libra-credit,01 May 2018,01 Jun 2018,31.0,2.0,7,fintech,10,26400000.0,26400000.0,1.0,0.12,97530,0,N/A,0.3,N/A,1.488,4569100,-1.07,-1.86,-3.72,-3.72,1.12,10.5
skrumble-network,05 May 2018,07 May 2018,2.0,27.0,12,fintech,31,16472800.0,16500000.0,1.0,0.0515,55048,0,1945,0.3,N/A,0.873,32789700,-0.17,-1.35,-2.69,-2.69,-0.27,5.0
pundi-x,21 Jan 2018,21 Jan 2018,0.0,133.0,12,saas,4,35000000.0,35000000.0,1.0,2.1,22960,0,5257,0.86,N/A,-1.0,970635,-0.19,0.29,4.53,4.53,0.173,-2.0
educoin,18 Mar 2018,25 Mar 2018,7.0,70.0,7,social services,4,N/A,N/A,N/A,N/A,374,0,7,N/A,N/A,0.0,4,0.22,0.16,2.51,2.51,15.831,0.0
apis,4 Mar 2018,3 Apr 2018,30.0,61.0,7,blockchain,21,N/A,3600.0,N/A,0.0036,N/A,0,N/A,0.2,N/A,0.028,4766240,1.75,3.03,6.06,6.06,-3.345,21.5
aware,04 Jan 2018,30 Jan 2018,26.0,124.0,12,fintech,N/A,N/A,N/A,N/A,0.063,600,0,N/A,0.32,N/A,0.495,1391910,-0.31,-0.19,-2.96,-2.96,0.074,0.5
crowd-machine,01 Apr 2018,22 May 2019,416.0,-353.0,7,saas,13,30795000.0,100000000.0,0.30795,N/A,6098,0,5078,0.62,N/A,0.0,220487,-0.28,-2.2,-4.39,-4.39,0.398,6.0
spindle,9 May 2018,15 May 2018,6.0,19.0,4,blockchain,12,N/A,N/A,N/A,0.23,30540,0,23764,0.4,N/A,-0.905,2379600,0.88,1.52,3.04,3.04,1.794,6.5
silent-notary,15 Mar 2018,12 Apr 2018,28.0,52.0,2,blockchain,4,N/A,N/A,N/A,0.0,30358,0,6238,0.32,N/A,0.0,339139,2.16,3.75,7.49,7.36,-0.743,-21.667
seele,03 Apr 2018,03 Apr 2018,0.0,61.0,12,blockchain,N/A,12133800.0,12100000.0,1.0,0.0324,28776,0,N/A,0.72,N/A,8.3,1750560,-6.51,-11.27,-22.54,-23.73,0.605,5.0
patron,27 Mar 2018,9 May 2018,43.0,25.0,8,saas,26,40000000.0,35000000.0,1.0,0.5,14586,0,21640,0.64,N/A,-0.864,933787,0.47,0.81,1.63,1.53,-0.494,-1.0
gems,30 Jan 2018,01 Feb 2018,2.0,122.0,12,fintech,2,N/A,N/A,N/A,0.075,32810,0,19368,0.52,N/A,-0.689,4746,-0.07,0.01,0.16,-0.12,-0.886,-1047.0
exchange-union,05 Aug 2017,29 Aug 2017,24.0,278.0,12,other,4,N/A,N/A,N/A,1.0,N/A,0,N/A,0.66,N/A,1.29,304953,0.19,0.19,3.0,2.81,0.087,1.0
key,23 Sep 2017,23 Oct 2017,30.0,223.0,12,fintech,N/A,21780000.0,N/A,N/A,0.01,N/A,0,N/A,0.34,N/A,0.063,496995,-0.18,-1.41,-2.81,-3.51,-0.224,8.0
tokia,4 Dec 2017,15 Mar 2018,101.0,80.0,4,fintech,7,30000000.0,N/A,N/A,1.0,8301,0,1629,0.5,N/A,-0.813,641864,0.37,0.63,1.26,1.1,1.084,-20.0
cfun,18 Dec 2017,19 Dec 2017,1.0,166.0,7,saas,9,15000000.0,15000000.0,1.0,0.03,4572,0,5571,N/A,N/A,2.506,14156000,-0.17,-0.18,-2.79,-3.06,0.068,-3.333
phantasma,27 May 2018,28 May 2018,1.0,6.0,12,other,13,9650000.0,9700000.0,0.99,0.23,21466,0,4887,N/A,N/A,1.476,799685,-1.35,-2.34,-4.67,-5.3,0.951,-6.0
stockchain,16 Mar 2018,19 Mar 2018,3.0,76.0,7,other,18,2693450.0,N/A,N/A,0.011,87815,0,54750,N/A,N/A,1.704,271642,0.31,-0.03,-0.52,-0.77,0.08,-6.667
eximchain,01 Feb 2018,13 Feb 2018,12.0,110.0,12,blockchain,16,20000000.0,20000000.0,1.0,0.33,10954,0,N/A,0.34,N/A,1.01,185434,3.37,5.83,11.67,11.13,-0.965,-14.0
xyo-network,20 Mar 2018,21 May 2018,62.0,13.0,1,other,25,11951000.0,48000000.0,0.25,0.01,16443,0,7172,0.66,N/A,-0.398,245464,-0.21,-0.37,-0.74,-0.99,-0.102,-18.667
hero,14 Sep 2017,14 Oct 2017,30.0,232.0,5,entertainment,13,36416517.0,173900000.0,0.21,0.04,1954,0,4495,0.38,N/A,7.513,88370,-0.05,-0.09,-0.17,-0.36,-0.554,31.333
naviaddress,1 Mar 2018,31 Mar 2018,30.0,64.0,7,saas,6,16900000.0,20000000.0,0.84,0.05,100000,0,194,0.38,N/A,-0.518,194240,-0.19,-0.32,-0.65,-1.02,-1.213,-3.333
blockcdn,25 Nov 2016,25 Dec 2016,30.0,525.0,12,other,1,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,31955,0.47,0.11,1.7,1.41,0.066,-11.667
contractnet,10 Mar 2018,20 Mar 2018,10.0,75.0,3,other,10,2661505.0,N/A,N/A,0.6,N/A,0,1210,N/A,N/A,0.2,294035,0.49,0.86,1.71,1.47,-2.816,-1.0
sphre-air,1 Jun 2017,30 Jun 2017,29.0,338.0,4,saas,4,5272732.0,N/A,N/A,0.19,N/A,0,N/A,N/A,N/A,-0.222,10531,0.17,0.13,2.1,1.74,-0.113,1.0
etherecash,15 Nov 2017,12 Dec 2017,27.0,173.0,12,fintech,8,40000000.0,100000000.0,0.4,1.0,N/A,0,1166,N/A,N/A,-0.216,248868,-0.15,-0.12,-1.95,-2.39,0.549,73.0
blockmesh,28 Feb 2018,31 Mar 2018,31.0,64.0,12,blockchain,13,3486451.0,10000000.0,0.35,0.05,5117,0,12904,0.42,N/A,-0.289,87339,-0.97,-1.68,-3.36,-3.7,-0.915,-5.333
faceter,15 Feb 2018,30 Mar 2018,43.0,65.0,11,other,9,28610352.0,40800000.0,0.7,0.0349,2094,0,51,N/A,N/A,-0.43,135291,-0.25,-0.42,-0.85,-1.34,-0.846,-1.0
betterbetting,15 Dec 2017,31 Jan 2018,47.0,123.0,5,other,16,5500000.0,30000000.0,0.18,0.1,2960,0,2560,N/A,N/A,-0.1,196193,-0.04,-0.3,-0.59,-0.98,0.32,24.0
indicoin,30 Sep 2017,1 Nov 2017,32.0,214.0,12,blockchain,9,23000.0,N/A,N/A,0.02,N/A,0,21440,0.26,N/A,0.711,60496,0.16,0.05,0.73,0.56,0.334,-48.333
amon,4 Mar 2018,4 Apr 2018,31.0,60.0,5,other,8,1332600.0,25000000.0,0.05,0.05,7073,0,2447,N/A,N/A,0.264,152217,-0.43,-3.39,-6.78,-7.11,0.375,22.667
utrum,20 May 2018,20 Jun 2018,31.0,-17.0,12,other,7,N/A,5000000.0,N/A,0.12,7267,0,1327,N/A,N/A,-0.249,21504,0.13,1.04,2.09,1.36,-0.429,-6.0
budbo,29 Jan 2018,5 Mar 2018,35.0,90.0,7,blockchain,33,30000000.0,52500000.0,0.57,0.35,3332,0,5286,0.34,N/A,-0.666,67317,0.1,0.81,1.63,1.54,0.991,4.0
sisa,20 Nov 2017,20 Dec 2017,30.0,165.0,12,fintech,5,N/A,N/A,N/A,0.23,722,0,2978,N/A,N/A,-0.488,32828,-0.02,0.09,1.49,1.38,-0.421,-16.667
zengold,26 May 2017,9 Jun 2017,14.0,359.0,3,saas,0,1908960.0,N/A,0.63,0.03,N/A,0,N/A,N/A,N/A,10.473,13093,0.18,0.17,2.64,2.57,1.968,0.333
smoke,20 Apr 2018,25 May 2018,35.0,9.0,10,telecommunications,6,25000.0,1900000.0,0.01,0.1,N/A,0,11855,N/A,N/A,-0.949,1761,0.03,0.12,1.88,1.84,3.857,2.667
plexcoin,20 Sep 2017,01 Oct 2017,11.0,245.0,12,fintech,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,27979,0.04,0.07,1.16,1.06,-0.071,-10.333
minex,15 May 2017,13 Jun 2017,29.0,355.0,2,blockchain,9,78985.0,N/A,N/A,6.18,N/A,0,10875,N/A,N/A,-0.89,8495,0.01,0.06,1.02,0.92,-0.17,-1.0
stex,25 Nov 2017,10 Dec 2017,15.0,175.0,2,blockchain,5,6700350.0,55000000.0,0.12,1.0,8088,0,930,N/A,N/A,-0.835,3009,0.22,0.13,2.02,2.02,-114.893,-3.333
fapcoin,15 Sep 2017,31 Oct 2017,46.0,215.0,12,entertainment,N/A,N/A,N/A,N/A,0.3,N/A,0,N/A,N/A,N/A,-0.463,32723,0.1,0.08,1.3,1.23,-1.041,-6.667
ox-fina,1 Jul 2017,31 Jul 2017,30.0,307.0,10,blockchain,N/A,N/A,N/A,N/A,0.07,N/A,0,854,N/A,N/A,-0.505,14630,0.2,0.09,1.39,1.3,-0.552,-1.0
anryze,12 Sep 2017,12 Oct 2017,30.0,234.0,2,blockchain,13,1759099.0,6000000.0,0.29,0.02,1041,0,N/A,0.5,N/A,0.291,670261,0.23,0.14,2.27,2.15,0.059,-3.667
solomonexchange,N/A,27 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0
hackspacecapital,N/A,20 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0
impakfinance,N/A,20 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0
