coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
naga,1 Dec 2017,15 Dec 2017,14,170,12,fintech,28,50020960,400000000,0.13,1,N/A,10,25,0.55,3010670,0.22,0.03,0.47,0.47,-0.049,-3,-0.001
modum,1 Sep 2017,22 Oct 2017,51,224,6,saas,17,1050000,N/A,N/A,1,2324,1,14281,-0.373,119265,0.35,0.25,3.9,3.9,-0.157,-6,0.013
zeepin,17 Jan 2018,17 Jan 2018,0,137,12,other,N/A,62600000,N/A,N/A,0.17,20549,1,N/A,0.155,14383200,-0.01,-0.1,-1.55,-1.55,-0.225,-10.5,-0.003
datawallet,5 Feb 2018,7 Mar 2018,30,88,1,other,13,40000000,30000000,1,0.18,6270,1,5647,-0.226,122971,-0.14,-0.14,-2.24,-2.24,0.321,-9.5,0.003
bitrent,1 Dec 2017,31 Mar 2018,120,64,4,saas,19,14627210,N/A,N/A,0.06,12901,1,6432,-0.336,156399,0.27,0.05,0.75,0.75,-0.032,-1,0.002
presearch,25 Jul 2017,31 Oct 2017,98,215,1,saas,10,16000000,N/A,N/A,0.25,N/A,2,1169,-0.151,98499,0.26,0.13,2.08,2.08,0.153,-13.5,0.014
qlink,27 Dec 2017,27 Jan 2018,31,127,7,transportation,14,19000000,N/A,N/A,0.1,9445,1,334,1.901,9911000,0.18,0.03,0.42,0.42,-0.406,-6.5,-0.001
mobilego,25 Apr 2017,25 May 2017,30,374,1,saas,6,53000000,N/A,N/A,0.76,2558,2,316,2.539,187166,-0.05,-0.01,-0.2,-0.2,-0.143,-4.5,0.001
lunyr,29 Mar 2017,28 Apr 2017,30,401,1,saas,3,3400000,N/A,N/A,1.61,N/A,1,33531,0.59,309766,0.07,0.08,1.22,1.22,-0.21,-4.5,0.016
etherparty,1 Oct 2017,29 Oct 2017,28,217,1,blockchain,26,33000000,N/A,N/A,0.1,6072,6,2,-0.565,180346,0.13,0.24,3.75,3.75,0.022,-12,0.011
yoyow,21 May 2017,24 May 2017,3,375,3,saas,N/A,4364760,N/A,0.3,0.02,3287,1,N/A,5.154,8194,-0.04,-0.01,-0.09,-0.09,-0.003,-4.5,0.01
decent,11 Sep 2016,6 Nov 2016,56,574,6,telecommunications,31,15000000,N/A,N/A,N/A,N/A,7,29919,0,121,0.2,0.17,2.72,2.72,0.155,-4.5,0.025
cashaa,6 Nov 2017,6 Dec 2017,30,179,4,fintech,11,18530000,N/A,N/A,0.1,7579,1,388,0.182,34753,-0.23,-0.13,-2.14,-2.14,0.198,10.5,0.004
universa,27 Oct 2017,27 Nov 2017,31,188,2,saas,25,28800000,99000000,0.29,0.01,14255,8,1124,4.161,763454,-0.49,-0.13,-1.99,-1.99,-0.294,-6.5,-0.009
odem,17 Feb 2018,18 Mar 2018,29,77,6,social services,12,4000000,N/A,N/A,N/A,N/A,1,3098,0,18548,0.47,3.75,7.5,7.5,0.469,-0.5,0.023
taas,27 Mar 2017,28 Apr 2017,32,401,7,fintech,4,7500000,N/A,0.74,1,N/A,4,141,-0.18,1571,0.08,0.22,3.54,3.54,0.054,-7,0.006
cobinhood,13 Sep 2017,22 Oct 2017,39,224,12,blockchain,5,13200000,N/A,N/A,0.07,12266,7,45237,-0.262,41446,0.22,0.25,3.91,3.91,0.157,-9,0.012
alphacat,12 Jan 2018,12 Jan 2018,0,142,12,fintech,N/A,N/A,N/A,N/A,N/A,8663,0,N/A,0,474748,-0.19,-0.07,-1.14,-1.14,-0.091,2,0.001
coss,8 Aug 2017,6 Sep 2017,29,270,7,saas,24,3200000,N/A,N/A,0.56,N/A,2,197,-0.919,116130,0.39,0.12,1.9,1.9,0.093,3,0.017
melon,15 Feb 2017,16 Feb 2017,1,472,6,other,2,N/A,N/A,N/A,N/A,42,1,N/A,0,57957,0.21,0.07,1.13,1.13,-0.098,-3.5,0.006
datum,29 Oct 2017,29 Nov 2017,31,186,6,saas,19,7200000,N/A,N/A,0.02,7966,4,36502,0.397,160521,0.6,0.18,2.92,2.92,-0.116,-5,0.006
viberate,5 Sep 2017,5 Sep 2017,0,271,5,entertainment,34,10714285,N/A,1,0.1,5606,7,32874,1.75,1490480,-0.19,-0.08,-1.24,-1.24,-0.157,-6.5,0.005
medicalchain,1 Feb 2018,1 Feb 2018,0,124,4,insurance services,10,23991953,24000000,1,0.2,26990,3,15703,0.588,122744,-0.12,-0.25,-4.03,-3.96,-0.068,0.383,-0.005
refereum,12 Feb 2018,12 Mar 2018,28,83,1,saas,14,40000000,N/A,N/A,0.01,99846,3,54068,1.043,1161020,-0.26,-0.04,-0.56,-0.56,0.032,-4.5,-0.004
propy,15 Aug 2017,15 Sep 2017,31,261,1,real estate,11,15077000,N/A,0.15,1,N/A,3,N/A,-0.255,26854,-0.1,-0.03,-0.52,-0.52,-0.048,-3.5,0.011
humaniq,6 Apr 2017,27 Apr 2017,21,402,4,saas,19,5163000,N/A,N/A,0.06,N/A,10,30580,0.178,420384,0.19,0.13,2,2,0.038,-1,0.009
bloom,30 Nov 2017,1 Jan 2018,32,155,1,saas,11,41420705,80500000,0.51,0.7,13588,3,440,1.714,101651,-0.32,-0.15,-2.35,-2.31,-0.127,-0.745,-0.005
firstblood,25 Sep 2016,26 Sep 2016,1,615,1,blockchain,13,5500000,N/A,N/A,0.08,14,1,31584,0.991,1255030,-0.2,-0.23,-3.61,-3.61,0.127,-6,0.008
bankex,28 Nov 2017,28 Dec 2017,30,157,1,fintech,9,70600000,140000,1,1.47,6275,4,7662,0.932,371912,-0.43,-0.22,-3.5,-3.5,-0.125,-5.5,-0.012
stk,31 Jan 2018,14 Feb 2018,14,109,1,blockchain,16,17000000,N/A,N/A,0.2,7273,3,10033,0.262,12919500,-0.23,-0.23,-3.68,-3.68,-0.296,-11,-0.006
mothership,7 Jul 2017,21 Jul 2017,14,317,5,saas,10,5406897,N/A,0.7,0.04,N/A,1,484,0.006,88727,0.49,0.24,3.74,3.74,-0.054,-3,0.01
stox,2 Aug 2017,4 Aug 2017,2,303,7,fintech,20,33000000,N/A,1,1.1,8984,6,13618,0.1,1294120,0.4,0.04,0.7,0.7,-0.088,-5.5,0.003
hive-project,3 Jul 2017,14 Aug 2017,42,293,5,fintech,18,8949421,N/A,N/A,0.02,N/A,1,3043,0.045,216,0.17,0.12,1.84,1.84,-0.045,-11,0.017
suncontract,28 Jun 2017,1 Aug 2017,34,306,5,energy,31,2000000,N/A,N/A,0.02,2,1,15081,1.128,35660,0.05,0.14,2.3,2.3,0.089,-6.5,0.016
cofound.it,31 May 2017,07 Jun 2017,7,370,5,fintech,9,14820030,12500000,1,0.12,1093,1,N/A,1.682,3663160,-0.2,0.04,0.66,0.67,0.005,-1.513,0.001
synereo,18 Sep 2016,18 Oct 2016,30,593,12,saas,0,4700000,38,1,0.19,N/A,1,26675,-0.988,241,0.23,0.24,3.83,3.83,-0.096,-7,0.013
adtoken,26 Jun 2017,26 Jun 2017,0,342,12,saas,N/A,10000000,N/A,N/A,0.02,N/A,1,6576,2.26,334,-0.07,0.05,0.87,0.87,-0.239,-4,0.007
everex,24 Jul 2017,31 Aug 2017,38,276,7,fintech,9,26700000,N/A,N/A,2.13,4651,2,14027,-0.103,1389230,0.12,0.04,0.62,0.62,0.108,-4,0.005
sentinel-chain,1 Mar 2018,10 Mar 2018,9,85,7,fintech,23,14400000,14400000,1,0.08,9410,1,4032,-0.184,1945280,0.52,4.14,8.29,8.29,-0.094,-7,0.012
chronobank,15 Dec 2016,15 Feb 2017,62,473,2,saas,1,5400000,N/A,N/A,10,N/A,7,19791,-0.06,42133,-0.26,0.03,0.44,0.44,-0.153,-68.5,0.007
lamden,1 Dec 2017,3 Jan 2018,33,151,6,fintech,15,10000000,10000000,1,0.091,9198,1,N/A,6.346,937600,0.03,-0.05,-0.83,-0.83,-0.338,-17,-0.003
karma,29 Nov 2017,15 Dec 2017,16,170,2,fintech,15,10000000,10000000,1,0.01,1226,1,4208,5.911,150439,-0.01,-0.17,-2.67,-2.67,-0.365,21,-0.006
dmarket,14 Nov 2017,01 Dec 2017,17,184,2,entertainment,4,19069000,N/A,N/A,0.18,1127,3,7220,4.398,18992,-0.03,0.06,1.02,1.02,0.118,-3,0.01
polybius,31 May 2017,30 Jun 2017,30,338,5,fintech,11,31000000,N/A,0.15,10,3547,5,9,-0.192,506294,-0.02,0.07,1.03,1.03,-0.364,-4.5,0.006
unibright,20 Apr 2018,20 May 2018,30,14,5,fintech,13,12604551,13542375,0.93,0.14,10419,0,5243,0.384,2400200,-0.72,-1.24,-2.49,-2.49,-1.284,-10,-0.029
morpheus-network,22 Mar 2018,22 Apr 2018,31,42,12,other,12,7500000,18000000,0.42,0.5,11928,0,5621,-0.193,193829,1.14,1.97,3.94,3.94,0.01,3.5,0.042
dadi,29 Jan 2018,29 Jan 2018,0,125,4,fintech,15,28750000,28750000,1,0.5,22236,1,30927,-0.112,2381560,-0.21,-0.05,-0.8,-0.8,0.025,-3.5,-0.005
monetha,31 Aug 2017,31 Aug 2017,0,276,5,fintech,11,37000000,N/A,1,0.19,4658,1,18938,0.502,2743890,-0.15,-0.11,-1.76,-1.76,-0.165,-4.5,0.003
aeron,19 Sep 2017,30 Oct 2017,41,216,10,transportation,11,56888532,N/A,N/A,0.5,19721,1,29747,-0.189,8757,0.13,0.16,2.58,2.58,0.116,-7.5,0.029
matchpool,2 Apr 2017,4 Apr 2017,2,427,12,saas,7,5800000,N/A,N/A,0.1,2218,1,N/A,1.41,610,0.18,0.12,1.84,1.84,0.057,-0.364,0.024
agrello,16 Jul 2017,17 Aug 2017,32,292,5,saas,13,30100000,43200000,0.7,0.56,4818,1,14800,-0.284,82770,-0.06,0,-0.03,-0.02,-0.057,-3.347,0.005
maecenas,7 Sep 2017,8 Oct 2017,31,238,4,saas,8,15750000,N/A,N/A,0.64,N/A,2,2275,-0.279,11868,0.09,0.17,2.68,2.68,-0.231,-18.5,0.024
daostack,01 May 2018,07 Jun 2018,37,-4,7,transportation,9,8000000,30000000,0.27,1,24392,9,5712,0.31,1927100,-0.36,-2.88,-5.75,-5.75,0.458,-8.5,-0.029
uptoken,16 Oct 2017,15 Dec 2017,60,170,1,fintech,9,18934021,100000000,0.19,0.1,21,1,3025,2.021,21597500,-0.43,-0.08,-1.21,-1.21,0.819,-3.5,-0.01
dimcoin,1 Jul 2017,27 Aug 2017,57,280,11,fintech,N/A,14005746,N/A,N/A,0.01,3081,8,N/A,23.562,1409400,-0.49,-0.22,-3.44,-3.44,0.118,-1.5,-0.005
bitclave,29 Nov 2017,29 Nov 2017,0,186,1,saas,19,25500000,25500000,1,0.1,7053,6,22627,0.505,957302,0.12,-0.01,-0.23,-0.23,-0.005,-2.5,-0.003
blocktix,7 Jul 2017,25 Jul 2017,18,313,5,entertainment,7,6981328,7500000,0.93,0.24,N/A,1,5965,-0.174,11878,0.29,0.07,1.17,1.17,0.052,-5,0.019
incent,1 Sep 2016,1 Sep 2016,0,640,9,blockchain,7,1000000,N/A,N/A,0.1,N/A,1,13232,-0.918,43,0.22,0.14,2.19,2.19,-0.027,0.5,0.031
cappasity,22 Feb 2018,22 Mar 2018,28,73,1,saas,5,2301451,20000000,0.12,0.01,58839,7,37586,2.315,887638,0.12,0.17,2.68,2.68,0.469,-3,0.014
peerplays,26 Feb 2017,14 May 2017,77,385,1,entertainment,7,5000000,N/A,N/A,4.6,1441,1,5443,1.446,10275,0.25,0.07,1.13,1.13,-0.347,29,0.008
carvertical,26 Dec 2017,4 Apr 2018,99,60,5,saas,20,6256586,N/A,N/A,0.0055,13365,3,N/A,1.65,451064,-0.05,-0.07,-1.18,-1.18,-0.734,-4,-0.008
sharder,22 Feb 2018,22 Mar 2018,28,73,12,other,N/A,N/A,N/A,N/A,0.044,10639,1,N/A,1.315,3209300,-0.17,-1.36,-2.71,-2.71,-0.422,-3,-0.011
envion,15 Dec 2017,14 Jan 2018,30,140,6,blockchain,12,10001227,105000000,0.1,1,22288,5,21263,-0.036,168394,-0.22,-0.13,-2,-2,-0.294,-4,-0.014
lala-world,5 Jan 2018,5 Feb 2018,31,118,7,saas,5,20000000,N/A,N/A,0.13,824,0,10035,-0.253,28433,-0.44,0,0.04,0.04,0.225,-5.5,0.008
indahash,29 Nov 2017,20 Dec 2017,21,165,5,saas,15,42000000,76800000,0.55,0.24,11698,9,9842,1.561,3113160,-0.2,-0.11,-1.73,-1.73,-0.327,-11,-0.012
covesting,24 Nov 2017,15 Jan 2018,52,139,7,saas,12,33241750,N/A,N/A,2.56,8956,9,10107,0.207,328108,-0.21,-0.12,-1.95,-1.95,-0.247,-4.5,-0.005
sureremit,10 Jan 2018,10 Feb 2018,31,113,1,saas,11,10000000,10000000,1,1,2052,1,4417,-0.963,35294,-0.22,0.02,0.31,0.31,-0.559,-6,0.004
selfkey,14 Jan 2018,14 Jan 2018,0,140,7,fintech,48,21780000,21780000,1,0.02,11338,1,0,2.327,31248100,-0.52,-0.26,-4.06,-4.06,-0.261,-2.5,-0.013
blockport,27 Jan 2018,31 Jan 2018,4,127,12,other,N/A,15000000,N/A,N/A,N/A,28427,1,N/A,0,1024180,0,0.07,1.04,1.04,-0.183,4.5,0.003
coinpoker,19 Jan 2018,26 Jan 2018,7,128,7,entertainment,15,52712179,N/A,N/A,0.05,4876,8,5219,0.95,350963,-0.38,-0.01,-0.18,-0.18,-0.515,3,-0.003
quantum,15 Apr 2017,15 May 2017,30,384,5,blockchain,5,4122700,N/A,N/A,0.05,N/A,1,9193,5.732,136233,0.19,0.06,0.93,0.93,-0.076,-8.5,0.005
hubii-network,17 Aug 2017,31 Aug 2017,14,276,7,other,15,6500000,N/A,N/A,N/A,N/A,2,4596,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lendingblock,15 Apr 2018,22 Apr 2018,7,42,4,blockchain,6,10000000,10000000,1,0.02,7743,5,6107,0.548,458040,-0.24,-1.88,-3.76,-3.76,-0.497,-6.5,-0.026
wetrust,2 Mar 2017,14 Apr 2017,43,417,1,saas,9,4978366,N/A,N/A,0.06,N/A,1,10,0.305,165713,0.24,0.2,3.11,3.03,-0.031,-0.652,0.008
bounty0x,1 Dec 2017,15 Dec 2017,14,170,12,saas,8,N/A,10000000,N/A,0.04,N/A,1,14472,0.899,1059090,0.37,0.13,2.06,2.06,0.689,-6,0.014
investfeed,23 Jul 2017,7 Aug 2017,15,300,1,saas,11,3400000,N/A,N/A,0,N/A,1,N/A,0,78892,0.1,0.1,1.55,1.55,-0.331,-3,0.01
worldcore,14 Oct 2017,15 Dec 2017,62,170,5,saas,14,25000000,100000000,0.25,0.1,3034,8,N/A,0.146,151573,0.41,0.14,2.23,2.23,0.08,-5,0.004
leadcoin,1 Mar 2018,11 Mar 2018,10,84,7,fintech,17,50000000,50000000,1,0.08,11596,2,1385,0.487,6963540,-0.02,0,0,0,-0.215,-8.5,-0.006
encrypgen,1 Jun 2017,18 Jul 2017,47,320,1,saas,7,10000005,N/A,N/A,0.03,N/A,1,4634,0.928,22870,0.44,0.24,3.78,3.78,-0.123,-11.5,0.025
mysterium,30 May 2017,30 May 2017,0,369,1,saas,8,13325693,N/A,N/A,0.89,2660,1,11968,1.461,1632900,-0.13,0.03,0.43,0.43,-0.259,-4.5,0.002
ip-exchange,28 Feb 2018,05 Mar 2018,5,90,12,saas,N/A,7904000,N/A,N/A,N/A,6390,1,N/A,0,539393,0.11,0.07,1.08,1.08,0.169,-1.5,0.009
helbiz,15 Feb 2018,4 Mar 2018,17,91,7,fintech,13,38646754,N/A,N/A,0.14,2106,1,37312,-0.907,756160,0.16,1.31,2.61,2.61,0.606,-8.5,0.029
aventus,6 Sep 2017,6 Sep 2017,0,270,4,entertainment,7,18780000,18800000,1,3.66,255,1,N/A,0.202,950718,-0.32,-0.01,-0.18,-0.18,0.081,-4,0.001
dovu,3 Oct 2017,17 Oct 2017,14,229,4,saas,6,6644682,28400000,0.23,0.11,125,2,N/A,-0.169,106502,0.09,0.14,2.24,2.24,0.303,-12.5,0.013
aidcoin,16 Jan 2018,1 Feb 2018,16,122,6,blockchain,36,18632900,18600000,1,0.65,4385,1,3101,0.236,1717320,-0.36,-0.23,-3.59,-3.59,-0.128,0,-0.004
spectiv,8 Dec 2017,31 Dec 2017,23,156,1,entertainment,8,7605767,10600000,0.72,0.5,N/A,2,3278,-0.966,118105,0.05,0.08,1.3,1.15,-0.144,0.187,0.013
connectjob,12 Feb 2018,30 Apr 2018,77,34,7,saas,24,10437623,12000000,0.87,0.25,7852,5,6378,-0.604,173329,-0.35,-2.76,-5.52,-5.52,0.074,-7,-0.014
adshares,7 Jul 2017,12 Jan 2018,189,142,12,fintech,2,11900000,N/A,N/A,5.26,1130,1,2245,-0.927,7590,0.19,0.09,1.48,1.48,-0.028,-11,0.017
atbcoin,15 Jul 2017,13 Sep 2017,60,263,12,other,N/A,20400000,N/A,N/A,0.9,2156,3,N/A,0.289,558166,-0.08,-0.02,-0.26,-0.26,-0.078,-0.5,-0.001
ink-protocol,01 Feb 2018,28 Feb 2018,27,95,1,blockchain,14,15000000,15000000,1,0.13,10353,1,N/A,-0.303,280064,-0.21,-0.04,-0.66,-0.66,-0.141,-0.5,-0.007
alis,1 Sep 2017,1 Oct 2017,30,245,8,saas,5,3705000,35600000,0.1,0.15,N/A,1,1753,0.413,337890,0.2,0.18,2.92,2.92,-0.1,-4,0.009
insights-network,28 Jan 2018,14 Feb 2018,17,109,7,blockchain,3,17376260,17400000,1,0.15,20936,0,N/A,-0.051,693393,-0.33,-0.04,-0.71,-0.71,-0.076,-5.5,-0.007
eroscoin,11 Oct 2017,15 Nov 2017,35,202,12,other,7,N/A,N/A,N/A,0.05,N/A,1,N/A,1.938,8548340,0.08,-0.07,-1.15,-1.22,0.011,-1.759,-0.003
commerceblock,28 Nov 2017,19 Dec 2017,21,166,4,fintech,7,8820470,25000000,0.35,0.06,1770,3,260,-0.338,85105,0.17,1.32,2.64,2.64,-0.738,-6.5,0.007
bitcrystals,4 Aug 2015,3 Sep 2015,30,1004,6,blockchain,7,20510,N/A,0.14,0.02,N/A,4,6102,-0.131,5586,-0.06,0.09,1.43,1.43,-0.066,-5,0.007
target-coin,15 Jul 2017,31 Aug 2017,47,276,12,blockchain,4,20711412,N/A,0.3,0.05,N/A,1,1625,-0.164,69996,0.03,0.09,1.46,1.46,-0.24,5,0.022
sportyco,21 Nov 2017,8 Dec 2017,17,177,5,fintech,19,5087896,16000000,0.32,0.12,12370,1,8910,0.812,31692,0,0.07,1.16,1.16,0.086,-11,0.001
airtoken,19 Sep 2017,19 Oct 2017,30,227,1,telecommunications,14,15000000,15000000,1,0.02,837,1,6303,-0.313,303295,-0.25,0.02,0.38,0.38,0.03,5,0.002
linker-coin,25 Nov 2017,31 Dec 2017,36,154,6,blockchain,20,10133235,10100000,1,0.22,2255,1,N/A,-0.588,164191,0.02,0.18,0.36,0.36,-0.098,-11.5,-0.004
peculium,21 Dec 2017,24 Jan 2018,34,130,5,fintech,52,9917634,2000000,1,0.01,N/A,3,16197,-0.583,69616,0,0.05,0.78,0.78,0.152,6,0.01
travelflex,13 Dec 2017,11 Jan 2018,29,143,12,other,N/A,N/A,N/A,N/A,0.28,104,3,N/A,-0.267,29538,-0.18,-0.03,-0.52,-0.52,-0.064,-2,0
bitdice,15 Aug 2017,15 Sep 2017,31,261,10,other,1,8748793,25000000,0.35,0.1,737,3,3499,0.495,60084,0.1,0.18,2.83,2.83,-0.136,13.5,0.005
payfair,1 Nov 2017,30 Nov 2017,29,185,2,saas,8,18291,N/A,N/A,0,2762,5,2331,0,41498,0.16,0.22,3.56,3.56,0.668,-15,0.03
fidentiax,6 Nov 2017,5 Dec 2017,29,180,7,saas,8,1566283,2900000,0.54,0.93,2482,1,3906,-0.701,77268,0.26,0.07,1.06,1.06,-0.217,3,0.001
biocoin,1 Nov 2017,18 Feb 2018,109,105,2,other,18,16000000,15000000,1,16,324,5,1258,-0.999,41016,-0.11,-0.18,-2.92,-2.92,0.079,-3,-0.004
jet8,28 Feb 2018,14 Mar 2018,14,81,7,telecommunications,51,32700000,36000000,0.91,0.0974,29449,1,2057,-0.683,871036,-0.47,-0.03,-0.4,-0.4,0.415,-6.5,-0.001
privatix,19 Oct 2017,16 Nov 2017,28,199,12,saas,16,2391939,15000000,0.16,3.3,1934,3,706,-0.055,99333,0.11,0.15,2.41,2.41,-0.128,0.5,0.024
publica,1 Nov 2017,16 Nov 2017,15,199,1,saas,21,1046210,1000000,1,0.1,1517,3,2273,1.547,1317120,-0.07,0.18,2.82,2.82,-0.038,-6.5,0.012
fintrux-network,07 Feb 2018,28 Feb 2018,21,95,7,other,6,N/A,N/A,N/A,N/A,N/A,4,N/A,0,102017,-0.04,-0.35,-0.69,-0.69,0.229,12,-0.024
fundrequest,20 Nov 2017,01 Dec 2017,11,184,5,blockchain,11,12121040,15000000,0.81,0.48,11577,0,13058,-0.491,55032,-2.4,-4.16,-8.32,-8.32,0.849,2.5,-0.027
aditus,30 Nov 2017,19 Dec 2017,19,166,7,saas,15,7100193,22500000,0.32,0.05,13525,1,N/A,-0.735,300285,0.4,3.16,6.32,6.32,0.282,-7,0.02
amlt,11 Dec 2017,29 Jan 2018,49,125,12,blockchain,18,19042042,16000000,1,0.39,4962,0,6591,-0.798,263017,-0.16,-0.01,-0.1,-0.1,0.026,-7.5,0
clearcoin,16 Nov 2017,31 Mar 2018,135,64,1,other,17,4350000,N/A,N/A,0.01,25175,3,N/A,0.551,93524,0.07,0.54,1.08,1.08,0.472,-0.5,-0.004
clearpoll,2 Oct 2017,26 Oct 2017,24,220,9,saas,9,N/A,1300000,N/A,0.13,890,2,120127,2.341,94539,-0.13,0.19,3.04,3.04,-0.129,-3,0.014
adhive,28 Feb 2018,14 Mar 2018,14,81,5,entertainment,17,17491749,17500000,1,0.17,16166,1,5535,-0.675,772548,0.12,0.93,1.86,1.86,-1.431,-3,-0.001
real,31 Aug 2017,30 Sep 2017,30,246,7,real estate,4,10604571,33000000,0.32,1.38,2014,7,4500,-0.268,13785,0,-0.02,-0.34,-0.34,0.105,-5,0.016
b2bx,2 Oct 2017,17 Nov 2017,46,198,2,saas,22,8078602,29500000,0.27,0.74,1971,7,3959,1.378,144393,-0.29,0.02,0.3,0.3,-0.252,-18.5,0.016
viuly,1 Nov 2017,15 Nov 2017,14,200,5,entertainment,3,N/A,30000000,N/A,0.17,6625,1,6230,-0.967,14913,0.32,0.25,4.03,4.03,0.119,-6,0.031
voise,6 May 2017,6 Jun 2017,31,362,5,saas,N/A,64651,N/A,N/A,N/A,9055,6,23937,0,3629,0.29,0.2,3.11,3.11,-2.08,41.5,0.084
auctus,10 Apr 2018,20 Apr 2018,10,44,7,blockchain,12,3865575,3900000,0.99,0.28,8626,3,9707,1.642,1413630,0.16,1.29,2.59,2.59,0.121,-12,-0.011
1world,5 Oct 2017,6 Nov 2017,32,209,1,blockchain,66,5000000,N/A,N/A,1.2,6943,1,7395,-0.657,357311,-0.08,-0.01,-0.12,-0.12,-0.223,6.5,0.008
zrcoin,11 May 2017,9 Jun 2017,29,359,2,blockchain,11,7000000,N/A,N/A,1.55,931,7,N/A,47.348,2303,0.08,0.03,0.5,0.5,-0.097,-3.5,0.007
