coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
eos,11 Jun 2017,26 Jun 2017,15.0,351.0,1,blockchain,4,185000000.0,N/A,N/A,0.99,59922,57,N/A,0.7,0.02,13613000,0.185,0.085,1.348,1.309,0.073,1.3,0.014,0.015
iota,24 Nov 2017,20 Dec 2017,26.0,174.0,12,saas,N/A,N/A,N/A,N/A,N/A,2,6,N/A,0.32,0.0,25425600,-0.204,0.116,1.84,1.766,0.063,0.238,0.007,0.007
tron,07 Sep 2017,08 Sep 2017,1.0,277.0,3,blockchain,1,70000000.0,70000000.0,1.0,0.0019,98258,31,N/A,0.62,0.046,48512,0.152,0.098,1.553,1.504,-0.068,1.778,0.024,0.023
neo,8 Aug 2017,7 Sep 2017,30.0,278.0,3,blockchain,16,28056944.0,N/A,N/A,0.03,4,31,321507,0.76,17.616,1349,0.118,0.083,1.323,1.292,0.039,-0.194,0.016,0.004
qtum,12 Mar 2017,17 Mar 2017,5.0,452.0,7,blockchain,18,15000000.0,15000000.0,1.0,0.3,14019,7,166979,N/A,19.633,11221600,0.231,0.064,1.017,0.961,0.064,0.801,0.008,0.004
omisego,23 Jun 2017,23 Jul 2017,30.0,324.0,7,fintech,5,25000000.0,25000000.0,1.0,0.23,N/A,11,280247,N/A,1.533,750698,0.366,0.305,4.848,4.865,-0.064,-1.489,0.015,-0.003
icon,22 Sep 2017,22 Sep 2017,0.0,263.0,8,transportation,30,42750000.0,42750000.0,1.0,0.11,21112,30,105777,0.5,3.519,71509,0.341,0.319,5.064,5.083,-0.084,-1.012,0.015,-0.001
zilliqa,27 Dec 2017,04 Jan 2018,8.0,159.0,12,blockchain,N/A,22000000.0,22000000.0,1.0,0.0038,30496,4,N/A,0.74,34.8,4921770,-0.363,-0.136,-2.16,-2.121,-0.363,-2.199,0.001,0.012
aeternity,29 May 2017,19 Jun 2017,21.0,358.0,5,saas,15,24426689.0,N/A,N/A,0.28,N/A,4,274,N/A,1.484,1518,0.392,0.092,1.467,1.481,0.027,-1.259,0.016,0.007
0x,15 Aug 2017,15 Sep 2017,31.0,270.0,1,saas,6,24000000.0,24000000.0,1.0,0.07,N/A,7,45526,N/A,2.206,5232600,0.233,0.128,2.036,2.055,-0.252,-1.115,0.014,0.006
bytom,20 Jun 2017,20 Jul 2017,30.0,327.0,3,saas,7,22554000.0,N/A,N/A,0.05,N/A,2,18061,N/A,1.256,7543670,0.182,0.051,0.814,0.833,-0.083,-3.081,0.012,0.005
verge,15 Jun 2016,15 Jul 2016,30.0,697.0,12,blockchain,N/A,N/A,N/A,N/A,N/A,36832,0,N/A,N/A,0.0,707,0.072,0.106,1.677,1.689,-0.284,0.11,0.027,-0.0
augur,17 Aug 2015,1 Oct 2015,45.0,985.0,1,saas,13,5000000.0,6250000.0,0.8,0.6,N/A,0,436,N/A,1.45,728,0.107,0.148,2.346,2.399,0.025,-1.715,0.008,0.0
golem,13 Nov 2016,13 Nov 2016,0.0,576.0,5,saas,15,8000000.0,8000000.0,1.0,0.01,748,0,140633,N/A,61.499,27557000,0.025,0.196,0.391,0.444,0.116,1.359,-0.012,-0.012
wanchain,01 Oct 2017,01 Nov 2017,31.0,223.0,3,other,31,35990000.0,35990000.0,1.0,0.34,46807,0,105673,0.54,11.382,189439000,0.181,0.06,0.948,1.052,-0.525,-4.67,-0.002,-0.029
populous,24 Jul 2017,24 Jul 2017,0.0,323.0,4,fintech,5,10220400.0,1022040000.0,0.01,0.25,N/A,0,23384,0.82,12.32,2704070,0.203,0.109,1.733,1.784,-0.054,-5.265,0.011,-0.024
status,20 Jun 2017,20 Jun 2017,0.0,357.0,6,saas,12,10000000.0,N/A,N/A,0.04,N/A,0,102960,N/A,0.404,13747700,-0.213,0.044,0.699,0.752,0.152,-1.878,0.007,-0.018
aion,24 Nov 2017,24 Dec 2017,30.0,170.0,12,other,8,N/A,N/A,N/A,1.0,11445,0,70317,N/A,-0.374,20958,0.115,0.215,3.413,3.452,-0.122,-2.5,0.016,-0.024
nebulas,8 Dec 2017,16 Dec 2017,8.0,180.0,1,saas,14,60000000.0,60000000.0,1.0,2.0,12168,2,23073,N/A,1.17,995797,-0.168,0.167,2.648,2.604,-0.129,-1.016,0.009,0.01
digixdao,29 Mar 2016,30 Mar 2016,1.0,804.0,7,saas,N/A,55000004.0,N/A,N/A,4.2,N/A,0,15491,N/A,6.543,1900,-0.043,-0.006,-0.091,-0.026,0.035,1.002,0.006,-0.018
loopring,1 Aug 2017,16 Aug 2017,15.0,300.0,3,saas,3,45000000.0,45000000.0,1.0,0.06,N/A,0,42433,0.6,0.747,200829,-0.054,0.123,1.952,2.006,-0.146,-3.389,0.013,-0.02
komodo,15 Oct 2016,16 Nov 2016,32.0,573.0,12,saas,N/A,1983781.0,N/A,N/A,0.38,N/A,0,90460,N/A,-0.708,22487,0.024,0.119,1.887,1.9,0.001,-1.632,0.021,-0.016
ark,05 Nov 2016,09 Dec 2016,34.0,550.0,12,blockchain,N/A,22000000.0,N/A,N/A,0.1,45,0,N/A,N/A,-0.657,133793,0.321,0.267,4.231,4.287,-0.159,-2.578,0.016,-0.025
bancor,12 Jun 2017,12 Jun 2017,0.0,365.0,12,saas,12,15300000.0,N/A,N/A,3.92,6745,0,846,N/A,4.097,16871,-0.158,-0.06,-0.946,-0.881,-0.005,-2.709,0.001,-0.013
cryptonex,01 Sep 2017,30 Sep 2017,29.0,255.0,12,other,N/A,N/A,N/A,N/A,N/A,2273,0,N/A,N/A,0.0,79554,-0.029,0.119,1.897,1.957,-0.237,-2.54,0.008,-0.016
elastos,01 Jan 2018,22 Jan 2018,21.0,141.0,3,other,51,94073200.0,94073200.0,1.0,18.09,17300,0,23153,0.62,1.259,33745700,0.185,-0.021,-0.326,-0.242,-0.423,0.297,0.001,-0.013
cybermiles,21 Nov 2017,21 Dec 2017,30.0,173.0,1,saas,9,30881582.0,30881582.0,1.0,0.1,67873,0,244405,0.62,0.806,12580000,-0.099,0.014,0.228,0.284,-0.036,-4.806,0.004,-0.008
dentacoin,1 Oct 2017,1 Nov 2017,31.0,223.0,5,insurance services,19,1923507.0,27478671.0,0.07,0.0,1492,0,110,0.6,0.0,228296,0.042,0.059,0.931,0.975,-0.184,-2.806,0.023,-0.029
veritaseum,25 Apr 2017,26 May 2017,31.0,382.0,1,blockchain,3,6480882.0,N/A,N/A,12.0,1838,0,23482,N/A,3.047,450758,0.224,0.127,2.016,2.016,-236.467,-3.705,187.204,-0.008
fusion,1 Feb 2018,10 Feb 2018,9.0,122.0,7,fintech,10,42185216.0,42185216.0,1.0,2.06,2746,0,8119,0.4,0.592,1440790,-0.034,0.126,1.994,2.093,-0.196,-3.384,0.008,-0.02
kin,12 Sep 2017,26 Sep 2017,14.0,259.0,1,saas,7,48594816.0,74761255.0,0.65,0.0,N/A,0,25027,0.58,0.0,372049,-0.077,-0.011,-0.174,-0.083,-0.139,0.326,0.011,-0.017
theta-token,07 Jan 2018,07 Jan 2018,0.0,156.0,12,blockchain,N/A,20000000.0,20000000.0,1.0,0.12,13537,0,N/A,0.6,0.527,10023000,0.049,0.064,1.012,1.081,-0.15,5.926,0.007,0.009
dropil,7 Feb 2018,7 Mar 2018,28.0,97.0,1,fintech,8,60000000.0,N/A,N/A,N/A,739,0,6880,N/A,0.0,78904,-0.043,0.063,0.994,1.095,-0.039,-1.32,0.004,-0.001
substratum,14 Aug 2017,14 Sep 2017,31.0,271.0,1,blockchain,6,13800000.0,44516129.0,0.31,0.07,12662,0,1157,0.4,-0.333,41819,0.285,0.278,4.417,4.482,-0.246,-5.16,0.015,-0.029
electroneum,14 Sep 2017,20 Oct 2017,36.0,235.0,4,blockchain,12,39934610.0,39934610.0,1.0,0.01,49382,0,125597,0.44,6.736,2464330,-0.137,0.079,1.255,1.304,0.089,-2.333,0.0,-0.017
bnktothefuture,16 Feb 2018,16 Mar 2018,28.0,88.0,12,fintech,10,33000000.0,N/A,N/A,0.1,N/A,0,N/A,0.58,-0.22,40890,0.32,0.198,3.136,3.222,-0.039,0.234,0.014,-0.015
decentraland,8 Aug 2017,8 Aug 2017,0.0,308.0,10,entertainment,12,24137000.0,24137000.0,1.0,0.02,N/A,0,3,0.7,0.237,688849,-0.21,-0.012,-0.183,-0.117,-0.118,-0.185,0.014,-0.011
power-ledger,8 Sep 2017,6 Oct 2017,28.0,249.0,9,energy,17,13232290.0,N/A,N/A,0.09,16425,0,940,0.4,-0.381,1017460,0.512,0.32,5.074,5.119,0.056,-2.097,0.015,-0.017
storm,07 Nov 2017,07 Dec 2017,30.0,187.0,1,fintech,8,30716420.0,30716420.0,1.0,0.0113,9837,0,27367,N/A,0.43,330757,0.67,0.151,2.39,2.439,-0.228,-1.259,0.015,-0.023
dragonchain,2 Oct 2017,2 Nov 2017,31.0,222.0,1,saas,8,13700000.0,16707317.0,0.82,0.07,N/A,0,75768,0.3,2.853,1142060,0.364,0.257,4.081,4.133,0.107,-1.889,0.01,-0.026
deepbrain-chain,15 Dec 2017,15 Dec 2017,0.0,179.0,7,other,N/A,11755200.0,11755200.0,1.0,0.0158,12804,0,N/A,N/A,4.813,18387700,0.288,0.086,1.362,1.416,-0.282,-2.547,0.006,-0.014
holo,29 Mar 2018,28 Apr 2018,30.0,45.0,7,telecommunications,10,20388500.0,20388500.0,1.0,0.0002,8076,0,5279,N/A,2.84,5764530,0.254,2.02,4.039,4.103,0.285,-4.626,0.007,-0.016
iexec-rlc,17 Apr 2017,10 May 2017,23.0,400.0,12,other,8,12000000.0,N/A,N/A,0.178,N/A,0,N/A,N/A,0.593,151637,0.29,0.168,2.662,2.612,-0.102,-1.359,0.009,0.009
gifto,14 Dec 2017,14 Dec 2017,0.0,180.0,3,entertainment,5,10000000.0,10000000.0,1.0,0.1,54846,0,17240,0.48,2.489,44959800,0.325,0.124,1.967,2.017,-0.072,-2.321,0.004,-0.024
storj,19 May 2017,25 May 2017,6.0,383.0,1,saas,15,30000000.0,30000000.0,1.0,0.5,N/A,0,83843,N/A,0.097,211542,0.08,0.104,1.645,1.689,-0.018,-1.516,0.008,-0.016
monaco,18 May 2017,18 Jun 2017,31.0,359.0,6,fintech,4,26700000.0,267000000.0,0.1,2.88,7383,0,65305,0.78,-0.142,1549870,-0.095,0.197,3.132,3.162,0.049,-1.428,0.013,-0.023
salt,01 Aug 2017,15 Aug 2017,14.0,301.0,12,fintech,N/A,48500000.0,48500000.0,1.0,0.89,819,0,N/A,N/A,3.876,4174650,-0.167,0.008,0.129,0.203,-0.08,-2.513,-0.001,-0.031
neblio,6 Aug 2017,20 Aug 2017,14.0,296.0,1,fintech,2,14834923.0,211927471.0,0.07,0.2,N/A,0,N/A,0.44,2.146,257746,0.201,0.237,3.757,3.811,-0.097,1.806,0.02,-0.026
civic,21 Jun 2017,22 Jun 2017,1.0,355.0,1,saas,2,33000000.0,33000000.0,1.0,0.1,8925,0,87753,N/A,0.767,9750800,0.18,0.142,2.247,2.303,-0.243,-2.968,0.007,-0.019
singularitynet,19 Dec 2017,19 Dec 2017,0.0,175.0,6,saas,9,32847814.0,32847814.0,1.0,0.1,15727,0,17336,N/A,14.2,17465100,0.093,0.004,0.071,0.109,-0.144,-10.859,0.0,-0.012
tenx,24 Jun 2017,24 Jun 2017,0.0,353.0,7,fintech,10,80000000.0,N/A,N/A,0.87,116,0,1726,0.74,53.943,303595,0.046,0.156,2.484,2.52,-0.138,-3.044,0.006,-0.021
iconomi,25 Aug 2016,29 Sep 2016,35.0,621.0,5,saas,26,10000000.0,11764706.0,0.85,0.11,N/A,0,922,N/A,1.433,14652,0.136,0.102,1.621,1.66,-0.092,-2.183,0.009,-0.021
nexo,17 Mar 2018,15 Apr 2018,29.0,58.0,6,fintech,14,52500000.0,52500000.0,1.0,0.1,63026,0,N/A,0.7,0.85,3226150,0.044,0.351,0.701,0.773,-0.48,-4.746,-0.007,-0.03
revain,21 Aug 2017,4 Sep 2017,14.0,281.0,2,saas,12,12513346.0,12513346.0,1.0,0.05,2358,0,6483,0.46,0.558,107140,0.26,0.379,6.016,6.089,0.092,0.247,0.012,-0.027
time-new-bank,18 Nov 2017,23 Nov 2017,5.0,201.0,7,saas,4,14360000.0,14360000.0,1.0,0.02,27739,0,15039,N/A,0.761,10625600,0.332,0.198,3.14,3.19,-0.137,-1.1,0.007,-0.018
quantstamp,17 Nov 2017,16 Dec 2017,29.0,178.0,1,fintech,10,31320000.0,31320000.0,1.0,0.07,23955,0,N/A,0.56,0.304,28481900,0.182,0.226,3.59,3.638,-0.324,-6.191,0.01,-0.021
dent,12 Jul 2017,26 Jul 2017,14.0,321.0,3,telecommunications,8,1923507.0,27478671.0,0.07,0.0,1492,0,36592,N/A,0.0,71565,0.162,0.104,1.654,1.691,-0.18,-2.833,0.029,-0.01
lympo,17 Feb 2018,28 Feb 2018,11.0,104.0,5,entertainment,11,16857899.0,16857899.0,1.0,0.0217,13221,0,7039,N/A,-0.258,176692,0.264,0.217,3.437,3.51,-0.106,-1.607,0.023,0.014
request-network,13 Oct 2017,17 Oct 2017,4.0,238.0,5,fintech,7,33600000.0,33600000.0,1.0,0.06,13831,0,772,0.36,0.013,5914220,0.117,0.262,4.163,4.237,-0.183,-3.293,0.008,-0.03
enjin-coin,3 Oct 2017,31 Oct 2017,28.0,224.0,7,entertainment,8,22959609.0,24956097.0,0.92,0.03,13224,0,N/A,N/A,-0.332,742008,0.026,0.278,4.415,4.474,-0.146,-1.527,0.013,-0.017
aragon,17 May 2017,17 May 2017,0.0,391.0,5,saas,2,25000000.0,N/A,N/A,0.74,2,6,6878,N/A,1.054,2745280,0.272,0.084,1.336,1.413,0.014,-0.984,0.005,-0.023
storiqa,28 Nov 2017,29 Jan 2018,62.0,134.0,3,saas,11,25000000.0,25000000.0,1.0,0.0,34979,0,13150,0.2,0.0,271889,-0.097,0.108,1.718,1.812,-0.034,12.865,0.016,0.029
bottos,31 Dec 2017,30 Jan 2018,30.0,133.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,0.42,2.296,18592600,-0.094,-0.121,-1.921,-1.837,-0.193,-4.52,-0.001,-0.025
arcblock,3 Feb 2018,3 Feb 2018,0.0,129.0,1,blockchain,4,45000000.0,45000000.0,1.0,0.5,37991,0,34593,0.72,1.54,94865600,-0.366,0.071,1.132,1.253,-0.136,-4.097,-0.003,-0.021
gnosis,24 Apr 2017,24 Apr 2017,0.0,414.0,5,saas,10,12500000.0,12500000.0,1.0,29.85,N/A,0,69139,N/A,-1.0,22984,-0.012,-0.021,-0.341,-0.31,0.536,-27.789,0.006,-0.055
cindicator,12 Sep 2017,12 Oct 2017,30.0,243.0,2,blockchain,12,15000000.0,15000000.0,1.0,0.01,7934,0,39405,0.68,1.258,971989,-0.447,0.056,0.882,0.966,-0.143,-4.241,0.012,-0.025
bluzelle,18 Jan 2018,2 Feb 2018,15.0,130.0,7,saas,12,19500000.0,19500000.0,1.0,0.12,23035,0,33374,0.96,4.648,41214300,0.11,0.0,0.007,0.163,-0.628,-2.822,0.002,-0.042
ignis,5 Aug 2017,14 Oct 2017,70.0,241.0,5,other,4,15000000.0,21739130.0,0.69,1.05,N/A,0,27292,0.52,1.2,18762,0.265,0.073,1.166,1.199,-1.188,-2.949,0.005,-0.035
thekey,15 Jan 2018,15 Jan 2018,0.0,148.0,3,other,15,22000000.0,22000000.0,1.0,0.0352,72796,0,30241,0.7,-0.186,9008350,0.0,-0.072,-1.148,-0.947,-0.269,-5.883,-0.004,-0.04
crypterium,31 Oct 2017,14 Jan 2018,75.0,149.0,5,fintech,15,51656963.0,51656963.0,1.0,1.5,33727,0,16550,0.82,0.54,183715,-0.374,-0.045,-0.708,-0.573,-0.295,-3.597,-0.003,-0.021
smartmesh,29 Nov 2017,28 Dec 2017,29.0,166.0,7,saas,6,15691200.0,16872258.0,0.93,0.02,21377,0,3793,N/A,0.56,1131310,0.39,0.148,2.343,2.426,0.043,-5.142,0.01,-0.05
metal,9 Jun 2017,9 Jun 2017,0.0,368.0,1,blockchain,7,N/A,N/A,1.0,0.18,201,0,33028,N/A,8.278,2843520,0.351,0.297,4.718,4.825,-0.237,-7.768,0.009,-0.052
poa-network,17 Nov 2017,17 Nov 2017,0.0,207.0,1,saas,15,12500000.0,12500000.0,1.0,0.07,10710,0,306,N/A,8.064,79376200,-0.336,0.061,0.971,1.119,-0.371,-7.903,-0.006,-0.063
particl,16 Mar 2017,12 Apr 2017,27.0,426.0,12,other,N/A,750000.0,N/A,N/A,1.0,N/A,0,N/A,N/A,5.95,983921,-0.058,0.079,1.258,1.427,-0.205,-2.986,0.006,-0.057
credits,15 Feb 2018,28 Feb 2018,13.0,104.0,7,saas,9,22570394.0,22570394.0,1.0,0.17,70603,0,50375,0.88,1.4,3014620,0.283,0.168,2.664,2.798,0.032,-4.149,0.008,-0.051
pillar,15 Jul 2017,17 Jul 2017,2.0,330.0,4,saas,30,20000000.0,N/A,N/A,0.1,765,0,12759,N/A,-0.256,101274,0.243,0.064,1.02,1.159,-0.149,-3.992,0.01,-0.028
docademic,29 Jan 2018,15 Apr 2018,76.0,58.0,10,insurance services,11,1100000.0,N/A,N/A,N/A,7383,0,23660,0.26,0.0,716822,0.424,3.363,6.726,6.771,1.957,-10.116,0.102,-0.055
crypto20,16 Oct 2017,30 Nov 2017,45.0,196.0,1,fintech,6,37698373.0,75396746.0,0.5,1.1,N/A,4,9624,N/A,2.373,5672340,-0.206,-0.204,-3.238,-3.326,-0.103,-0.463,-0.007,-0.007
boscoin,09 May 2017,10 May 2017,1.0,398.0,12,blockchain,17,17920000.0,N/A,N/A,0.044,N/A,0,N/A,N/A,18.93,27934,0.195,0.19,3.016,3.114,-0.05,-3.908,0.0,-0.053
sonm,15 Jun 2017,19 Jun 2017,4.0,358.0,2,saas,14,42000000.0,N/A,N/A,0.59,7973,0,273,N/A,-0.116,86186,-0.551,-0.097,-1.54,-1.423,-0.08,-5.955,0.004,-0.056
sophiatx,7 Dec 2017,17 Dec 2017,10.0,177.0,6,saas,8,23470356.0,80932262.0,0.29,0.46,5459,0,16070,0.72,-0.01,2148170,0.353,0.076,1.202,1.32,-0.118,-2.411,0.002,-0.05
tokenomy,15 Jan 2018,5 Feb 2018,21.0,127.0,12,blockchain,6,22869000.0,N/A,N/A,N/A,2424,0,46,0.64,0.0,2372070,-0.569,-0.13,-2.07,-1.718,-0.013,1.978,-0.0,0.03
blockv,19 Oct 2017,25 Oct 2017,6.0,230.0,1,saas,4,21599100.0,39998333.0,0.54,0.42,3732,0,6515,0.6,-0.948,492028,0.345,0.231,3.671,3.771,-0.013,-0.394,0.008,-0.038
ambrosus,22 Sep 2017,22 Oct 2017,30.0,235.0,6,insurance services,20,32507330.0,98507061.0,0.33,0.29,4240,6,17208,N/A,-0.45,35697,0.095,0.119,1.895,1.933,0.209,-1.185,0.009,-0.004
genesis-vision,15 Oct 2017,15 Nov 2017,31.0,209.0,2,fintech,10,2836732.0,23639433.0,0.12,1.0,8089,0,19530,0.5,1.68,683667,0.386,0.27,4.287,4.384,-0.046,-9.887,0.016,-0.051
cube,16 Feb 2018,15 Mar 2018,27.0,89.0,4,saas,10,N/A,N/A,N/A,N/A,1611,0,5983,0.26,0.0,6757530,-0.13,0.001,0.013,0.166,-0.22,-14.566,-0.008,-0.052
tokenpay,7 Dec 2017,17 Jan 2018,41.0,146.0,7,blockchain,8,40948500.0,40948500.0,1.0,6.0,17560,0,N/A,N/A,-0.66,1515520,0.431,0.159,2.529,2.633,-0.313,-3.629,0.023,-0.026
eximchain,01 Feb 2018,13 Feb 2018,12.0,119.0,12,blockchain,16,20000000.0,20000000.0,1.0,0.33,2098,0,N/A,0.34,1.01,185434,-0.203,-0.352,-0.704,-0.484,0.158,-2.169,-0.003,-0.051
origintrail,15 Jan 2018,17 Jan 2018,2.0,146.0,5,saas,11,21513600.0,21513600.0,1.0,0.1,10095,0,549,0.42,1.364,3901170,0.193,0.058,0.915,1.034,-0.159,-1.765,0.005,-0.054
bread,16 Dec 2017,24 Dec 2017,8.0,170.0,6,blockchain,6,20021300.0,20021300.0,1.0,0.78,45751,0,54174,0.6,1.423,56455400,0.228,-0.03,-0.48,-0.332,-0.077,-6.197,-0.003,-0.039
jibrel-network,27 Nov 2017,1 Jan 2018,35.0,162.0,6,blockchain,9,30000000.0,30000000.0,1.0,0.25,2158,0,6544,0.68,0.689,10089800,0.06,-0.099,-1.565,-1.392,-0.503,-6.179,-0.0,-0.052
odem,17 Feb 2018,18 Mar 2018,29.0,86.0,6,social services,10,4000000.0,N/A,N/A,N/A,N/A,0,3133,N/A,0.0,18548,0.471,0.215,3.406,3.533,0.408,4.69,0.028,0.064
apex,01 Jan 2018,28 Jan 2018,27.0,135.0,12,blockchain,N/A,25000000.0,25000000.0,1.0,0.16,5774,0,N/A,0.4,0.055,9262900,0.414,3.29,6.579,6.793,-0.25,3.041,-0.008,-0.043
ethlend,25 Nov 2017,30 Nov 2017,5.0,194.0,5,blockchain,25,17860000.0,17860000.0,1.0,0.02,19002,0,46873,0.5,-0.069,728686,0.427,0.258,4.09,4.176,-0.293,-6.806,0.013,-0.045
telcoin,11 Dec 2017,30 Dec 2017,19.0,164.0,8,blockchain,10,25000000.0,25000000.0,1.0,0.001,20956,0,25614,0.4,5.031,842193,0.036,-0.051,-0.816,-0.696,-0.273,-2.033,-0.004,-0.039
apis,4 Mar 2018,3 Apr 2018,30.0,70.0,7,blockchain,21,N/A,N/A,N/A,N/A,N/A,0,N/A,0.2,0.0,4766240,0.218,1.732,3.465,3.514,-3.29,-9.653,0.049,-0.057
wagerr,1 Jun 2017,25 Jun 2017,24.0,352.0,10,saas,6,10000000.0,N/A,N/A,0.06,N/A,0,17160,N/A,0.141,120805,0.137,0.109,1.729,1.879,-0.238,-10.565,0.01,-0.02
red-pulse,8 Oct 2017,8 Oct 2017,0.0,247.0,3,fintech,3,14508923.0,14508923.0,1.0,0.03,6362,0,33197,N/A,0.849,5395350,-0.044,0.223,3.541,3.646,-0.248,-5.673,0.009,-0.048
edgeless,28 Feb 2017,21 Mar 2017,21.0,448.0,12,saas,N/A,2000000.0,N/A,N/A,0.04,1286,0,40095,N/A,-0.23,18692,0.264,0.185,2.935,2.99,0.027,-6.643,0.014,-0.046
eidoo,4 Oct 2017,16 Oct 2017,12.0,239.0,6,saas,5,27676992.0,51253689.0,0.54,2.3,5458,0,25872,N/A,0.035,39128,-0.04,0.138,2.185,2.397,-0.16,-2.484,0.002,-0.042
adex,30 Jun 2017,30 Jun 2017,0.0,347.0,2,fintech,16,10000000.0,10000000.0,1.0,0.24,4555,0,56664,N/A,2.633,4984360,-0.238,-1.887,-3.774,-3.377,-0.2,-4.988,-0.022,-0.051
paypie,15 Oct 2017,16 Oct 2017,1.0,239.0,1,saas,11,26000000.0,26000000.0,1.0,0.37,4207,0,7815,N/A,-0.02,256062,0.065,0.149,2.368,2.439,0.014,-4.038,0.011,-0.047
tokencard,2 May 2017,2 May 2017,0.0,406.0,4,fintech,8,12782000.0,12782000.0,1.0,0.54,2,0,18991,N/A,0.926,416619,0.063,0.016,0.249,0.4,-0.106,-0.17,0.007,-0.02
zebi,05 Mar 2018,31 Mar 2018,26.0,73.0,7,fintech,7,8561100.0,8561100.0,1.0,0.0333,15006,0,16921,0.46,2.483,5412550,0.139,1.104,2.209,2.365,-0.583,-12.871,-0.012,-0.07
babb,6 Feb 2018,6 Mar 2018,28.0,98.0,4,fintech,13,20000000.0,20000000.0,1.0,0.0,14262,0,10739,0.66,0.0,286765,-0.014,0.229,3.632,3.752,-0.371,-6.339,0.017,-0.057
airswap,10 Oct 2017,10 Nov 2017,31.0,214.0,1,fintech,4,12600000.0,12600000.0,1.0,0.3,4356,0,N/A,N/A,0.345,3654270,-0.161,0.06,0.954,1.145,-0.062,-6.664,0.004,-0.062
havven,28 Feb 2018,7 Mar 2018,7.0,97.0,9,blockchain,15,30000000.0,30000000.0,1.0,0.5,3969,0,11066,0.26,-0.039,1203240,-0.089,0.11,1.739,1.938,-0.221,-13.176,0.002,-0.046
