coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N/A,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
daneel,29 Jan 2018,5 Mar 2018,35.0,94.0,5,fintech,15,2830400.0,15724444.0,0.18,0.29,6216,4,N/A,-0.833,130556,0.37,2.97,5.94,5.94,2.738,nan,0.07
blitzpredict,22 Jan 2018,22 Feb 2018,31.0,105.0,12,other,5,4374000.0,7290000.0,0.6,0.0292,13714,1,N/A,-0.677,48405,-0.04,0.08,1.21,1.21,0.345,nan,0.018
chainium,25 Dec 2017,12 Jan 2018,18.0,146.0,5,fintech,6,3434946.0,5540235.0,0.62,0.0664,N/A,1,76,0.594,70198,0.07,0.52,1.04,1.04,0.598,nan,-0.008
ethbits,15 Apr 2017,13 May 2017,28.0,390.0,4,saas,3,1216178.0,N/A,N/A,1.14,6090,1,5576,0.921,3027,0.06,0.25,3.94,3.94,30.707,nan,1.998
mercury-protocol,23 Oct 2017,23 Nov 2017,31.0,196.0,1,saas,16,4749479.0,19789496.0,0.24,0.043,738,N/A,5434,-0.07,42740,0.15,0.09,1.47,1.47,-0.034,nan,0.018
micromoney,18 Oct 2017,18 Nov 2017,31.0,201.0,12,fintech,18,10541585.0,30118814.0,0.35,1.0,5139,2,165863,-0.326,452417,0.31,0.09,1.47,1.47,-0.158,nan,0.0
biotron,27 Mar 2018,05 Apr 2018,9.0,63.0,12,other,N/A,N/A,N/A,N/A,0.22,2436,1,N/A,-0.814,955,0.16,1.3,2.61,2.61,0.182,nan,0.014
signals-network,12 Mar 2018,09 Apr 2018,28.0,59.0,12,other,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,233052,0.0,0.0,0.0,0.0,0.215,nan,0.001
coinlancer,14 Oct 2017,15 Nov 2017,32.0,204.0,12,saas,36,11860153.0,49417304.0,0.24,0.25,7177,5,2293,0.691,3536710,0.03,-0.09,-1.49,-1.49,-0.219,nan,-0.008
obsidian,12 Aug 2017,26 Aug 2017,14.0,285.0,4,saas,6,1566332.0,8701844.0,0.18,0.15,796,4,8841,1.49,262223,0.12,0.15,2.45,2.45,-0.033,nan,0.004
pylon-network,4 Oct 2017,24 Oct 2017,20.0,226.0,5,energy,11,N/A,N/A,N/A,1.79,1513,1,4003,12.201,69585,0.11,0.02,0.25,0.25,-0.392,nan,0.003
fabric-token,15 Feb 2018,1 Apr 2018,45.0,67.0,5,blockchain,11,1035986.0,8633217.0,0.12,0.1125,5363,0,1545,-0.172,83004,0.81,1.4,2.8,2.8,-4.494,nan,0.012
verify,29 Nov 2017,06 Dec 2017,7.0,183.0,7,saas,9,2500000.0,2500000.0,1.0,0.23,3537,1,508,1.44,803439,0.32,0.12,1.86,1.86,0.171,nan,0.009
goldmint,20 Sep 2017,11 Nov 2017,52.0,208.0,2,fintech,11,7300000.0,40555556.0,0.18,7.0,11115,10,2597,-0.634,74776,0.24,0.16,2.47,2.47,0.146,nan,0.007
tokenstars,31 Aug 2017,31 Oct 2017,61.0,219.0,7,other,4,4901220.0,7540338.0,0.65,0.42,17611,1,N/A,-0.165,409248,-0.28,-2.18,-4.37,-4.37,0.06,nan,-0.028
chronologic,25 Aug 2017,25 Sep 2017,31.0,255.0,12,fintech,3,7400000.0,N/A,N/A,0.1,N/A,1,N/A,108.4,23084,-0.02,-0.0,-0.02,-0.02,-0.007,nan,0.012
trakinvest,8 Feb 2018,7 Mar 2018,27.0,92.0,7,fintech,14,50000000.0,N/A,N/A,N/A,38261,2,475,0.0,262810,-0.01,-0.1,-0.2,-0.2,-0.332,nan,-0.009
transcodium,1 Mar 2018,30 Apr 2018,60.0,38.0,4,saas,7,10977534.0,29669011.0,0.37,0.376,6141,1,N/A,-0.625,488145,-0.19,-1.5,-3.0,-3.0,-0.778,nan,-0.026
ethersportz,9 Jan 2018,10 Jan 2018,1.0,148.0,1,entertainment,6,3500000.0,3500000.0,1.0,0.5,1755,1,N/A,0.123,71545,0.12,0.04,0.57,0.57,1.032,nan,0.015
live-stars,15 Jan 2018,15 Feb 2018,31.0,112.0,5,saas,6,2518564.0,5037128.0,0.5,0.2,2715,1,7684,-0.602,144179,-0.06,-0.46,-0.92,-0.92,-0.183,nan,-0.015
hirematch,1 Oct 2017,15 Feb 2018,137.0,112.0,1,fintech,4,16000000.0,N/A,N/A,0.17,N/A,4,1943,-0.832,98386,0.03,0.16,2.52,2.52,-0.107,nan,0.01
phi-token,8 Mar 2018,21 Mar 2018,13.0,78.0,5,other,16,3800000.0,N/A,N/A,1.61803,26092,1,3790,-0.631,58338,-0.09,-0.69,-1.38,-1.38,0.191,nan,-0.003
skincoin,21 Jun 2017,21 Jul 2017,30.0,321.0,2,blockchain,5,3292183.0,9976312.0,0.33,0.04,731,7,6694,-0.08,9042,-0.18,0.0,0.0,0.0,-0.346,nan,0.01
soma,27 Sep 2017,14 Nov 2017,48.0,205.0,5,ecommerce,11,6049621.0,40330807.0,0.15,0.74,3818,2,5051,-0.686,6114,0.39,0.15,2.37,2.37,-0.24,nan,0.025
qvolta,10 Oct 2017,20 Oct 2017,10.0,230.0,7,blockchain,4,729652.0,4560325.0,0.16,0.3,1593,1,1,0.064,40141,0.06,0.14,2.28,2.28,0.109,nan,0.017
darcrus,21 Dec 2016,26 Dec 2016,5.0,528.0,12,saas,1,29742.0,129313.0,0.23,0.02,1536,1,9388,0.05,6268,0.36,0.17,2.66,2.66,0.97,nan,0.016
emphy,7 Oct 2017,5 Nov 2017,29.0,214.0,5,real estate,5,44500.0,4450000.0,0.01,0.1,13697,1,13111,1.42,100754,0.14,0.24,3.84,3.84,0.045,nan,0.032
crycash,12 Dec 2017,31 Jan 2018,50.0,127.0,5,blockchain,6,N/A,N/A,N/A,N/A,3111,3,1438,0.0,50581,0.07,0.57,1.14,1.14,0.148,nan,-0.005
nitro,30 Nov 2017,26 Dec 2017,26.0,163.0,3,saas,11,2694156.0,53883120.0,0.05,0.97,16005,1,3791,0.577,131540,0.07,0.07,1.18,1.18,-0.371,nan,0.028
neverdie,30 Jun 2017,1 Sep 2017,63.0,279.0,1,entertainment,2,5800000.0,10000000.0,0.58,0.25,15,6,1487,-0.193,43022,-0.08,-0.16,-2.59,-2.59,-0.257,nan,0.006
wild-crypto,05 Sep 2017,11 Sep 2017,6.0,269.0,12,other,N/A,N/A,N/A,N/A,N/A,617,N/A,N/A,0.0,4468,0.03,0.13,2.08,2.08,-0.286,nan,0.02
boutspro,11 Mar 2018,25 Mar 2018,14.0,74.0,4,blockchain,32,N/A,N/A,N/A,N/A,12606,1,9825,0.0,100240,0.04,0.3,0.6,0.6,-0.265,nan,-0.0
authorship,15 Aug 2017,14 Sep 2017,30.0,266.0,1,telecommunications,1,N/A,7000000.0,N/A,0.04,159,1,11699,-0.287,12714,0.1,0.11,1.74,1.74,-0.111,nan,0.024
earth-token,15 Dec 2017,15 Mar 2018,90.0,84.0,11,saas,11,20000000.0,N/A,N/A,0.16,12934,N/A,20203,-0.699,509033,-0.36,-2.82,-5.64,-5.64,-0.272,nan,-0.042
tigereum,8 Dec 2017,18 Dec 2017,10.0,171.0,4,saas,15,N/A,12000000.0,N/A,0.8,N/A,2,3554,-0.819,195263,0.29,0.14,2.27,2.27,-0.128,nan,0.022
bitjob,12 Sep 2017,13 Oct 2017,31.0,237.0,12,saas,26,2726424.0,12000000.0,0.23,0.39,2182,1,6902,-0.733,67138,-0.15,0.14,2.26,2.23,-0.182,0.278,0.013
wandx,27 Oct 2017,21 Nov 2017,25.0,198.0,7,other,6,86654.0,N/A,N/A,0.09,2366,1,6412,4.727,90663,0.3,0.04,0.6,0.6,0.327,nan,0.01
blocklancer,16 Jan 2018,16 Feb 2018,31.0,111.0,5,fintech,5,30000010.0,90909121.0,0.33,0.09,N/A,1,50,-0.795,34683,0.24,0.1,1.62,1.62,0.902,nan,0.016
plancoin,24 Jan 2018,23 Feb 2018,30.0,104.0,12,blockchain,N/A,1700000.0,N/A,N/A,0.6,N/A,1,1908,-0.584,282642,0.03,0.21,0.41,0.41,0.724,nan,-0.0
fundyourselfnow,13 Jun 2017,31 Jul 2017,48.0,311.0,12,other,9,N/A,N/A,N/A,N/A,5172,0,N/A,0.0,27307,0.24,0.14,2.2,2.2,0.169,nan,0.017
global-jobcoin,28 Oct 2017,6 Dec 2017,39.0,183.0,6,saas,4,N/A,N/A,N/A,1.31,N/A,2,12037,-0.817,14648,0.14,0.13,2.13,2.13,-0.064,nan,0.082
mcap,27 Apr 2017,7 May 2017,10.0,396.0,1,blockchain,N/A,44287318.0,N/A,N/A,4.0,N/A,1,153,0.635,3797,-0.1,-0.14,-2.3,-2.3,0.034,nan,-0.003
suretly,11 Jul 2017,11 Aug 2017,31.0,300.0,2,fintech,6,28000001.0,N/A,N/A,30.93,N/A,1,1297,-0.578,12585,-0.12,-0.04,-0.67,-0.67,-0.024,nan,0.005
oceanlab,07 Aug 2017,31 Aug 2017,24.0,280.0,12,blockchain,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,0.0,29066,0.34,0.17,2.64,2.64,-0.144,nan,0.008
bitair,17 Sep 2017,31 Oct 2017,44.0,219.0,12,other,N/A,21510000.0,N/A,N/A,0.019,N/A,1,N/A,-0.239,209739,0.14,-0.02,-0.32,-0.32,-0.223,nan,0.001
pluscoin,26 Sep 2017,10 Oct 2017,14.0,240.0,8,blockchain,13,9598000.0,N/A,N/A,1.49,118,7,248,-0.999,67444,-0.11,0.08,1.23,1.23,-0.729,nan,0.053
escroco,30 Oct 2017,28 Nov 2017,29.0,191.0,12,fintech,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,30.9,515908,0.18,0.03,0.49,0.44,-0.124,6.545,0.015
peerguess,28 Oct 2017,09 Dec 2017,42.0,180.0,12,saas,13,N/A,N/A,N/A,N/A,1065,0,2049,0.0,42120,-0.24,-0.06,-1.02,-1.07,-0.264,18.955,0.023
fujinto,10 Aug 2017,10 Sep 2017,31.0,270.0,8,blockchain,4,17566200.0,29277000.0,0.6,0.07,N/A,1,953,4.452,580241,-0.34,-0.24,-3.74,-3.74,0.323,nan,-0.001
srcoin,1 Mar 2018,31 Mar 2018,30.0,68.0,12,insurance services,11,4000000.0,N/A,N/A,N/A,1219,1,965,0.0,132146,0.04,0.31,0.63,0.63,-0.657,nan,-0.007
ecobit,9 Apr 2017,15 Jun 2017,67.0,357.0,12,other,N/A,N/A,N/A,N/A,0.03,288,2,1125,0.078,41297,-0.03,-0.0,-0.0,-0.0,-0.145,nan,0.009
hedge,15 Sep 2017,15 Oct 2017,30.0,235.0,5,blockchain,9,2100000.0,15000000.0,0.14,0.67,N/A,3,3785,0.063,35573,0.16,0.13,2.06,2.06,-0.21,nan,0.06
apx,1 May 2017,21 May 2017,20.0,382.0,12,blockchain,N/A,2749185.0,2749185.0,1.0,0.6,N/A,1,5254,4.267,714525,0.21,0.07,1.18,1.18,-0.098,nan,0.008
real,31 Aug 2017,30 Sep 2017,30.0,250.0,7,real estate,4,10604571.0,33139284.0,0.32,1.38,2002,7,4513,-0.268,13785,0.0,-0.02,-0.34,-0.34,0.109,nan,0.016
clearcoin,16 Nov 2017,31 Mar 2018,135.0,68.0,1,other,17,4350000.0,N/A,N/A,0.01,25036,3,N/A,0.551,93524,0.07,-0.04,-0.6,-0.6,0.404,nan,-0.004
blockpool,01 May 2017,30 Jun 2017,60.0,342.0,12,other,10,N/A,N/A,N/A,N/A,N/A,1,N/A,0.0,39542,-0.11,0.18,2.93,2.93,-0.023,nan,0.011
flypme,19 Sep 2017,26 Sep 2017,7.0,261.0,5,other,1,1610000.0,N/A,N/A,0.07,22,1,N/A,1.578,15603,0.1,0.21,3.3,3.3,-0.539,nan,0.021
eventchain,13 Sep 2017,14 Oct 2017,31.0,236.0,1,entertainment,8,772896.0,12881600.0,0.06,1.47,N/A,1,26721,-0.887,1884,0.21,0.17,2.74,2.74,-0.525,nan,0.037
centra,03 Aug 2017,02 Oct 2017,60.0,248.0,1,fintech,19,26100000.0,26100000.0,1.0,0.73,1191,5,48,-0.527,2484,0.24,0.14,2.22,2.22,0.789,nan,0.039
farad,1 Oct 2017,31 Oct 2017,30.0,219.0,12,energy,11,N/A,N/A,N/A,0.13,76,1,3419,-0.395,39680,0.05,0.12,1.95,1.95,-0.121,nan,0.012
musiconomi,27 Aug 2017,27 Sep 2017,31.0,253.0,12,other,6,N/A,N/A,N/A,0.01,N/A,1,N/A,10.468,735,0.09,0.12,1.87,1.87,-0.007,nan,0.021
etheriya,21 Jun 2017,10 Aug 2017,50.0,301.0,12,saas,N/A,30000.0,35294.0,0.85,0.25,N/A,2,603,5.4,23481,0.18,0.02,0.34,0.34,1.309,nan,0.042
elcoin,08 Jan 2018,05 Feb 2018,28.0,122.0,5,saas,18,N/A,30000000.0,N/A,N/A,690,1,4488,0.0,11,-0.12,0.16,2.61,2.61,321.569,nan,37.664
monster-byte,6 Jul 2017,4 Aug 2017,29.0,307.0,10,entertainment,2,10000002.0,10000002.0,1.0,0.11,N/A,2,2212,-0.271,16860,0.13,0.13,2.1,2.1,0.443,nan,0.026
bitpark-coin,15 Sep 2016,20 Oct 2016,35.0,595.0,8,fintech,1,29195.0,N/A,N/A,0.1,N/A,0,1112,-0.817,103,-0.02,0.08,1.2,1.2,0.494,nan,0.022
blockpay,23 Aug 2016,15 Sep 2016,23.0,630.0,6,saas,1,53836010.0,N/A,N/A,0.12,N/A,2,N/A,0.762,483,-0.17,-0.01,-0.13,-0.13,0.456,nan,0.028
regalcoin,22 Aug 2017,22 Sep 2017,31.0,258.0,12,blockchain,N/A,N/A,N/A,N/A,0.97,5485,1,9613,10.742,3808740,0.4,0.22,3.52,3.52,-0.259,nan,-0.005
crystal-clear,8 Sep 2017,8 Oct 2017,30.0,242.0,2,transportation,7,3377550.0,N/A,N/A,3.09,N/A,1,4546,-0.1,21319,-0.14,-0.02,-0.39,-0.39,-0.5,nan,0.018
tigercoin,25 Feb 2018,25 Mar 2018,28.0,74.0,12,fintech,N/A,N/A,N/A,N/A,N/A,506,0,N/A,0.0,0.0,-0.24,-0.13,-2.12,-2.12,-0.252,nan,0.046
ccore,9 Nov 2017,30 Nov 2017,21.0,189.0,12,fintech,8,1400000.0,N/A,N/A,0.45,2024,1,3988,1.163,15228,0.11,0.12,1.84,1.84,0.247,nan,0.043
bankcoin,5 Nov 2016,19 Dec 2016,44.0,535.0,10,fintech,2,1000000.0,6250000.0,0.16,0.25,20,1,2528,0.998,47742,0.11,0.23,3.65,3.65,0.229,nan,0.066
300-token,30 Jun 2017,6 Jul 2017,6.0,336.0,12,blockchain,N/A,16724.0,23891.0,0.7,79.76,N/A,1,850,7.334,22581,-0.15,0.03,0.48,0.48,0.569,nan,0.016
newbium,1 May 2016,31 May 2016,30.0,737.0,12,saas,N/A,38180.0,636333.0,0.06,N/A,N/A,1,3287,0.0,11,0.27,0.22,3.51,3.51,-0.104,nan,0.087
abjcoin,1 Sep 2017,30 Oct 2017,59.0,220.0,12,blockchain,10,N/A,1290000.0,N/A,0.5,1810,1,N/A,0.183,87523,0.09,0.23,3.57,3.57,0.351,nan,0.11
bolenum,15 Jul 2017,14 Aug 2017,30.0,297.0,12,blockchain,N/A,19121.0,N/A,N/A,5.98,N/A,3,54542,-0.996,13218,-0.1,0.12,1.85,1.85,1.08,nan,0.03
copico,16 Oct 2017,16 Nov 2017,31.0,203.0,12,blockchain,2,N/A,N/A,N/A,0.006,1266,1,N/A,2.748,107543,0.05,0.22,3.42,3.42,0.152,nan,0.024
icobid,09 Dec 2016,09 Jan 2017,31.0,514.0,12,other,N/A,N/A,N/A,N/A,0.0,N/A,0,N/A,0.0,808,0.25,0.14,2.2,2.2,0.784,nan,0.027
iconic,01 Mar 2018,31 Mar 2018,30.0,68.0,12,fintech,N/A,N/A,N/A,N/A,N/A,2922,1,N/A,0.0,180,0.24,0.16,2.48,2.48,0.493,nan,0.035
apis,4 Mar 2018,3 Apr 2018,30.0,65.0,7,blockchain,21,N/A,N/A,N/A,N/A,N/A,0,N/A,0.0,4766240,1.44,2.49,4.99,4.99,-6.189,nan,0.092
libra-credit,01 May 2018,01 Jun 2018,31.0,6.0,7,fintech,10,26400000.0,26400000.0,1.0,0.1,96901,N/A,N/A,1.986,4569100,-1.08,-1.86,-3.73,-3.73,-0.689,nan,-0.027
skrumble-network,05 May 2018,07 May 2018,2.0,31.0,12,fintech,31,16472800.0,16472800.0,1.0,0.0515,54602,N/A,2016,0.873,32789700,-0.17,-1.35,-2.69,-2.69,-0.854,nan,-0.016
pundi-x,21 Jan 2018,21 Jan 2018,0.0,137.0,12,saas,4,35000000.0,35000000.0,1.0,2.1,23178,N/A,5627,-1.0,970635,-0.19,0.29,4.53,4.53,-0.669,nan,0.037
educoin,18 Mar 2018,25 Mar 2018,7.0,74.0,7,social services,4,N/A,N/A,N/A,N/A,373,1,7,0.0,4,0.22,0.16,2.51,2.51,14.705,nan,0.744
bankera,27 Nov 2017,27 Feb 2018,92.0,100.0,5,fintech,7,150949194.0,215641706.0,0.7,0.02,20616,N/A,25421,-0.481,2604320,-6.25,-10.82,-21.65,-21.65,-2.2,nan,-0.086
bezant,,11 May 2018,8.0,27.0,7,blockchain,32,27500000.0,39855072.0,0.69,0.1,5329,N/A,1917,1.1,1779890,-0.11,-0.88,-1.75,-1.75,-0.323,nan,-0.012
crowd-machine,01 Apr 2018,22 May 2019,416.0,-349.0,7,saas,13,30638000.0,100000000.0,0.30638,N/A,6055,N/A,5214,0.0,220487,-0.28,-2.2,-4.39,-4.39,0.474,nan,-0.012
gems,30 Jan 2018,01 Feb 2018,2.0,126.0,12,fintech,2,N/A,N/A,N/A,0.075,32582,2,19555,-0.689,4746,-0.07,0.01,0.16,0.16,-0.958,nan,0.159
phantasma,27 May 2018,28 May 2018,1.0,10.0,12,other,13,9650000.0,9747475.0,0.99,0.23,20891,N/A,5379,1.476,799685,0.33,0.57,1.14,1.14,-1.687,nan,0.012
aware,04 Jan 2018,30 Jan 2018,26.0,128.0,12,fintech,N/A,N/A,N/A,N/A,0.063,593,1,N/A,0.495,1391910,-0.31,-0.19,-2.96,-2.96,-0.013,nan,-0.003
cfun,18 Dec 2017,19 Dec 2017,1.0,170.0,7,saas,9,15000000.0,15000000.0,1.0,0.03,4567,1,5559,2.506,14156000,-0.17,-0.18,-2.79,-2.79,0.077,nan,-0.006
exchange-union,05 Aug 2017,29 Aug 2017,24.0,282.0,12,other,4,N/A,N/A,N/A,1.0,N/A,N/A,N/A,1.29,304953,0.19,0.19,3.0,3.0,-0.115,nan,0.01
key,23 Sep 2017,23 Oct 2017,30.0,227.0,12,fintech,N/A,21780000.0,N/A,N/A,0.01,N/A,2,N/A,0.063,496995,-0.18,-1.41,-2.81,-2.81,0.205,nan,-0.006
silent-notary,15 Mar 2018,12 Apr 2018,28.0,56.0,2,blockchain,4,N/A,N/A,N/A,0.0,30710,0,6825,0.0,339139,1.69,2.92,5.85,5.85,-1.712,nan,0.094
patron,27 Mar 2018,9 May 2018,43.0,29.0,8,saas,26,40000000.0,40000000.0,1.0,0.5,14469,0,21693,-0.864,933787,0.29,0.5,1.01,1.01,-2.776,nan,0.008
stockchain,16 Mar 2018,19 Mar 2018,3.0,80.0,7,other,18,2693450.0,N/A,N/A,N/A,87153,1,55766,0.0,271642,0.31,-0.03,-0.52,-0.52,-0.165,nan,-0.004
seele,03 Apr 2018,03 Apr 2018,0.0,65.0,12,blockchain,N/A,12133800.0,12133800.0,1.0,0.0324,28796,N/A,N/A,8.3,1750560,-0.72,-1.25,-2.51,-2.51,-1.246,nan,-0.008
spindle,9 May 2018,15 May 2018,6.0,23.0,4,blockchain,12,N/A,N/A,N/A,0.23,30156,N/A,24252,-0.905,2379600,-0.07,-0.12,-0.25,-0.25,-2.206,nan,0.007
sphre-air,1 Jun 2017,30 Jun 2017,29.0,342.0,4,saas,4,5272732.0,N/A,N/A,0.19,N/A,1,N/A,-0.222,10531,0.17,0.13,2.1,2.1,-0.119,nan,0.004
blockcdn,25 Nov 2016,25 Dec 2016,30.0,529.0,12,other,1,N/A,N/A,N/A,N/A,N/A,1,N/A,0.0,31955,0.47,0.11,1.7,1.7,0.088,nan,0.006
cryptaur,27 Nov 2017,12 Mar 2018,105.0,87.0,7,saas,12,12000000.0,N/A,N/A,0.01,1848,N/A,1742,-0.606,165405,8.25,14.29,28.57,28.57,-1.0,nan,0.04
blockmesh,28 Feb 2018,31 Mar 2018,31.0,68.0,12,blockchain,13,3486451.0,9961289.0,0.35,0.05,5087,0,13260,-0.289,87339,-1.44,-2.49,-4.98,-4.98,0.679,nan,-0.033
shopin,30 Mar 2018,15 Apr 2018,16.0,53.0,1,other,11,42546499.0,50054705.0,0.85,0.1,N/A,N/A,1643,-0.68,70971,-0.13,-0.23,-0.45,-0.45,5.357,nan,-0.003
amon,4 Mar 2018,4 Apr 2018,31.0,64.0,5,other,8,1332600.0,26652000.0,0.05,0.05,6980,2,2482,0.264,152217,-0.43,-3.39,-6.78,-6.78,-1.531,nan,-0.045
xyo-network,20 Mar 2018,21 May 2018,62.0,17.0,1,other,25,11951000.0,47804000.0,0.25,0.01,16378,0,7339,-0.398,245464,-0.39,-0.67,-1.34,-1.34,-1.077,nan,-0.02
contractnet,10 Mar 2018,20 Mar 2018,10.0,79.0,3,other,10,2661505.0,N/A,N/A,N/A,N/A,N/A,1223,0.0,294035,-0.98,-1.69,-3.39,-3.39,-0.156,nan,-0.031
etherecash,15 Nov 2017,12 Dec 2017,27.0,177.0,12,fintech,8,40000000.0,100000000.0,0.4,1.0,N/A,10,1185,-0.216,248868,-0.15,-0.12,-1.95,-1.95,-0.543,nan,0.003
hero,14 Sep 2017,14 Oct 2017,30.0,236.0,5,entertainment,13,36416517.0,173411986.0,0.21,0.04,1959,0,4525,7.513,88370,-0.26,-0.46,-0.92,-0.92,-1.39,nan,-0.02
budbo,29 Jan 2018,5 Mar 2018,35.0,94.0,7,blockchain,33,30000000.0,52631579.0,0.57,0.35,3308,3,5298,-0.666,67317,0.1,0.81,1.63,1.63,0.244,nan,0.023
indicoin,30 Sep 2017,1 Nov 2017,32.0,218.0,12,blockchain,9,23000.0,N/A,N/A,0.02,N/A,1,22459,0.711,60496,0.16,0.05,0.73,0.73,-0.932,nan,0.028
utrum,20 May 2018,20 Jun 2018,31.0,-13.0,12,other,7,N/A,5000000.0,N/A,0.12,7401,1,1336,-0.249,21504,0.13,1.04,2.09,2.09,0.192,nan,0.007
zengold,26 May 2017,9 Jun 2017,14.0,363.0,3,saas,0,1908960.0,3030095.0,0.63,0.03,N/A,1,N/A,10.473,13093,0.18,0.17,2.64,2.64,0.919,nan,0.157
minex,15 May 2017,13 Jun 2017,29.0,359.0,2,blockchain,9,78985.0,N/A,N/A,6.18,N/A,1,10915,-0.89,8495,0.01,0.06,1.02,1.02,-0.008,nan,0.022
