icon,22 Sep 2017,22 Sep 2017,0.0,258.0,8,transportation,41,42750000.0,42750000.0,1.0,0.11,21045,1,103674,0.5,3.519,71509,0.34,0.32,5.1,5.1,-0.088,-0.286,0.017
selfkey,14 Jan 2018,14 Jan 2018,0.0,144.0,7,fintech,48,21776392.0,21776392.0,1.0,0.02,11273,1,0,0.74,2.327,31248100,-0.52,-0.26,-4.06,-4.06,-0.257,nan,-0.013
agrello,16 Jul 2017,17 Aug 2017,32.0,294.0,5,saas,13,30100000.0,43200000.0,0.7,0.56,4820,1,14946,0.8,-0.284,82770,-0.06,-0.0,-0.03,-0.02,-0.058,-3.347,0.005
karma,29 Nov 2017,15 Dec 2017,16.0,174.0,2,fintech,15,10000000.0,10000000.0,1.0,0.01,1219,1,4210,0.44,5.911,150439,-0.01,-0.17,-2.67,-2.67,-0.367,nan,-0.007
daostack,8 May 2018,7 Jun 2018,30.0,0.0,7,transportation,9,30000000.0,30000000.0,1.0,1.0,24069,9,5766,0.68,0.31,1927100,-0.36,-2.88,-5.75,-5.75,0.306,nan,-0.035
covesting,24 Nov 2017,15 Jan 2018,52.0,143.0,7,saas,12,18750000.0,18750000.0,1.0,2.56,8919,9,10122,0.82,0.207,328108,-0.21,-0.12,-1.95,-1.95,-0.248,nan,-0.005
swissborg,7 Dec 2017,10 Jan 2018,34.0,148.0,6,blockchain,13,50000000.0,50000000.0,1.0,0.1,4757,10,11176,0.3,0.028,115322,-0.35,-0.18,-2.92,-2.92,-0.233,nan,-0.007
sureremit,10 Jan 2018,10 Feb 2018,31.0,117.0,1,saas,11,10000000.0,10000000.0,1.0,1.0,2071,1,4429,0.34,-0.963,35294,-0.22,0.02,0.31,0.31,-0.546,nan,0.004
te-food,22 Feb 2018,22 Mar 2018,28.0,77.0,6,fintech,19,19100000.0,19100000.0,1.0,0.05,10265,1,10033,0.5,-0.448,302268,-0.04,0.09,1.4,1.4,-0.202,nan,0.002
remme,13 Feb 2018,22 Feb 2018,9.0,105.0,7,saas,20,20000000.0,20000000.0,1.0,0.04,16348,2,5884,0.74,-0.209,587552,-0.34,-0.0,-0.05,-0.05,0.046,nan,0.001
latoken,22 Aug 2017,10 Oct 2017,49.0,240.0,7,fintech,35,18880673.0,40171645.0,0.47,0.3,5539,1,8053,0.44,-0.058,163778,-0.05,0.11,1.73,1.73,-0.048,nan,0.005
unibright,20 Apr 2018,20 May 2018,30.0,18.0,5,fintech,13,13542375.0,13542375.0,1.0,0.14,10235,0,5271,0.24,0.384,2400200,-1.35,-2.34,-4.68,-4.68,-0.883,nan,-0.043
indahash,29 Nov 2017,20 Dec 2017,21.0,169.0,5,saas,15,42715825.0,66743477.0,0.64,0.24,11638,9,9855,0.84,1.561,3113160,-0.2,-0.11,-1.73,-1.73,-0.326,nan,-0.011
smartlands,2 Nov 2017,20 Nov 2017,18.0,199.0,12,fintech,11,1753698.0,25052829.0,0.07,1.0,1695,1,1968,0.68,-0.803,102013,0.24,0.16,2.52,2.52,0.211,nan,0.046
friendz,1 Mar 2018,20 Mar 2018,19.0,79.0,6,fintech,18,13754758.0,50300000.0,0.27,0.067,69664,6,55797,0.6,-0.704,250482,0.16,0.06,1.03,1.04,-0.43,-2.301,0.008
rivetz,10 Aug 2017,10 Sep 2017,31.0,270.0,1,saas,16,18653920.0,20057978.0,0.93,0.89,1587,1,9726,0.5,-0.446,31436,-0.0,-0.04,-0.59,-0.59,-0.004,nan,0.007
bitclave,29 Nov 2017,29 Nov 2017,0.0,190.0,1,saas,19,25547000.0,25547000.0,1.0,0.1,10619,6,22655,0.66,0.505,957302,0.12,-0.01,-0.23,-0.23,-0.003,nan,-0.003
polyswarm,20 Feb 2018,22 Mar 2018,30.0,77.0,1,saas,7,25940000.0,49884615.0,0.52,0.0165,7656,7,16,0.72,-0.643,25413,0.41,3.28,6.56,6.56,-0.028,nan,0.009
axpire,8 Jan 2018,12 Jan 2018,4.0,146.0,1,other,15,20000000.0,20000000.0,1.0,0.1,8084,1,6428,0.44,0.324,292608,-0.23,-0.15,-2.36,-2.36,-0.598,nan,-0.008
domraider,12 Sep 2017,9 Oct 2017,27.0,241.0,5,saas,33,67200000.0,67200000.0,1.0,0.12,356,2,152,0.62,-0.461,13888,0.02,0.09,1.36,1.36,-0.034,nan,0.006
matryx,13 Sep 2017,12 Oct 2017,29.0,238.0,1,saas,15,1984347.0,9019759.0,0.22,0.29,1533,1,109,0.22,1.498,1031,0.21,0.11,1.8,1.8,-0.223,nan,0.018
bitdegree,1 Dec 2017,29 Dec 2017,28.0,160.0,5,social services,22,22127834.0,22127834.0,1.0,0.08,16926,1,20212,0.72,5.711,693702,-0.2,0.05,0.79,0.79,-1.014,nan,0.01
flixxo,24 Oct 2017,24 Nov 2017,31.0,195.0,10,saas,5,4731021.0,12130823.0,0.39,0.12,3719,2,6216,0.6,-0.038,106293,-0.04,0.17,2.66,2.66,0.063,nan,0.011
playkey,1 Nov 2017,1 Dec 2017,30.0,188.0,2,entertainment,16,10512361.0,105123610.0,0.1,1.76,10010,3,9880,0.76,-0.682,9317,0.43,0.13,2.14,2.14,-0.214,nan,0.01
insurepal,16 Jan 2018,16 Jan 2018,0.0,142.0,5,saas,24,18000000.0,18000000.0,1.0,0.1,6468,7,6776,0.78,2.178,2442080,-0.2,-0.24,-3.87,-3.87,-0.234,nan,-0.013
snovio,30 Oct 2017,30 Nov 2017,31.0,189.0,2,fintech,13,2129106.0,10138600.0,0.21,0.01,19881,3,10459,0.44,-0.73,12041,0.48,0.23,3.71,3.71,0.032,nan,0.031
adbank,15 Dec 2017,14 Jan 2018,30.0,144.0,1,saas,5,13962900.0,13962900.0,1.0,0.05,6612,1,6131,0.64,-0.167,1033600,-0.14,-0.15,-2.44,-2.44,-0.303,nan,-0.004
devery,18 Jan 2018,19 Jan 2018,1.0,139.0,12,ecommerce,6,10000000.0,10000000.0,1.0,0.19,5265,4,2828,0.24,0.741,862413,-0.27,-0.13,-2.03,-2.03,0.287,nan,0.002
lendingblock,15 Apr 2018,22 Apr 2018,7.0,46.0,4,blockchain,6,10000000.0,10000000.0,1.0,0.02,7676,5,6160,0.4,0.548,458040,-0.24,-1.88,-3.76,-3.76,-0.435,nan,-0.025
biocoin,1 Nov 2017,18 Feb 2018,109.0,109.0,2,other,18,16000000.0,16000000.0,1.0,16.0,323,5,1257,0.38,-0.999,41016,-0.11,-0.18,-2.92,-2.92,0.098,nan,-0.002
leverj,7 Nov 2017,7 Dec 2017,30.0,182.0,12,saas,6,13049080.0,50188769.0,0.26,0.15,3615,1,5051,0.6,0.817,47085,-0.14,-0.14,-2.28,-2.28,-0.013,nan,-0.004
privatix,19 Oct 2017,16 Nov 2017,28.0,203.0,12,saas,16,2391939.0,14949619.0,0.16,3.3,1934,3,707,0.48,-0.055,99333,0.11,0.15,2.41,2.41,-0.132,nan,0.025
fundrequest,20 Nov 2017,01 Dec 2017,11.0,188.0,5,blockchain,11,12121040.0,14964247.0,0.81,0.48,11473,0,13049,0.54,-0.491,55032,-2.0,-3.46,-6.92,-6.92,1.007,nan,-0.022
auctus,10 Apr 2018,20 Apr 2018,10.0,48.0,7,blockchain,12,3865575.0,3904621.0,0.99,0.28,8578,3,9760,0.72,1.642,1413630,0.16,1.29,2.59,2.59,0.171,nan,-0.006
invacio,12 Mar 2018,30 Apr 2018,49.0,38.0,4,fintech,15,1912074.0,31867900.0,0.06,1.0,881,0,4178,0.3,-0.857,336316,-0.4,-0.7,-1.4,-1.4,-0.556,nan,-0.024
dether,7 Feb 2018,9 Feb 2018,2.0,118.0,5,saas,8,13444650.0,13444650.0,1.0,0.2,6764,1,1291,0.5,-0.237,40103,-0.32,-0.11,-1.69,-1.69,0.583,nan,0.002
fidentiax,6 Nov 2017,5 Dec 2017,29.0,184.0,7,saas,8,1566283.0,2900524.0,0.54,0.93,2469,1,3915,0.22,-0.701,77268,0.26,0.07,1.06,1.06,-0.209,nan,0.003
opus,24 Jul 2017,24 Aug 2017,31.0,287.0,12,entertainment,11,5737250.0,19783621.0,0.29,0.04,1643,1,3659,0.86,0.299,37435,-0.08,-0.0,-0.01,-0.01,-0.074,nan,0.032
adhive,28 Feb 2018,14 Mar 2018,14.0,85.0,5,entertainment,17,17491749.0,17491749.0,1.0,0.17,16008,1,5543,0.82,-0.675,772548,0.12,0.93,1.86,1.86,-1.422,nan,-0.003
atlant,7 Sep 2017,1 Nov 2017,55.0,218.0,2,real estate,12,6663530.0,66635300.0,0.1,0.57,5125,5,4048,0.56,-0.308,323580,-0.27,0.04,0.68,0.68,-0.229,nan,0.005
amlt,11 Dec 2017,29 Jan 2018,49.0,129.0,12,blockchain,18,19042042.0,19042042.0,1.0,0.39,4935,0,6582,0.38,-0.798,263017,-0.16,-0.01,-0.1,-0.1,0.038,nan,-0.0
hoqu,27 Nov 2017,26 Feb 2018,91.0,101.0,4,fintech,5,18782400.0,32951579.0,0.57,0.17,14752,3,6135,0.84,-0.564,29097,-0.15,-0.04,-0.63,-0.63,0.031,nan,-0.011
gatcoin,17 Dec 2017,5 Jan 2018,19.0,153.0,3,saas,17,14500000.0,14500000.0,1.0,0.2,3972,1,4363,0.54,-0.604,681451,-0.3,-0.23,-3.69,-3.69,-0.044,nan,-0.012
iungo,7 Dec 2017,31 Jan 2018,55.0,127.0,5,saas,14,45978800.0,45978800.0,1.0,1.15,10650,1,4957,0.72,-0.587,885373,-0.17,-0.2,-3.17,-3.17,-0.063,nan,-0.011
experty,25 Jan 2018,25 Feb 2018,31.0,102.0,6,telecommunications,15,9468000.0,9468000.0,1.0,1.05,13880,7,15584,0.82,-0.373,1742640,-0.58,-0.12,-1.85,-1.85,-0.055,nan,-0.013
cryptopay,2 Oct 2017,30 Oct 2017,28.0,220.0,4,blockchain,3,18148220.0,64815071.0,0.28,0.31,369,5,8586,0.48,0.243,380453,0.1,0.07,1.04,1.04,-0.347,nan,0.005
lampix,9 Aug 2017,18 Aug 2017,9.0,293.0,1,saas,13,14200000.0,59166667.0,0.24,0.26,1679,1,3364,0.4,-0.634,29039,0.07,0.06,0.89,0.89,-0.122,nan,0.006
sense,7 Nov 2017,21 Nov 2017,14.0,198.0,1,telecommunications,7,15000000.0,15000000.0,1.0,0.1,2418,1,9018,0.44,-0.433,13019,0.03,-0.16,-2.58,-2.58,-0.277,nan,-0.002
vezt,4 Nov 2017,3 Dec 2017,29.0,186.0,1,entertainment,19,1378806.0,15320067.0,0.09,0.5,2818,1,5363,0.54,5.32,2379180,-0.14,-0.13,-2.04,-2.04,-0.521,nan,-0.009
tokenbox,14 Nov 2017,28 Nov 2017,14.0,191.0,2,saas,8,8000000.0,20000000.0,0.4,1.0,1964,1,2421,0.76,0.5,116601,-0.15,-0.12,-1.91,-1.91,0.075,nan,-0.006
parkgene,15 Jan 2018,19 Mar 2018,63.0,80.0,7,fintech,5,24335000.0,34764286.0,0.7,0.1,6839,4,775,0.6,-0.874,58791,-0.13,-1.05,-2.1,-2.1,-0.407,nan,-0.014
aigang,15 Nov 2017,15 Dec 2017,30.0,174.0,7,fintech,7,4228920.0,30206571.0,0.14,0.31,4738,1,7820,0.7,12.097,16206500,-0.22,-0.26,-4.06,-4.06,-0.228,nan,-0.018
coinlancer,14 Oct 2017,15 Nov 2017,32.0,204.0,12,saas,36,11860153.0,49417304.0,0.24,0.25,7177,5,2293,0.5,0.691,3536710,0.03,-0.09,-1.49,-1.49,-0.219,nan,-0.008
obsidian,12 Aug 2017,26 Aug 2017,14.0,285.0,4,saas,6,1566332.0,8701844.0,0.18,0.15,796,4,8841,0.62,1.49,262223,0.12,0.15,2.45,2.45,-0.033,nan,0.004
fabric-token,15 Feb 2018,1 Apr 2018,45.0,67.0,5,blockchain,11,1035986.0,8633217.0,0.12,0.1125,5363,0,1545,0.42,-0.172,83004,0.81,1.4,2.8,2.8,-4.494,nan,0.012
goldmint,20 Sep 2017,11 Nov 2017,52.0,208.0,2,fintech,11,7300000.0,40555556.0,0.18,7.0,11115,10,2597,0.46,-0.634,74776,0.24,0.16,2.47,2.47,0.146,nan,0.007
live-stars,15 Jan 2018,15 Feb 2018,31.0,112.0,5,saas,6,2518564.0,5037128.0,0.5,0.2,2715,1,7684,0.5,-0.602,144179,-0.06,-0.46,-0.92,-0.92,-0.183,nan,-0.015
soma,27 Sep 2017,14 Nov 2017,48.0,205.0,5,ecommerce,11,6049621.0,40330807.0,0.15,0.74,3818,2,5051,0.54,-0.686,6114,0.39,0.15,2.37,2.37,-0.24,nan,0.025
nitro,30 Nov 2017,26 Dec 2017,26.0,163.0,3,saas,11,2694156.0,53883120.0,0.05,0.97,16005,1,3791,0.84,0.577,131540,0.07,0.07,1.18,1.18,-0.371,nan,0.028
bitjob,12 Sep 2017,13 Oct 2017,31.0,237.0,12,saas,26,2726424.0,12000000.0,0.23,0.39,2182,1,6902,0.62,-0.733,67138,-0.15,0.14,2.26,2.23,-0.182,0.278,0.013
real,31 Aug 2017,30 Sep 2017,30.0,250.0,7,real estate,4,10604571.0,33139284.0,0.32,1.38,2002,7,4513,0.52,-0.268,13785,0.0,-0.02,-0.34,-0.34,0.109,nan,0.016
centra,03 Aug 2017,02 Oct 2017,60.0,248.0,1,fintech,19,26100000.0,26100000.0,1.0,0.73,1191,5,48,0.56,-0.527,2484,0.24,0.14,2.22,2.22,0.789,nan,0.039
patron,27 Mar 2018,9 May 2018,43.0,29.0,8,saas,26,40000000.0,40000000.0,1.0,0.5,14469,0,21693,0.64,-0.864,933787,0.29,0.5,1.01,1.01,-2.776,nan,0.008
blockmesh,28 Feb 2018,31 Mar 2018,31.0,68.0,12,blockchain,13,3486451.0,9961289.0,0.35,0.05,5087,0,13260,0.42,-0.289,87339,-1.44,-2.49,-4.98,-4.98,0.679,nan,-0.033
xyo-network,20 Mar 2018,21 May 2018,62.0,17.0,1,other,25,11951000.0,47804000.0,0.25,0.01,16378,0,7339,0.66,-0.398,245464,-0.39,-0.67,-1.34,-1.34,-1.077,nan,-0.02
hero,14 Sep 2017,14 Oct 2017,30.0,236.0,5,entertainment,13,36416517.0,173411986.0,0.21,0.04,1959,0,4525,0.52,7.513,88370,-0.26,-0.46,-0.92,-0.92,-1.39,nan,-0.02
budbo,29 Jan 2018,5 Mar 2018,35.0,94.0,7,blockchain,33,30000000.0,52631579.0,0.57,0.35,3308,3,5298,0.34,-0.666,67317,0.1,0.81,1.63,1.63,0.244,nan,0.023
