ico_name,date,year,website,age_months,age_days,country,industry,hardcap,money_raised,pct_complete,sol_pct_complete,hardcap_reached,token_prx,followers,team_size,cum_years_experience,accredited_advisors,media_mentions,listing_prx,token_prx_1m,token_prx_3m,token_prx,log_rets_1m,log_rets_3m,log_rets
Internxt,9/28/2017,17,https://internxt.io/,3,95,Spain,SaaS,41000000,220800,0.54,54,0,1.02,1189,6,8,0,4,1.74,1.98,19.82,16.68,0.13,2.43,2.13
Solomon Exchange,9/27/2017,17,https://solomonex.info/,3,96,Caynman Islands,Fintech,15000000,156775,1.05,105,0,1,0,3,0,0,3,0.00,0.00,0.00,0.00,NaN,NaN,NaN
Hackspace Capital,9/20/2017,17,https://hackspace.capital/,3.3,103,Cyprus,Crowdfunding,90000000,5094934,5.66,566,0,0.09,556,9,-1,0,4,0.06,0.04,0.04,0.04,-0.41,-0.41,0.00
Impak Finance,9/20/2017,17,https://mpk.impak.eco/en/,3.3,103,Canada,Fintech,9315000,1131429,12.15,1215,0,0.81,2191,8,100,5,6,0.81,1.67,0.00,0.00,0.72,NaN,NaN
Modum.io,9/22/2017,17,https://modum.io/,3.25,101,Switzerland,Data Services,16400000,13350000,81.4,8140,0,1,11800,16,-1,2,3,0.49,0.49,2.25,6.72,0.00,1.52,2.62
DetectorToken,9/20/2017,17,https://detectortoken.com/,3.3,103,Poland,Fintech,5092971,290000,5.69,569,0,0.42,3859,3,-1,0,2,0.42,0.10,0.03,0.07,-1.44,-2.64,-0.36
SilentNotary,9/18/2017,17,https://silentnotary.com/,3.35,105,Belize,Legal,15000000,0,0,0,0,0.01,2145,15,100,0,0,0.00,0.00,0.00,NaN,NaN,NaN,NaN
Intelligent Trading Tech,9/17/2017,17,http://intelligenttrading.org/,3.4,106,Hong Kong,Fintech,5460000,2012440,36.86,3686,0,0.36,458,8,15,2,0,0.19,0.19,0.23,0.20,0.00,0.19,0.05
KyberNetwork,9/16/2017,17,https://kyber.network/,3.4,107,Singapore,Fintech,46000000,46000000,100,10000,1,0.38,6124,3,0,2,7,1.85,1.16,1.62,2.67,-0.47,-0.13,0.83
KICKICO,9/16/2017,17,https://www.kickico.com/zh/,3.4,107,Russia,Crowdfunding,12800000,21581925,168.61,16861,1,0.085,5550,6,52,6,5,0.28,0.08,0.04,0.05,-1.25,-1.95,-0.47
Smart Investment Fund Token,9/15/2017,17,https://smartift.com/,3.5,108,USA,Fintech,-1,1728440,NaN,NaN,0,2.6,602,2,-1,0,0,4.43,7.79,2.64,6.02,0.56,-0.52,-0.26
Trackr,9/15/2017,17,https://www.trackr.im/,3.5,108,UK,Fintech,3250000,288798,8.89,889,0,0.05,3522,1,-1,0,1,0.03,0.07,0.09,0.07,0.85,1.10,0.00
Propy,9/15/2017,17,https://tokensale.propy.com/,3.5,108,USA,Real Estate,10000000,5077000,50.77,5077,0,1,2725,11,50,6,5,0.82,0.32,0.57,1.91,-0.94,-0.36,1.79
FaceCoin,9/15/2017,17,http://facecoin.tech/,3.5,108,Switzerland,Social Service,9122400,9122400,100,10000,1,0.46,512,5,15,0,1,0.06,0.01,0.00,0.01,-1.79,-3.40,0.00
ICObox,9/15/2017,17,https://icos.icobox.io/,3.5,108,Singapore,Crowdfunding,14800000,14800000,100,10000,1,44.37,346,35,-1,4,7,41.53,51.65,43.33,26.66,0.22,0.04,-0.66
Social(SCL),9/14/2017,17,https://ico.nexus.social/,3.5,109,UK,Social Service,26000000,5265509,20.25,2025,0,0.52,987,7,10,1,4,0.37,0.19,0.23,0.33,-0.67,-0.48,0.55
BitDice,9/14/2017,17,https://ico.bitdice.me/zh/,3.5,109,Costa Rica,Gambling,10000000,8748793,87.49,8749,0,0.09,713,2,-1,0,7,0.11,0.16,0.36,0.39,0.37,1.19,0.89
Aventus,09/12/2017,17,https://aventus.io/,3.7,111,UK,Entertainment,15000000,20060400,133.74,13374,1,3.66,788,13,100,0,9,4.52,3.11,4.26,3.81,-0.37,-0.06,0.20
Enigma Catalyst,09/12/2017,17,https://easymine.io/,3.7,111,USA,Fintech,45000000,45000000,100,10000,1,0.6,493,5,95,0,5,0.60,0.61,0.62,2.50,0.02,0.03,1.41
Ahoolee,09/11/2017,17,http://ahoolee.io/,3.7,112,Russia,Ecommerce,10000000,154000,1.54,154,0,0.4,307,8,35,0,4,0.34,0.30,0.28,0.35,-0.13,-0.19,0.15
StuffGoGo,09/11/2017,17,https://stuffgogo.com/,3.7,112,USA,Ecommerce,29392000,239752,0.82,82,0,0.03,625,3,15,0,2,0.00,0.00,0.00,0.00,NaN,NaN,NaN
Prospector,09/10/2017,17,https://prospectors.io/en,3.7,113,Ukraine,Gaming,8500000,267000,3.14,314,0,0.3,213,6,0,0,4,0.02,0.14,0.07,0.09,1.95,1.25,-0.44
Rivetz,09/10/2017,17,https://rivetzintl.com/,3.7,113,USA,Cybersecurity,20000000,18653920,93.27,9327,0,0.88,1158,9,100,4,10,0.73,0.53,0.48,1.02,-0.32,-0.42,0.65
Filecoin,09/10/2017,17,http://filecoin.io/,3.7,113,USA,Data Services,40000000,257000000,642.5,64250,1,0.75,19500,12,-1,0,8,11.47,12.45,11.33,19.57,0.08,-0.01,0.45
fujinto,09/10/2017,17,https://fujinto.io/,3.7,113,Japan,Transportation,17566200,2150550,12.24,1224,0,0.07,1922,3,-1,0,1,0.42,0.02,0.01,0.01,-3.04,-3.96,-1.39
Hubii,09/07/2017,17,https://www.hubii.network/,3.8,116,Singapore,SaaS,50000000,7130256,14.26,1426,0,0.33,996,5,-1,0,6,0.11,0.11,0.12,0.48,0.00,0.09,1.47
Revain,09/06/2017,17,https://revain.org/,3.8,117,Russia,SaaS,31113290,12513346,40.22,4022,0,0.04,2011,5,15,0,5,0.09,0.09,0.26,0.89,0.00,1.06,2.29
Substratum,09/06/2017,17,https://substratum.net,3.8,117,USA,SaaS,45000000,13800000,30.67,3067,0,0.08,9591,6,100,1,4,0.05,0.10,0.67,1.06,0.69,2.60,2.36
WorldWide Anonymous Messaging,09/06/2017,17,http://wwam.io/,3.8,117,France,SaaS,125000000,148250,0.12,12,0,0.001,356,4,-1,0,1,0.00,0.00,0.00,0.00,NaN,NaN,NaN
COSS,09/06/2017,17,https://coss.io/,3.8,117,Singapore,Fintech,67000000,3200000,4.78,478,0,0.56,16600,7,-1,1,6,0.04,0.16,0.11,0.26,1.39,1.01,0.49
Indorse,09/06/2017,17,https://indorse.io/,3.8,117,Singapore,Social Service,15000000,9247392,61.65,6165,0,0.33,1795,4,-1,4,8,0.20,0.08,0.11,0.18,-0.92,-0.60,0.81
Viberate,09/05/2017,17,https://www.viberate.io/,3.8,118,Slovenia,Entertainment,12000000,12000000,100,10000,1,0.1,2488,3,100,3,13,0.29,0.29,0.18,0.42,0.00,-0.48,0.37
FinShi Capital,8/31/2017,17,http://finshi.capital/,4,123,Singapore,Fintech,50000000,21420275,42.84,4284,0,1,320,3,30,1,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN
Moeda,8/31/2017,17,https://moeda.in/,4,123,Brazil,Fintech,5000000,19628888,392.58,39258,Yes,1,2770,8,-1,1,0,2.23,2.41,1.40,2.19,0.08,-0.47,-0.10
ATB Coin,8/31/2017,17,https://atbcoin.com/,4,123,USA,Fintech,50000000,14980000,29.96,2996,0,1,2135,5,20,0,8,1.13,0.97,0.82,0.44,-0.15,-0.32,-0.79
XPlay,8/30/2017,17,http://xplay.fund,4,124,Hong Kong,Gaming,5944095,3771624,63.45,6345,0,0.01,315,6,-1,0,0,0.01,0.02,0.03,0.12,0.69,1.10,1.79
DMarket,8/21/2017,17,https://dmarket.io/,4.3,133,Russia,Gaming,53300000,19026768,35.7,3570,0,0.63,750,3,-1,5,0,0.85,NaN,NaN,NaN,NaN,NaN,NaN
Corion,8/27/2017,17,https://www.corion.io/,4.1,127,Switzerland,Fintech,20000000,3123000,15.62,1562,0,1,735,4,-1,0,5,0.81,0.81,0.95,0.54,0.00,0.16,-0.41
DimCoin,8/27/2017,17,https://www.dimcoin.io/,4.1,127,South Africa,Fintech,13500000,14005746,103.75,10375,1,1,2925,5,-1,0,7,0.25,0.14,NaN,NaN,-0.58,NaN,NaN
Opus,8/24/2017,17,http://opus-foundation.org/,4.2,130,USA,Entertainment,20000000,5737250,28.69,2869,0,0.036,1416,9,-1,0,5,0.06,0.02,0.01,0.05,-1.10,-1.46,0.92
Paquarium,8/24/2017,17,https://ico.paquarium.com/#executiveteam,4.2,130,Estonia,Construction,120000000,619807,0.52,52,0,0.1,123,8,-1,0,0,0.16,0.09,0.05,0.50,-0.58,-1.16,1.71
Agrello,8/17/2017,17,https://www.agrello.org/,4.5,137,Estonia,Legal,43200000,30100000,69.68,6968,0,0.43,4450,7,14,2,8,0.40,0.36,0.15,0.55,-0.11,-0.98,0.42
Tierion,08/10/2017,17,https://tokensale.tierion.com/,4.8,144,USA,Data Services,25000000,25000000,100,10000,1,0.07,4268,4,50,3,4,0.20,0.11,0.06,0.20,-0.60,-1.20,0.60
Blocktix,08/07/2017,17,https://www.blocktix.io/,4.9,147,Netherlands,Entertainment,7500000,6981328,93.08,9308,10,0.24,713,3,1,1,0,0.15,0.38,0.11,1.19,0.93,-0.31,1.14
MonsterByte,08/04/2017,17,https://www.monsterbyte.io/ico,4.9,150,Panama,Gambling,1000000,1000000,100,10000,1,0.11,2133,4,-1,0,5,0.05,0.06,0.03,0.09,0.18,-0.51,0.41
CoinDash,08/04/2017,17,https://santiment.net/,4.9,150,Switzerland,Fintech,12215250,12215250,100,10000,1,0.27,8075,9,10,1,7,0.26,0.23,0.29,5.74,-0.12,0.11,3.22
district0x Network,08/01/2017,17,https://district0x.io/,5,153,USA,Fintech,50000000,10102951,20.21,2021,0,0.017,4273,2,10,5,6,0.02,0.11,0.04,0.16,1.70,0.69,0.37
SunContract,08/01/2017,17,https://suncontract.org/,5,153,Slovenia,Energy,2250000,2000000,88.89,8889,0,0.016,3190,14,-1,2,7,0.02,0.04,0.03,0.25,0.69,0.41,1.83
FundYourselfNow,7/31/2017,17,https://www.fundyourselfnow.com/#,5,154,Singapore,Crowdfunding,25125000,1467300,5.84,584,0,2.01,5059,5,60,5,4,1.10,3.16,1.84,4.08,1.06,0.51,0.26
Cryptonomos,7/31/2017,17,https://cryptonomos.com/wtt/,5,154,USA,SaaS,30000000,15000000,50,5000,0,1.2,2026,7,100,0,5,2.08,2.08,1.67,1.55,0.00,-0.22,-0.29
RootProject*,7/28/2017,17,https://www.rootproject.co/,5.1,157,USA,Crowdfunding,50000000,246000,0.49,49,0,0.025,3972,5,-1,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TrueFlip,7/28/2017,17,https://ico.trueflip.io/,5.1,157,Costa Rica,Gambling,20000000,8244292,41.22,4122,0,1.36,666,2,10,4,15,1.31,1.40,0.87,1.81,0.07,-0.41,0.26
GeoFounders,7/26/2017,17,http://www.geofounders.com/ico/,5.2,159,USA,SaaS,2500000,40447,1.62,162,0,0.2,120,3,20,0,0,0.25,0.00,0.00,0.39,NaN,-4.83,NaN
Primalbase,7/26/2017,17,http://primalbase.com/,5.2,159,Netherlands,Real Estate,7600000,7600000,100,10000,1,7554.6,350,6,-1,3,8,5344.50,5344.50,4080.81,6824.33,0.00,-0.27,0.24
Dent,7/26/2017,17,https://www.dentcoin.com/,5.2,159,Hong Kong,Data Services,31000000,4384236,14.14,1414,0,0.005,6458,5,100,3,0,0.00,0.00,0.00,0.02,0.69,-0.18,2.81
Eros,7/23/2017,17,https://eros.vision/,5.3,162,Netherlands,Entertainment,10000000,4835093,48.35,4835,0,1,211,2,-1,0,1,0.00,0.00,0.00,0.00,NaN,NaN,NaN
SkinCoin,7/21/2017,17,https://skincoin.org/,5.3,164,Russia,Gaming,10000000,3292183,32.92,3292,0,0.04,707,6,35,0,14,0.04,0.03,0.01,0.02,-0.29,-1.05,-0.63
Gilgam,7/20/2017,17,https://ico.gilgam.es/ico,5.3,165,Malta,Gaming,45000000,230000,0.51,51,0,0.45,2838,6,-1,0,1,0.00,0.00,0.01,0.00,NaN,NaN,NaN
Pillar,7/17/2017,17,https://pillarproject.io/,5.4,168,Switzerland,Fintech,56000000,20000000,35.71,3571,0,0.1,1174,4,30,6,4,0.07,0.16,0.06,0.32,0.89,-0.10,0.69
Mothership,7/16/2017,17,https://mothership.cx/,5.5,169,Estonia,Fintech,8000000,5406897,67.59,6759,0,0.04,4249,2,20,3,1,0.04,0.17,0.10,0.28,1.45,0.92,0.50
Bitquence,7/16/2017,17,https://www.bitquence.com/,5.5,169,USA,Social Service,25482000,1680433,6.59,659,0,0.03,13235,10,100,0,4,0.06,0.84,0.84,3.04,2.64,2.64,1.29
PressOne,7/15/2017,17,https://ico.info/projects/1,,170,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
SONM,7/15/2017,17,https://sonm.io/,,170,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Orocrypt,7/14/2017,17,https://orocrypt.com/#,,171,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Fuck,7/13/2017,17,http://www.fucktoken.io/,,172,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Tezos,7/13/2017,17,https://www.tezos.com/,,172,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
InsureX,7/13/2017,17,https://insurex.co/,,172,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Nimiq,07/12/2017,17,https://nimiq.com/,,173,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
ATBcoin,07/12/2017,17,https://atbcoin.com/,,173,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
LeviarCoin,07/09/2017,17,https://leviarcoin.org/,,176,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
OnPlace,07/06/2017,17,http://investments.onplace.io/,,179,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Polybius,07/05/2017,17,https://polybius.io/,,180,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Santiment,07/05/2017,17,https://santiment.net,,180,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
OpenANX,07/04/2017,17,https://www.openanx.org/en/,,181,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Rialto,07/04/2017,17,https://www.rialto.ai/,,181,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Starta,07/04/2017,17,https://startaico.com/,,181,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
CrypViser,07/04/2017,17,https://ico.crypviser.net/,,181,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Rialto.AI,07/03/2017,17,https://www.rialto.ai/,,182,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
EncryptoTel,07/01/2017,17,https://encryptotel.com/,,184,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
AdEx,6/30/2017,17,https://www.adex.network/,,185,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
BlockPool,6/30/2017,17,https://blockpool.io,,185,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
DCORP,6/29/2017,17,https://www.dcorp.it/crowdsale,,186,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Air,6/29/2017,17,https://tokeninvestor.com/crowdfunding/air,,186,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
21 Million,6/28/2017,17,https://www.21million.co.uk/,,187,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
SilverCoin,6/27/2017,17,https://silvercoin.io/,,188,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
iDice,6/26/2017,17,https://crowdsale.idice.io/,,189,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Octanox,6/26/2017,17,https://octanox.org/,,189,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Wagerr,6/25/2017,17,https://wagerr.com/,,190,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
CryptoPing,6/25/2017,17,https://cryptoping.tech/,,190,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
NVO,6/25/2017,17,https://nvo.io/,,190,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
TenX,6/24/2017,17,https://www.tenx.tech/,,191,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
MaskNetwork,6/24/2017,17,http://masknetwork.com/,,191,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
