ico_name,date,year,website,age_months,age_days,country,industry,hardcap,money_raised,pct_complete,sol_pct_complete,hardcap_reached,token_prx,followers,team_size,cum_years_experience,accredited_advisors,media_mentions,listing_prx,token_prx_1m,token_prx_3m,token_prx,log_rets_1m,log_rets_3m,log_rets
OmiseGO,6/23/2017,17,https://omg.omise.co/,,192,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
FootballCoin,6/23/2017,17,https://www.xfccoin.io/,,192,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Civic,6/22/2017,17,https://www.civic.com/,,193,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Status,6/21/2017,17,https://status.im/,,194,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Internet of Coins,6/21/2017,17,https://coinstorm.net/en,,194,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Monaco,6/18/2017,17,https://mona.co/,,197,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
BidLend,6/14/2017,17,http://www.bidlend.io/,,201,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Minexcoin,6/13/2017,17,https://minexcoin.com/,,202,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
SuperDAO,6/13/2017,17,http://www.superdao.io/,,202,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Bancor,06/12/2017,17,https://www.bancor.network/,,203,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Aira,06/11/2017,17,http://aira.life/,,204,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Zrcoin,06/09/2017,17,https://zrcoin.io/,,206,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
EcoBit,06/08/2017,17,http://www.ecobit.io/en/index.html,,207,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Cofound.it,06/06/2017,17,https://cofound.it/en/,,209,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
VOISE,06/06/2017,17,https://voise.it/,,209,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Patientory,06/03/2017,17,https://patientory.com/,,212,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Embermine,06/02/2017,17,https://embermine.com/,,213,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Adel,06/01/2017,17,https://www.adelphoi.io/,,214,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Basic Attention Token,5/31/2017,17,https://basicattentiontoken.org/,,215,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Exscudo,5/31/2017,17,https://exscudo.com/,,215,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Mysterium Network,5/30/2017,17,https://mysterium.network/,,216,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Suretly,5/30/2017,17,https://www.ico.suretly.com/,,216,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Veritaseum,5/26/2017,17,http://veritas.veritaseum.com/,,220,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Metal,5/26/2017,17,https://www.metalpay.com/,,220,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
MobileGo,5/25/2017,17,https://mobilego.io/,,221,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Storj,5/25/2017,17,https://storj.io/index.html,,221,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
E4ROW,5/22/2017,17,https://www.e4row.co.il/,,224,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Viva Coin,5/21/2017,17,https://vivaco.in/,,225,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Aragon,5/17/2017,17,https://aragon.one/,,229,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
BitcoinGrowthFund,5/17/2017,17,https://bitcoingrowthfund.com/mcap,,229,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Peerplays,5/15/2017,17,https://www.peerplays.com/,,231,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Ethbits,5/15/2017,17,https://www.ethbits.com/,,231,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Legends Room,5/15/2017,17,https://legendsroomlv.com/,,231,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
BOScoin,05/10/2017,17,https://boscoin.io/en/home/,,236,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Nexxus,05/08/2017,17,http://www.nexxuscoin.com/sections/company/21/nexxuscoin/index.html,,238,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Quantum Resistant Ledger,05/07/2017,17,https://theqrl.org/,,239,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
TokenCard,05/02/2017,17,https://tokencard.io/,,244,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Creativechain,05/01/2017,17,https://www.creativechain.org,,245,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Apptrade,4/30/2017,17,https://www.apptrade.io/,,246,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Lunyr,4/28/2017,17,https://lunyr.com/,,248,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Back to Earth,4/28/2017,17,https://backto.earth/,,248,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
TaaS,4/27/2017,17,https://taas.fund/,,249,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Humaniq,4/27/2017,17,https://humaniq.co/,,249,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Gnosis,4/24/2017,17,https://gnosis.pm/,,252,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
IEX.EC,4/19/2017,17,http://iex.ec/,,257,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
WeTrust,04/12/2017,17,https://www.wetrust.io/,,264,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Blockchain Capital,04/10/2017,17,http://blockchain.capital/,,266,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Aeternity,04/06/2017,17,https://www.aeternity.com/,,270,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Cosmos Network,04/06/2017,17,https://cosmos.network/,,270,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Cosmos,04/05/2017,17,https://cosmos.network/,,271,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Matchpool,04/03/2017,17,https://matchpool.co/,,273,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Equibit,3/31/2017,17,http://equibitgroup.com/,,276,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Chain of Points,3/31/2017,17,https://chainofpoints.com/,,276,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
CashScripter,3/30/2017,17,https://www.cashscripter.com/,,277,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Qtum,3/21/2017,17,https://qtum.org/en/,,286,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Edgeless,3/21/2017,17,https://edgeless.io/,,286,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Lykke,2/28/2017,17,https://www.lykke.com/,,307,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Augmentors,2/28/2017,17,http://www.augmentorsgame.com/,,307,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Lykke (2nd round),2/27/2017,17,https://www.lykke.com/,,308,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Contingency,2/27/2017,17,https://contingency.tech/,,308,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Etheroll,2/26/2017,17,https://etheroll.com/,,309,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Melon,2/15/2017,17,https://melonport.com/,,320,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Chronobank,2/14/2017,17,https://chronobank.io/,,321,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Dfinity,2/13/2017,17,https://dfinity.network/,,322,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Tokes,1/14/2017,17,http://cannabisrevolution.us/,,352,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Wings,01/06/2017,17,https://www.wings.ai/#!/home/discover,,360,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
BetKing,12/31/2016,16,https://betking.io/,,366,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Darcrus,12/28/2016,16,https://darcr.us/,,369,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
BlockCDN,12/26/2016,16,http://www.blockcdn.org/,,371,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Ether.camp,12/22/2016,16,http://www.ether.camp/,,375,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Virtual Accelerator,12/21/2016,16,http://www.ether.camp/,,376,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Mysterium (1st round),12/18/2016,16,https://mysterium.network/,,379,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
vDice,12/15/2016,16,https://www.vdice.io/,,382,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Ark,12/11/2016,16,https://ark.io/,,386,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Golos,12/04/2016,16,https://golos.io/,,393,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Incent,11/30/2016,16,https://www.incentloyalty.com/,,397,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Beyond the Void,11/30/2016,16,https://www.beyond-the-void.net/,,397,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
MassNetwork,11/30/2016,16,https://mass.network/,,397,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Arcade City,11/29/2016,16,https://arcade.city/,,398,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
ETCWin,11/23/2016,16,https://www.etcwin.com/,,404,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Komodo,11/20/2016,16,https://komodoplatform.com/,,407,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Golem,11/11/2016,16,https://golem.network/,,416,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Kibo Lotto,11/09/2016,16,https://kiboplatform.net/en/landing.html,,418,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Decent,11/06/2016,16,https://decent.ch/,,421,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Synereo,10/17/2016,16,https://www.synereo.com/,,441,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Lykke (1st round),10/09/2016,16,https://www.lykke.com/,,449,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
SingularDTV,10/02/2016,16,https://singulardtv.com/,,456,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Iconomi,9/26/2016,16,https://www.iconomi.net/,,462,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
First Blood,9/26/2016,16,https://firstblood.io/sale/,,462,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Antshares,09/07/2016,16,https://www.antshares.org/,,481,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Metaverse,09/05/2016,16,http://viewfin.com/index.html#team,,483,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
BlockPay,09/05/2016,16,https://blockpay.ch/,,483,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Elastic,8/19/2016,16,http://www.elastic-project.com/,,500,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
HEAT,8/16/2016,16,http://heatledger.com/,,503,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Icoo,7/30/2016,16,https://www.icoo.io/,,520,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Xaurum,7/16/2016,16,https://rico.xaurum.org/,,534,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Stratis,7/16/2016,16,https://stratisplatform.com/,,534,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Breakout Coin,07/07/2016,16,http://www.breakoutcoin.com/,,543,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Waves,06/01/2016,16,https://wavesplatform.com/downloads.html#,,579,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Rise,06/01/2016,16,https://rise.vision/,,579,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Plutus,06/01/2016,16,https://getplutons.plutus.it/,,579,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Mycelium  (2nd round),5/17/2016,16,https://wallet.mycelium.com/,,594,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
The DAO,05/01/2016,16,https://forum.daohub.org/,,610,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Project Decorum,05/01/2016,16,http://www.project-decorum.com/,,610,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Ionomy,04/01/2016,16,https://ionomy.com/,,640,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
DigixGlobal,3/29/2016,16,https://dgx.io/,,643,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
DigixDAO,3/28/2016,16,https://www.dgx.io/,,644,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Lisk,3/21/2016,16,https://lisk.io/,,651,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Obits,01/01/2016,16,https://obits.io/,,731,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Iota,12/20/2015,15,https://iota.org/,,743,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Augur,10/01/2015,15,https://augur.net/,,823,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Spells of Genesis,09/01/2015,15,https://spellsofgenesis.com/,,853,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Factom,5/14/2015,15,https://www.factom.com/,,963,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
NeuCoin,4/30/2015,15,http://www.neucoin.org/en/,,977,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
DacPlay,2/21/2015,15,https://dacplay.org/en/,,1045,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
GetGems,01/04/2015,15,http://getgems.org,,1093,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
MUSE,12/03/2014,14,http://www.museblockchain.com,,1125,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
SuperNET,9/22/2014,14,http://thesupernet.org/,,1197,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Ethereum,09/02/2014,14,https://ethereum.org/,,1217,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Storjcoin X,8/17/2014,14,https://storj.io/index.html,,1233,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Swarm,7/19/2014,14,https://swarmcorp.com/,,1262,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
MaidSafeCoin,5/21/2014,14,https://maidsafe.net/,,1321,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Counterparty,02/03/2014,14,https://counterparty.io/,,1428,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
