,coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
223,patientory,31-May-17,03-Jun-17,3,370,1,4,6.0,7200000.0,10285714.0,0.7,0.1,7348.945986307265,1.0,12006.770707423431,0.4921636783561435,6.165,3256.0,0.08,0.09,1.41,1.41,-0.049,,0.006999999999999999
224,paragon,15-Sep-17,15-Oct-17,30,236,1,7,12.0,6000000.0,100000000.0,0.06,1.0,3808.0,6.0,12006.770707423431,0.4921636783561435,-0.35,284896.0,-0.16,0.01,0.14,0.14,-0.163,,0.0
225,faceter,15-Feb-18,30-Mar-18,43,70,11,7,9.0,28610352.0,40871931.0,0.7,0.0349,2078.0,3.027427455376447,51.0,0.5749858098677566,-0.43,135291.0,-0.35,-0.61,-1.22,-1.22,-1.579,,0.0
226,golos,30-Oct-16,02-Dec-16,33,553,12,5,11.78575519762246,13881450.0,34566584.30097836,,0.1,7348.945986307265,1.0,15791.638211498579,0.4587431997303549,10.7,701.0,-0.08,-0.01,-0.14,-0.14,-0.106,,0.006999999999999999
227,icos,15-Aug-17,15-Sep-17,31,266,2,0,23.0,14600000.0,34566584.30097836,,44.38,1818.0,3.0,5054.0,0.7,0.034,15683.0,0.1,0.05,0.76,0.76,-0.17600000000000002,,0.002
228,connectjob,12-Feb-18,30-Apr-18,77,39,7,4,24.0,10437623.0,11997268.0,0.87,0.8252017079498805,7815.0,5.0,6455.0,0.62,0.0,173329.0,-0.35,-2.76,-5.52,-5.52,0.135,,-0.008
229,cargox,23-Jan-18,04-Mar-18,40,96,5,2,10.0,6766164.0,6975427.0,0.97,0.8607916409000721,5702.0,1.0,5053.0,0.5,0.0,1317180.0,-0.06,-0.17,-2.62,-2.62,-0.28300000000000003,,-0.005
230,adbank,15-Dec-17,14-Jan-18,30,145,1,4,5.0,13962900.0,13962900.0,1.0,0.05,6628.0,1.0,6224.0,0.64,-0.16699999999999998,1033600.0,-0.14,-0.15,-2.44,-2.44,-0.303,,-0.004
231,insurepal,16-Jan-18,16-Jan-18,0,143,5,4,24.0,18000000.0,18000000.0,1.0,0.1,6458.0,7.0,7041.0,0.78,2.178,2442080.0,-0.2,-0.24,-3.87,-3.87,-0.23399999999999999,,-0.013000000000000001
232,coinfi,08-Feb-18,18-Feb-18,10,110,3,4,15.0,15000000.0,15000000.0,1.0,0.15,19344.0,1.0,5025.0,0.5124599738064687,1.3840000000000001,21603900.0,-0.18,-0.16,-2.59,-2.59,-0.18899999999999997,,-0.009000000000000001
233,naviaddress,01-Mar-18,31-Mar-18,30,69,7,4,6.0,16900000.0,20119048.0,0.84,0.05,99970.0,2.2297417985057035,201.0,0.38,-0.518,194240.0,-0.63,-1.1,-2.19,-2.19,2.745,,-0.022000000000000002
234,snovio,30-Oct-17,30-Nov-17,31,190,2,2,13.0,2129106.0,10138600.0,0.21,0.01,19870.0,3.0,10596.0,0.44,-0.73,12041.0,0.48,0.23,3.71,3.71,0.032,,0.031
235,nper,19-Jan-18,31-Jan-18,12,128,8,4,15.0,13881450.0,34566584.30097836,,0.2,7348.945986307265,1.0,6420.0,0.4587431997303549,0.679,4371660.0,-0.23,-1.85,-3.7,-3.7,-0.48100000000000004,,-0.023
236,spectiv,08-Dec-17,31-Dec-17,23,159,1,1,8.0,7605767.0,10563565.0,0.72,0.5,7348.945986307265,2.0,3334.0,0.56,-0.966,118105.0,0.05,0.08,1.3,1.16,-0.12,0.292,0.01
237,devery,18-Jan-18,19-Jan-18,1,140,12,8,6.0,10000000.0,10000000.0,1.0,0.19,5260.0,4.0,2901.0,0.24,0.741,862413.0,-0.27,-0.13,-2.03,-2.03,0.287,,0.002
238,encrypgen,01-Jun-17,18-Jul-17,47,325,1,4,7.0,10000005.0,18035526.83829695,,0.03,7348.945986307265,1.0,4726.0,0.4921636783561435,0.9279999999999999,22870.0,0.44,0.24,3.78,3.78,-0.128,,0.024
239,target-coin,15-Jul-17,31-Aug-17,47,281,12,0,4.0,20711412.0,69038040.0,0.3,0.05,14851.802682820096,1.0,1635.0,0.4,-0.16399999999999998,69996.0,0.03,0.09,1.46,1.46,-0.252,,0.021
240,bounty0x,01-Dec-17,15-Dec-17,14,175,12,4,8.0,1602927.0,1602927.0,1.0,0.04,6815.0,1.0,14672.0,0.43663006961152584,0.899,1059090.0,0.37,0.13,2.06,2.06,0.684,,0.013000000000000001
241,ink-protocol,01-Feb-18,28-Feb-18,27,100,1,7,14.0,15000000.0,15000000.0,1.0,0.13,10254.0,1.3894606962523557,4915.0,0.42,-0.303,280064.0,-0.21,-0.04,-0.66,-0.66,-0.226,,-0.005
242,aidcoin,16-Jan-18,01-Feb-18,16,127,6,0,36.0,18632900.0,18632900.0,1.0,0.52,4354.0,1.0,3175.0,0.5718895028025337,0.545,1717320.0,-0.36,-0.23,-3.59,-3.59,-0.131,,-0.005
243,bezop,20-Dec-17,10-Jan-18,21,149,12,7,4.0,13881450.0,34566584.30097836,,0.9121706080373091,6954.0,1.0,15791.638211498579,0.22,0.0,281984.0,0.09,0.03,0.54,0.54,-0.272,,0.012
244,lendingblock,15-Apr-18,22-Apr-18,7,47,4,0,6.0,10000000.0,10000000.0,1.0,0.02,7664.0,5.0,6276.0,0.4,0.5479999999999999,458040.0,-0.24,-1.88,-3.76,-3.76,-0.43200000000000005,,-0.024
245,fidelium,26-Feb-18,26-Mar-18,28,74,1,2,18.0,10000000.0,47619048.0,0.21,-0.07,7348.945986307265,1.0,2468.0,0.36,-4.111000000000001,76937.0,-0.05,-0.37,-0.75,-0.75,-0.161,,-0.023
246,dovu,03-Oct-17,17-Oct-17,14,234,4,4,6.0,6644682.0,28889922.0,0.23,0.11,128.0,2.0,12006.770707423431,0.54,-0.16899999999999998,106502.0,0.09,0.14,2.24,2.24,0.297,,0.013000000000000001
247,wetrust,02-Mar-17,14-Apr-17,43,420,1,4,9.0,4978366.0,16433424.706358928,,0.06,7348.945986307265,1.0,10.0,0.4921636783561435,0.305,165713.0,0.24,0.2,3.11,3.03,-0.028999999999999998,-0.584,0.008
248,worldcore,14-Oct-17,15-Dec-17,62,175,5,4,14.0,25000000.0,100000000.0,0.25,0.1,3054.0,8.0,96000.26118449858,0.52,0.146,151573.0,0.41,0.14,2.23,2.23,0.07200000000000001,,0.003
249,biocoin,01-Nov-17,18-Feb-18,109,110,2,7,18.0,16000000.0,16000000.0,1.0,16.0,323.0,5.0,1269.0,0.38,-0.9990000000000001,41016.0,-0.11,-0.18,-2.92,-2.92,0.098,,-0.002
250,b2bx,02-Oct-17,17-Nov-17,46,203,2,4,22.0,8078602.0,29920748.0,0.27,0.74,1942.0,7.0,3967.0,0.4921636783561435,1.3780000000000001,144393.0,-0.29,0.02,0.3,0.3,-0.261,,0.016
251,aventus,06-Sep-17,06-Sep-17,0,275,4,1,7.0,18780000.0,18780000.0,1.0,3.66,259.0,1.0,15078.901689143211,0.6,0.20199999999999999,950718.0,-0.32,-0.01,-0.18,-0.18,0.08,,0.001
252,jet8,28-Feb-18,14-Mar-18,14,86,7,5,51.0,32700000.0,35934066.0,0.91,0.0974,29178.0,1.0,2119.0,0.5749858098677566,-0.6829999999999999,871036.0,-0.47,-0.03,-0.4,-0.4,0.376,,-0.003
253,eroscoin,11-Oct-17,15-Nov-17,35,205,12,7,7.0,13881450.0,34566584.30097836,,0.05,7348.945986307265,1.0,15791.638211498579,0.42,1.9380000000000002,8548340.0,0.08,-0.07,-1.15,-1.22,0.01,-1.757,-0.003
254,commerceblock,28-Nov-17,19-Dec-17,21,171,4,2,13.0,8820470.0,25201343.0,0.35,0.06,1761.0,3.0,263.0,0.4921636783561435,-0.33799999999999997,85105.0,0.17,1.32,2.64,2.64,-0.841,,0.008
255,bitcrystals,04-Aug-15,03-Sep-15,30,1009,6,0,7.0,20510.0,146500.0,0.14,0.02,5395.366926923923,4.0,6146.0,0.40649005597826066,-0.131,5586.0,-0.06,0.09,1.43,1.43,-0.067,,0.006999999999999999
256,helbiz,15-Feb-18,04-Mar-18,17,96,7,2,13.0,38646754.0,45931858.05932918,,0.8604840901386183,2117.0,1.0,41003.0,0.44,0.0,756160.0,0.16,1.31,2.61,2.61,0.484,,0.022000000000000002
257,adshares,07-Jul-17,12-Jan-18,189,147,12,2,2.0,11900000.0,34566584.30097836,,5.26,1132.0,1.0,2274.0,0.3,-0.927,7590.0,0.19,0.09,1.48,1.48,-0.025,,0.017
258,alis,01-Sep-17,01-Oct-17,30,250,8,4,5.0,3705000.0,37050000.0,0.1,0.15,7769.65093136221,1.0,1752.0,0.6,0.413,337890.0,0.2,0.18,2.92,2.92,-0.10300000000000001,,0.008
259,sportyco,21-Nov-17,08-Dec-17,17,182,5,2,19.0,5087896.0,15899675.0,0.32,0.12,12297.0,1.0,8981.0,0.4921636783561435,0.812,31692.0,0.0,0.07,1.16,1.16,0.086,,0.001
260,fundrequest,20-Nov-17,01-Dec-17,11,189,5,0,11.0,12121040.0,14964247.0,0.81,0.48,11447.0,0.0,13287.0,0.54,-0.491,55032.0,-0.74,-1.28,-2.57,-2.57,1.084,,-0.009000000000000001
261,privatix,19-Oct-17,16-Nov-17,28,204,12,4,16.0,2391939.0,14949619.0,0.16,3.3,1936.0,3.0,707.0,0.48,-0.055,99333.0,0.11,0.15,2.41,2.41,-0.133,,0.026000000000000002
262,mysterium,30-May-17,30-May-17,0,374,1,4,8.0,13325693.0,34566584.30097836,,0.89,2672.0,1.0,12037.0,0.47934871236974885,1.4609999999999999,1632900.0,-0.13,0.03,0.43,0.43,-0.261,,0.002
263,clearpoll,02-Oct-17,26-Oct-17,24,225,9,4,9.0,13881450.0,1300000.0,,0.13,911.0,2.0,120364.0,0.4587431997303549,2.3409999999999997,94539.0,-0.13,0.19,3.04,3.04,-0.141,,0.013999999999999999
264,ip-exchange,28-Feb-18,05-Mar-18,5,95,12,7,12.100648412515675,7904319.0,9299199.0,0.85,0.0122,6369.0,2.317412370806332,13543.455367396242,0.48,-0.483,539393.0,0.11,0.07,1.08,1.08,0.163,,0.006999999999999999
265,linker-coin,25-Nov-17,31-Dec-17,36,159,6,0,20.0,10133235.0,10133235.0,1.0,0.22,2258.0,2.317412370806332,14643.104478691133,0.4921636783561435,-0.588,164191.0,0.02,0.18,0.36,0.36,-0.244,,-0.004
266,hoqu,27-Nov-17,26-Feb-18,91,102,4,2,5.0,18782400.0,32951579.0,0.57,0.17,14735.0,3.0,6199.0,0.84,-0.564,29097.0,-0.15,-0.04,-0.63,-0.63,0.032,,-0.01
267,bigbom,28-May-18,10-Jun-18,13,-2,12,4,13.0,6792000.0,6792000.0,1.0,0.0283,39335.0,2.317412370806332,12006.770707423431,0.72,-0.25,972645.0,0.84,1.45,2.91,2.91,-0.429,,0.04
268,atbcoin,15-Jul-17,13-Sep-17,60,268,12,7,13.474824209645888,20400000.0,34566584.30097836,,0.9,2181.0,3.0,15078.901689143211,0.66,0.289,558166.0,-0.08,-0.02,-0.26,-0.26,-0.08,,-0.001
269,leadcoin,01-Mar-18,11-Mar-18,10,89,7,2,17.0,50000000.0,50000000.0,1.0,0.8604840901386183,12385.0,2.0,1510.0,0.36,0.0,6963540.0,-0.02,0.0,0.0,0.0,-0.228,,-0.009000000000000001
270,insights-network,28-Jan-18,14-Feb-18,17,114,7,0,3.0,17376260.0,17376260.0,1.0,0.15,20730.0,0.0,15078.901689143211,0.3,-0.051,693393.0,-0.33,-0.04,-0.71,-0.71,-0.071,,-0.009000000000000001
271,fidentiax,06-Nov-17,05-Dec-17,29,185,7,4,8.0,1566283.0,2900524.0,0.54,0.93,2464.0,1.0,3960.0,0.22,-0.701,77268.0,0.26,0.07,1.06,1.06,-0.209,,0.003
272,aditus,30-Nov-17,19-Dec-17,19,171,7,4,15.0,7100193.0,22188103.0,0.32,0.05,13394.0,1.0,12006.770707423431,0.44,-0.735,300285.0,0.4,3.16,6.32,6.32,0.18100000000000002,,0.025
273,auctus,10-Apr-18,20-Apr-18,10,49,7,0,12.0,3865575.0,3904621.0,0.99,0.28,8567.0,3.0,9975.0,0.72,1.642,1413630.0,0.16,1.29,2.59,2.59,0.171,,-0.008
274,payfair,01-Nov-17,30-Nov-17,29,190,2,4,8.0,18291.0,11582610.615360258,,0.0,2765.0,5.0,2364.0,0.32,0.0,41498.0,0.16,0.22,3.56,3.56,0.6779999999999999,,0.027999999999999997
275,tokia,04-Dec-17,15-Mar-18,101,85,4,2,7.0,30000000.0,42227032.326398775,,1.0,8229.0,0.0,1672.0,0.5,-0.813,641864.0,0.01,0.02,0.04,0.04,-2.895,,-0.016
276,fintrux-network,07-Feb-18,28-Feb-18,21,100,7,7,6.0,13881450.0,34566584.30097836,,0.9121706080373091,7348.945986307265,1.3894606962523557,15791.638211498579,0.4587431997303549,0.0,102017.0,-0.04,-0.35,-0.69,-0.69,0.207,,-0.022000000000000002
277,publica,01-Nov-17,16-Nov-17,15,204,1,4,21.0,1046210.0,1046210.0,1.0,0.1,1452.0,3.0,2306.0,0.40649005597826066,1.547,1317120.0,-0.07,0.18,2.82,2.82,-0.047,,0.011000000000000001
278,dether,07-Feb-18,09-Feb-18,2,119,5,4,8.0,13444650.0,13444650.0,1.0,0.2,6766.0,1.0,1304.0,0.5,-0.237,40103.0,-0.32,-0.11,-1.69,-1.69,0.583,,0.003
279,peculium,21-Dec-17,24-Jan-18,34,135,5,2,52.0,9917634.0,9917634.0,1.0,0.01,8662.0,3.0,16458.0,0.64,-0.583,69616.0,0.0,0.05,0.78,0.78,0.105,,0.006999999999999999
280,travelflex,13-Dec-17,11-Jan-18,29,148,12,7,11.78575519762246,13881450.0,34566584.30097836,,0.28,102.0,3.0,15791.638211498579,0.5,-0.267,29538.0,-0.18,-0.03,-0.52,-0.52,-0.079,,-0.001
281,adhive,28-Feb-18,14-Mar-18,14,86,5,1,17.0,17491749.0,17491749.0,1.0,0.17,15968.0,1.0,5635.0,0.82,-0.675,772548.0,0.12,0.93,1.86,1.86,-1.422,,-0.002
282,opus,24-Jul-17,24-Aug-17,31,288,12,1,11.0,5737250.0,19783621.0,0.29,0.04,1643.0,1.0,3700.0,0.86,0.299,37435.0,-0.08,0.0,-0.01,-0.01,-0.07400000000000001,,0.032
283,tokes,02-Dec-16,16-Jan-17,45,508,1,0,3.0,13881450.0,34566584.30097836,,5.06,7348.945986307265,1.0,8643.0,0.4587431997303549,-0.897,15471.0,0.25,0.19,2.96,2.96,-0.12,,0.011000000000000001
284,internxt,07-Sep-17,28-Sep-17,21,253,5,4,5.0,220800.0,22080000.0,0.01,1.01,14461.0,2.0,2.0,0.40649005597826066,2.129,294867.0,0.16,0.18,2.87,2.87,-0.086,,0.022000000000000002
285,invacio,12-Mar-18,30-Apr-18,49,39,4,2,14.0,1912074.0,31867900.0,0.06,1.0,897.0,0.0,4236.0,0.3,-0.857,336316.0,-0.67,-1.15,-2.31,-2.31,-0.667,,-0.038
286,amlt,11-Dec-17,29-Jan-18,49,130,12,0,18.0,19042042.0,19042042.0,1.0,0.39,4932.0,0.0,6630.0,0.38,-0.7979999999999999,263017.0,-0.16,-0.01,-0.1,-0.1,0.038,,0.0
287,zrcoin,11-May-17,09-Jun-17,29,364,2,0,11.0,7000000.0,18035526.83829695,,1.55,973.0,7.0,12006.770707423431,0.4921636783561435,47.348,2303.0,0.08,0.03,0.5,0.5,-0.102,,0.006999999999999999
288,viuly,01-Nov-17,15-Nov-17,14,205,5,1,3.0,13881450.0,30000000.0,,0.17,6604.0,1.0,6348.0,0.74,-0.9670000000000001,14913.0,0.32,0.25,4.03,4.03,0.12,,0.028999999999999998
289,bitdice,15-Aug-17,15-Sep-17,31,266,10,7,1.0,8748793.0,24996551.0,0.35,0.1,736.0,3.0,3539.0,0.4921636783561435,0.495,60084.0,0.1,0.18,2.83,2.83,-0.14300000000000002,,0.004
290,atlant,07-Sep-17,01-Nov-17,55,219,2,9,12.0,6663530.0,66635300.0,0.1,0.57,5119.0,5.0,4085.0,0.56,-0.308,323580.0,-0.27,0.04,0.68,0.68,-0.22899999999999998,,0.005
291,sether,15-Jan-18,15-Jan-18,0,144,5,4,14.0,28000000.0,42227032.326398775,,0.8604840901386183,6968.0,2.0,10998.0,0.32,0.0,46969.0,-0.1,-0.05,-0.81,-0.81,-0.27,,-0.006999999999999999
292,voise,06-May-17,06-Jun-17,31,367,5,4,7.02733916083916,64651.0,11582610.615360258,,0.8279986571179905,9058.0,6.0,24125.0,0.40649005597826066,0.0,3629.0,0.29,0.2,3.11,3.11,0.34299999999999997,,0.091
293,gatcoin,17-Dec-17,05-Jan-18,19,154,3,4,17.0,14500000.0,14500000.0,1.0,0.2,3963.0,1.0,4431.0,0.54,-0.604,681451.0,-0.3,-0.23,-3.69,-3.69,-0.044000000000000004,,-0.013000000000000001
294,experty,25-Jan-18,25-Feb-18,31,103,6,5,15.0,9468000.0,9468000.0,1.0,1.05,13859.0,7.0,15744.0,0.82,-0.373,1742640.0,-0.58,-0.12,-1.85,-1.85,-0.053,,-0.011000000000000001
295,real,31-Aug-17,30-Sep-17,30,251,7,9,4.0,10604571.0,33139284.0,0.32,1.38,2001.0,7.0,4541.0,0.52,-0.268,13785.0,0.0,-0.02,-0.34,-0.34,0.109,,0.015
296,hellogold,28-Aug-17,02-Oct-17,35,249,12,4,19.0,5208991.0,16433424.706358928,,0.05,1509.0,1.0,2013.0,0.3,-0.516,28580.0,0.0,0.14,2.29,2.29,-0.141,,0.022000000000000002
297,autonio,22-Sep-17,22-Oct-17,30,229,12,2,9.0,13881450.0,10000000.0,,0.1,4248.0,1.0,6856.0,0.4587431997303549,-0.955,11004.0,0.36,0.27,4.26,4.26,-0.8140000000000001,,0.042
298,herocoin,14-Sep-17,14-Oct-17,30,237,5,7,7.0,2021034.0,15546415.0,0.13,0.0267,1961.0,1.0,13019.90030828643,0.52,-0.24100000000000002,852325.0,0.3,0.16,2.55,2.55,-0.53,,0.024
299,digipulse,01-Oct-17,31-Oct-17,30,220,5,7,6.0,13881450.0,34566584.30097836,,1.21,25256.0,2.0,6412.0,0.4587431997303549,-0.11599999999999999,4092.0,0.12,0.24,3.77,3.77,-0.133,,0.018000000000000002
300,iungo,07-Dec-17,31-Jan-18,55,128,5,4,14.0,45978800.0,45978800.0,1.0,1.15,10636.0,1.0,5008.0,0.72,-0.5870000000000001,885373.0,-0.17,-0.2,-3.17,-3.17,-0.063,,-0.011000000000000001
301,cryptopay,02-Oct-17,30-Oct-17,28,221,4,0,3.0,18148220.0,64815071.0,0.28,0.31,371.0,5.0,8667.0,0.48,0.243,380453.0,0.1,0.07,1.04,1.04,-0.34600000000000003,,0.006
302,blockcat,15-Jul-17,14-Aug-17,30,298,1,4,7.0,6284400.0,6284400.0,1.0,1.0,7348.945986307265,1.0,7987.0,0.42,0.08,28777.0,0.19,0.06,0.96,0.96,-0.191,,0.006999999999999999
303,eboost,13-Sep-16,25-Oct-16,42,591,12,7,11.78575519762246,13881450.0,34566584.30097836,,0.2,7348.945986307265,1.0,15791.638211498579,0.4587431997303549,-0.126,300469.0,0.24,0.13,2.11,2.07,0.086,2.885,0.015
304,upfiring,03-Oct-17,31-Oct-17,28,220,12,4,7.02733916083916,25848.0,11582610.615360258,,0.05,5395.366926923923,1.0,11644.179146630078,0.38,7.382000000000001,362421.0,-0.26,0.21,3.33,3.33,-0.272,,0.016
305,verime,01-Mar-18,31-Mar-18,30,69,7,4,18.0,21720000.0,30166667.0,0.72,0.8604840901386183,38927.0,1.0,9046.0,0.48,0.0,95404.0,-0.3,-2.41,-4.82,-4.82,0.214,,-0.027000000000000003
306,hush,02-May-18,10-Jun-18,39,-2,5,0,12.0,13881450.0,34566584.30097836,0.0,0.8170000000000001,631.0,2.0,774.0,0.46,-0.9490000000000001,69.0,0.01,0.16,2.51,2.51,-0.12300000000000001,,0.03
307,cryptoping,25-May-17,24-Jun-17,30,349,12,4,12.100648412515675,2742420.0,15412846.790607298,,0.28,2.0,8.0,10518.0,0.5039115044430998,0.425,407237.0,-0.19,0.03,0.48,0.48,-0.083,,0.013000000000000001
308,starbase,09-Nov-17,24-Nov-17,15,196,8,4,5.0,8842000.0,10047727.0,0.88,0.1,7348.945986307265,1.0,182.0,0.64,0.078,11977.0,0.31,0.15,2.32,2.32,1.7790000000000001,,0.24600000000000002
309,sense,07-Nov-17,21-Nov-17,14,199,1,5,7.0,15000000.0,15000000.0,1.0,0.1,2416.0,1.0,9040.0,0.44,-0.433,13019.0,0.03,-0.16,-2.58,-2.58,-0.27699999999999997,,-0.002
310,parkgene,15-Jan-18,19-Mar-18,63,81,7,2,5.0,24335000.0,34764286.0,0.7,0.1,6814.0,4.0,775.0,0.6,-0.8740000000000001,58791.0,-0.13,-1.05,-2.1,-2.1,-0.4,,-0.013000000000000001
311,vezt,04-Nov-17,03-Dec-17,29,187,1,1,19.0,1378806.0,15320067.0,0.09,0.5,2811.0,1.0,5402.0,0.54,5.32,2379180.0,-0.14,-0.13,-2.04,-2.04,-0.522,,-0.01
312,tokenbox,14-Nov-17,28-Nov-17,14,192,2,4,8.0,8000000.0,20000000.0,0.4,1.0,1965.0,1.0,2444.0,0.76,0.5,116601.0,-0.15,-0.12,-1.91,-1.91,0.076,,-0.004
313,mywish,25-Oct-17,25-Nov-17,31,195,2,7,8.0,2670000.0,2696970.0,0.99,0.23,2355.0,1.0,4074.0,0.5039115044430998,0.354,305113.0,0.14,0.18,2.8,2.8,0.268,,0.006999999999999999
314,lampix,09-Aug-17,18-Aug-17,9,294,1,4,13.0,14200000.0,59166667.0,0.24,0.26,1680.0,1.0,3394.0,0.4,-0.634,29039.0,0.07,0.06,0.89,0.89,-0.122,,0.005
315,syncfab,15-Feb-18,15-Mar-18,28,85,1,4,9.0,9155717.0,19903733.0,0.46,0.12,10061.0,5.0,14171.586788402423,0.58,-0.612,48703.0,0.02,0.14,0.28,0.28,-0.72,,-0.006
316,reftoken,17-Nov-17,17-Dec-17,30,173,5,2,8.0,13881450.0,48000000.0,,14.0,2862.0,1.0,4316.0,0.4587431997303549,-0.506,129535.0,0.22,0.1,1.57,1.57,-0.091,,0.028999999999999998
317,aigang,15-Nov-17,15-Dec-17,30,175,7,2,7.0,4228920.0,30206571.0,0.14,0.31,4747.0,1.0,7875.0,0.7,12.097000000000001,16206500.0,-0.22,-0.26,-4.06,-4.06,-0.228,,-0.018000000000000002
318,copytrack,10-Dec-17,10-Feb-18,62,118,5,2,4.0,11087368.0,61596489.0,0.18,1.19,8399.0,5.0,15791.638211498579,0.4921636783561435,-0.648,85931.0,-0.1,-0.02,-0.35,-0.35,0.281,,-0.006
319,ethbits,15-Apr-17,13-May-17,28,391,4,4,3.0,1216178.0,11582610.615360258,,1.14,6069.0,1.0,5622.0,0.40649005597826066,0.9209999999999999,3027.0,0.06,0.25,3.94,3.94,30.714000000000002,,1.993
320,bonpay,31-Oct-17,28-Nov-17,28,192,4,2,4.0,10000000.0,18035526.83829695,,0.9,969.0,2.0,10057.0,0.4921636783561435,1.1440000000000001,4834.0,-0.02,0.0,0.04,0.04,-0.099,,0.0
321,ethorse,10-Jan-18,17-Jan-18,7,142,7,7,12.100648412515675,4800000.0,16433424.706358928,,0.8279986571179905,7769.65093136221,1.0,1307.0,0.34,0.0,523864.0,0.01,0.03,0.4,0.4,-0.07200000000000001,,-0.002
322,daneel,29-Jan-18,05-Mar-18,35,95,5,2,15.0,2830400.0,15724444.0,0.18,0.29,6218.0,4.0,12006.770707423431,0.68,-0.833,130556.0,0.37,2.97,5.94,5.94,2.738,,0.067
323,1world,05-Oct-17,06-Nov-17,32,214,1,0,66.0,5000000.0,16433424.706358928,,1.2,6888.0,1.0,7570.0,0.42,-0.657,357311.0,-0.08,-0.01,-0.12,-0.12,-0.083,,0.0
324,coinlancer,14-Oct-17,15-Nov-17,32,205,12,4,36.0,11860153.0,49417304.0,0.24,0.25,7164.0,5.0,2306.0,0.5,0.691,3536710.0,0.03,-0.09,-1.49,-1.49,-0.22,,-0.008
325,starta,04-Jul-17,03-Aug-17,30,309,2,2,13.0,50000009.0,45931858.05932918,,1.0,18986.10291817741,7.0,24188.36461509275,0.6043889604030265,-0.204,6482.0,0.17,0.05,0.73,0.73,-0.635,,0.027000000000000003
326,micromoney,18-Oct-17,18-Nov-17,31,202,12,2,18.0,10541585.0,30118814.0,0.35,1.0,5139.0,2.0,165957.0,0.4921636783561435,-0.326,452417.0,0.31,0.09,1.47,1.47,-0.157,,0.001
327,mercury-protocol,23-Oct-17,23-Nov-17,31,197,1,4,16.0,4749479.0,19789496.0,0.24,0.043,736.0,2.317412370806332,5498.0,0.68,-0.07,42740.0,0.15,0.09,1.47,1.47,-0.033,,0.017
328,blitzpredict,22-Jan-18,22-Feb-18,31,106,12,7,5.0,4374000.0,7290000.0,0.6,0.0292,13695.0,1.0,12006.770707423431,0.52,-0.677,48405.0,-0.04,0.08,1.21,1.21,0.344,,0.016
329,chainium,25-Dec-17,12-Jan-18,18,147,5,2,6.0,3434946.0,5540235.0,0.62,0.0664,7769.65093136221,1.0,80.0,0.54,0.594,70198.0,0.07,0.52,1.04,1.04,0.5920000000000001,,-0.01
330,biotron,27-Mar-18,05-Apr-18,9,64,12,7,11.78575519762246,13881450.0,34566584.30097836,,0.22,2436.0,1.0,15791.638211498579,0.46,-0.8140000000000001,955.0,0.16,1.3,2.61,2.61,0.177,,0.013999999999999999
331,goldmint,20-Sep-17,11-Nov-17,52,209,2,2,11.0,7300000.0,40555556.0,0.18,7.0,11118.0,10.0,2617.0,0.46,-0.634,74776.0,0.24,0.16,2.47,2.47,0.141,,0.015
332,obsidian,12-Aug-17,26-Aug-17,14,286,4,4,6.0,1566332.0,8701844.0,0.18,0.15,796.0,4.0,8993.0,0.62,1.49,262223.0,0.12,0.15,2.45,2.45,-0.033,,0.004
333,verify,29-Nov-17,06-Dec-17,7,184,7,4,9.0,2500000.0,2500000.0,1.0,0.23,3536.0,1.0,508.0,0.5039115044430998,1.44,803439.0,0.32,0.12,1.86,1.86,0.171,,0.009000000000000001
334,eventchain,13-Sep-17,14-Oct-17,31,237,1,1,8.0,772896.0,12881600.0,0.06,1.47,5395.366926923923,1.0,26974.0,0.44,-0.887,1884.0,0.21,0.17,2.74,2.74,-0.525,,0.037000000000000005
335,signals-network,12-Mar-18,09-Apr-18,28,60,12,7,11.0,13881450.0,34566584.30097836,,0.9121706080373091,7348.945986307265,1.3894606962523557,15791.638211498579,0.4587431997303549,0.0,233052.0,-0.15,-0.25,-0.5,-0.5,0.195,,-0.003
