coin,N_google_news
enjin-coin,1
power-ledger,1
kyber-network,1
iexec-rlc,1
ttc-protocol,8
celer-network,4
apollo-currency,0
bnktothefuture,0
nexus,0
ankr-network,0
storm,0
genesis-vision,0
deepbrain-chain,0
time-new-bank,2
poa-network,1
jibrel-network,3
paragon,0
qlc-chain,1
btu-protocol,4
amo-coin,0
litecoin-cash,1
mir-coin,1
fintrux-network,0
linkeye,1
nos,0
divi,0
skrumble-network,2
graft,1
wibson,1
ice-rock-mining,0
zen-protocol,1
morpheus-labs,1
winding-tree,0
bitguild-plat,3
zap,0
the-abyss,1
nebula-ai,1
upfiring,0
silent-notary,0
insights-network,1
ink-protocol,0
ifoods-chain,0
sentinel-chain,0
phi-token,5
fox-trading,0
bezop,0
crowd-machine,1
ubcoin-market,1
lala-world,0
pylon-network,0
ip-exchange,0
bigbom,0
fire-lotto,1
fabric-token,1
engagement-token,1
joint-ventures,0
gold-bits-coin,1
hubii-network,0
bitcrystals,0
starcoin,0
bridge-protocol,0
coin-lion,0
target-coin,0
signals-network,1
menlo-one,4
mithril-ore,1
monster-byte,1
regalcoin,2
plancoin,0
mcap,0
earth-token,0
crystal-clear,1
ethbet,0
karatgold-coin,0
mindol,0
safe-haven,0
game-stars,0
ilcoin,3
dos-network,0
zeon,0
exchange-union,0
solareum,1
when-token,0
asura-coin,0
hybrid-block,0
rocket-pool,0
solomon-exchange,0
smart-investment-fund-token,0
enigma-catalyst,1
finshi-capital,0
atb-coin,0
21-million,3
basic-attention-token,1
mysterium-network,1
metal,4
e4row,0
aragon,0
back-to-earth,0
blockchain-capital,7
melon,1
beyond-the-void,5
arcade-city,0
synereo,1
blockpay,0
plutus,0
project-decorum,0
neucoin,1
migranet,1
dayta,0
loligo,0
tecracoin,0
coincasso,0
uncloak,0
bitwings,0
grayll,0
satt,0
squeezer,0
tagz,0
thefaustflick,0
aquest,0
bcnex,0
coinware,0
creditcoin,0
gingr,0
madana,0
nodis,0
bips,0
conjure,0
inzura,0
tryvium,0
bither,0
cwex,0
digitalbits,0
erecoin,0
kryptoin,0
wulet,0
cryptoxygen,0
geon,0
bineuro,0
eucx,0
pvpchain,0
tokenroll,0
wdx,0
zeosx,0
centaure,0
cogmento,0
eiplatform,0
finafex,0
grabity,0
guarium,0
hashbon,0
kasko2go,0
kimex,0
nobar,0
pantheonx,0
bitenny,0
clarity,0
cresio,0
izzy,0
tanzō,0
betinreal,0
block66,0
crowdtoken,0
crypstock,0
eminent,0
ern,0
highbank,0
homelend,0
povr,0
primary,0
reindeer,0
canyudo,0
discoveryiot,0
iryo,0
mitoshi,0
pimoncoin,0
po8,0
sessia,0
vosai,0
yondocoin,0
glyff,0
wom,0
xcrypt,0
ais,0
bitrus,0
bitschool,0
cryptoriyal,0
cures,0
divider,0
easyguide,0
linix,0
tranium,0
wox,0
aigo,0
bitney,0
bitplay,0
chrypto,0
coinself,0
deneum,0
duniabooking,0
mediar,0
moovin,0
newc,0
owndata,0
shoppercoin,0
smathium,0
tipo,0
tunez,0
wisewolf,0
arfreyr,0
batmine,0
bithercash,0
caxi,0
custodi,0
east2,0
mph-one,0
nedscoin,0
nyigde?,0
redpill,0
reme-coin,0
selfpay,0
shardus,0
teky,0
tiberius,0
unbankedx,0
velic,0
znc,0
bit-paradise,0
bitcub,0
bloomx,0
coinfast,0
gfc,0
ledder,0
nobobox,0
nuvo,0
prevue,0
procurean,0
repu,0
sheepcoin,0
tele,0
tokensgate,0
unicorngo,0
winwincoin,0
yanubuks,0
astra,0
bether,0
biohal,0
burstiq,0
mindfire,0
nativecoin,0
projectinitiators,0
qatar,0
sero,0
xdeck,0
zelaacoin,0
binax,0
eden,0
edumetrix,0
fintechnics,1
herby,0
lovelysuites,0
pitch,0
ripplecash,0
trendit,0
apollo18,0
banccoin,0
bartcoin,0
boontech,0
cgs,0
conun,0
datafund,0
dax,0
globiance,0
glxcoin,0
hirefreehands,0
ironblock,0
marketplace,0
monartis,0
property2chain,0
quantreum,0
verify,0
volans,0
weriz,0
ehab,0
emiba,0
eva,0
foxytrade,0
kryptobits,0
moveco,0
shelterdao,0
titancore,0
unocryptocoin,0
viacash,0
afrolis,0
blackwave,0
cryptomuseum,0
csatoken,0
fizcal,0
herdius,0
irespo,0
marbcoin,0
phantasma,0
safeguard,0
xzen,0
blueqbit,0
dht,0
fueldapp,0
icash,0
localxpose,0
loki,0
onyx,0
taucoin,0
xtock,0
bitcoincorner,0
crowdnext,0
datx,0
gyptex,0
mdk,0
mthereum,0
octaneum,0
opencryptotrust,0
alphaslot,0
corex,0
exocoin,0
sambanx,0
estatecoin,0
soycoin,0
viccoin,0
arkadia,0
consulteth,0
coinepic,0
gamity,0
propthereum,0
ruden,0
wyzerr,0
validcoin,0
interestcoin,0
ironx,0
bqt,0
cryptoprofile,0
grapevine,0
igt,0
iou,0
b21,0
linkercoin,0
simplybrand,0
cryptosoul,0
cryptov8,0
ekkbaz,0
gric,0
online,0
securix,0
wrio,0
birake,0
cmc,0
crypton,0
kaiser,0
lvx,0
quadrant,0
waves,0
aceso,0
axl,0
buglab,0
cryptolancers,0
datablockchain,0
localcoinswap,0
modultrade,0
moolyacoin,0
papusha,0
sportsfix,0
aen,0
coinstocks,0
cryptohit,0
hihealth,0
iam,0
idm,0
milc,0
osa,0
paradise,0
vrt,0
worldwifi,0
xtrd,7
yappadappadoo,0
borneo,0
cryptomillionslotto,2
elepig,5
enigmacatalyst,0
everest,0
fissacoin,0
followine,0
nhct,0
smoke,0
spotcoin,0
acred,0
adsigma,0
aidus,0
crypto20,0
cryptobnb,0
digitize,0
gaia,0
gbpt,0
levelnet,0
lh-crypto,0
midas,0
nai,0
nonzero,0
ofnog,0
pornx,0
pumped,0
safecrypt,0
wizebit,0
3ccoin,0
aclyd,0
apres,0
buddtoken,0
climatecoin,0
cloverdex,0
color,0
dnatix,0
hara,0
helix3,0
instoken,0
naga,0
orca,0
quantum1net,0
seal,0
stay,0
wabi,0
bcshop,3
bitchord,0
bittorrent,0
bolt,0
ccecoin,1
cmbt,0
empowr,0
fic,0
future1coin,0
iat,6
impala,0
indochain,0
intiva,0
investy,0
kurecoin,0
l-pesa,0
levolution,0
pindex,0
pryvatecoin,0
publiq,0
rouge,0
scriptdrop,0
snovio,0
tracoin,0
ukit,0
vidy,0
xcov,0
zom,0
1world,0
auricoin,0
bancryp,0
bittrader,0
börser,0
carboneum,0
cryptorobotics,0
dav,0
dcc,0
ecoinomic,0
gbx,0
genaro,0
infliv,0
katalyse,0
nper,0
oryxcash,0
playtrip,0
sola,0
stk,0
tonercoin,0
yunique,0
b2bx,0
bank4you,0
bftoken,0
blocklicense,0
bloom,0
carex,0
districts,0
dragon,0
eatmecoin,0
etainpower,0
eterbank,0
fairwin,0
gazecoin,0
geens,0
icst,0
lemochain,0
mco,0
mir,0
monopoly,0
msg,0
nam,0
pikcars,0
probit,0
prosense,0
smartrefer,0
snbl,0
sparklecoin,0
trippki,0
twex,0
vio,0
vu,0
aigcoin,0
ammbr,0
astronaut,0
athena,1
betterbetting,5
bitcad,9
bitesprit,0
bittwatt,0
blockhipo,0
blockrx,0
bmybit,0
box2table,0
ccint,0
chex,0
coppay,0
cycloshieldcoin,0
docnota,0
eroiy,0
ethersportz,0
eticket4,0
foodcoin,0
gre,0
greenish,1
harbor,0
hedpay,0
holiday,0
ibuildapp,0
mib,0
mobee,0
modulum,0
mysterium,0
newton,0
nucleus,0
odeep,0
realisto,0
remechain,0
retn,0
sbinvestitions,0
seratio,0
sportyfi,0
stockchain,0
theworldnews,0
tokenpay,0
travelnote,0
verif-y,0
xred,0
zeto,0
4artechnologies,0
acudeen,0
adgonos,0
aiq,0
astrcoin,0
bico,0
birc,0
bitron,0
bopti,0
bytemine,0
chubex,0
corcom,0
cromhub,0
crosspays,0
currenexchange,0
dagt,0
elcoin,0
engyo,0
ethersport,1
explorio,0
extrabit,0
flycare,0
gilgam,0
hiveway,0
homemine,0
hunt,0
kamen,0
kybernetwork,0
lakediamond,0
levelapp,0
like,0
mb8coin,0
minex,0
nametoken,0
netterium,1
omeno,0
pixie,0
playcoin,0
pm7,0
prover,0
r3s,0
ravelous,0
refugecoin,0
shamrock,0
statercoin,0
successlife,0
thrill,0
tokendesk,0
touchtrader,0
trustier,0
unikrn,0
valus,0
vector,0
vres,0
wallchain,0
winkpark,0
x-power,0
xchainge,0
xunilair,3
0x,0
1apayment,0
1kcoin,0
27v,0
adtoken,3
ankorus,0
arbitraging,0
arker,0
arrm,0
atrix,0
aunite,0
bactoalarm,0
bancor,0
bdaq,0
beankh,1
beone,0
bitcoinmax,0
bpay,0
brotherly,0
carry,0
centrality,0
datbit,0
dentix,0
engamechain,0
ethercom,0
etherecash,0
filotech,0
gre8,0
h2sol,0
hi-tek,0
highseek,0
hometoken,0
homni,0
iiottel,0
litra,0
medcash,0
montis,0
multichainexchange,0
nyx,0
onegram,0
ophcrcoin,0
paytailor,1
perkscoin,0
pindify,0
publish,0
qchain,0
sorbase,0
supportmarket,0
tigereum,0
trademonk,0
tripally,0
ucmg,0
upi,0
warrantoken,0
webloc,0
weedo,0
westrendcoin,0
workpress,0
xmp,0
zilla,0
3d-token,0
abl,0
affchain,0
alphathereum,0
aqua,0
arevalor,0
arisebank,0
authenticid,0
bahiti,0
bitheum,0
bitquence,0
bouncy,0
brick,0
buildcoin,0
casagram,0
checqit,0
clickle,0
compositecoin,0
cottagecoin,0
cryptassist,0
cryptum,0
dacsee,0
dinerocoin,0
e-pocket,1
erpcoin,0
fitx,0
gamex,0
gaus,1
geofunders,0
globetrotter,0
iconsort,0
internxt,0
jet8,0
matrexa,0
meetip,0
mine,0
nex,0
parkade,0
percival,0
quantum,0
rasputin,0
saavcoin,0
saisho,0
sportie,0
stokit,0
synco,0
taxicash,0
thought,0
tos,0
totum,0
tourismcoin,0
twixacoin,0
vacuum,0
valena-svcoin,0
venjocoin,0
ventana,0
voxxo,0
wiseplat,0
xronos,0
yobit,0
8gig,0
aaramco,0
alttradex,0
artnoy,0
bcedex,0
bdxalliance,0
bitway,0
bitwoex,0
bounty0x,0
careerxon,0
cartel,0
cfun,0
darcrus,0
dato,1
daxbase,0
deckswap,0
e2c,0
etheraffle,0
extremium,0
farm,0
finx,0
floaterium,0
g-coin,0
ginex,0
gonetworks,0
hedger,0
holdme,0
hplus,0
incx,0
iregmed,0
kissescoin,0
lumenus,0
meterx,0
mineberg,0
mjcoin,0
moviechain,0
mrchain,0
mtcash,0
opakeco,0
rakugo,0
skyway,0
smarthealthcare,0
smrt,0
stonecoin,0
techbench,0
toplancer,0
truxir,0
vicecoin,0
voconetwork,0
vrbtc,0
vrexplosion,0
webn,0
wishcoin,0
wyrify,0
zempa,0
adelphoi,0
aida,0
aston,0
avalon,0
beemedics,0
binocoin,0
bitdice,0
bitsync,0
cryptoabs,0
dealbox,0
decem,0
dropanswer,0
educoin,0
ethoasis,0
fameone,1
foreground,0
gig9,0
hashhive,0
highcastle,0
higher,0
humbyl,0
hussy,0
icobasis,0
idtechnology,0
imdex,0
jboxcoin,0
liblob,0
masscryp,0
medica,0
moneytech,0
neunet,0
oneroot,0
optonium,0
pixinch,0
playingcrypto,0
polymerium,0
rafl,0
roboadvisorcoin,0
sine,0
spacoin,0
stable,0
sunxcoin,0
tresor,0
victortokens,0
wardz,0
whalefund,0
yudi,0
0penproductdb,0
3dax,0
anonhotels,0
arena,0
avesta,0
betboxai,0
circleflowstoken,0
conn3x,0
coralex,0
crypterra,0
cryptoisbn,0
cryptoveno,0
d-zone,0
easylife,0
epoch,0
eqi,0
eventjoin,0
joys,0
streamex,0
toss,0
ffquest,0
skelpy,0
vtrade,0
volum,0
vecap,0
pcore,0
quantocoin,0
alphax,0
webcasino,0
ebosia,0
covex,0
saiterm,1
alendoo,0
isg,0
sharemeall,0
mediconnect,0
tapjets,0
ahrvodeex,0
govearn,0
coingrid,0
oilwellcoin,0
nebluro,0
roc2,0
coinimp,0
fidelitysuite,0
3dchain,0
gec,0
mingo,0
nebeus,0
medibond,0
anna,0
tzero,0
codex,0
2tf,0
travelflex,0
decentbet,0
marketspace,0
mindsync,0
borser,0
wspx,0
kynson,0
nevula,0
nitecrawler,0
zbx,0
metabase,0
buratinobs,0
tok,0
srt,0
miminer,0
blockaip,0
influ,0
robocalls,0
bonafi,0
cromacoin,0
customcoin,0
vendicoins,0
trustbar,0
xcelr,0
supload,0
eyeglobnet,1
nyigde,0
4new,0
lattice,0
certore,0
b2and,0
uulala,0
vlb,0
arcadia,1
mtk,0
genieico,0
tradove,0
multisignio,0
foxcasino,0
mindsports,0
datarius,0
xirkle,0
mondo,0
ewa,0
circles,0
tensorbox,0
abab,0
lewt,0
aidcoin,0
appcoins,0
blockv,0
hellogold,0
opporty,0
ubcoin,0
remme,0
airbloc,1
auctus,0
covesting,0
privatix,0
akropolis,5
caspian,0
wono,0
usechain,0
iagon,0
ftec,0
oneledger,0
fantom,0
edenchain,0
bubbletone,0
polyswarm,1
arcblock,0
vinchain,0
blackmoon,1
icos,6
golos,2
vault12,1
bethereum,0
real,0
mhealthcoin,0
dreamteam,0
cognida,0
varanida,0
vanig,0
friend,0
alethena,0
multiversum,0
ceek,0
sapien,0
omnitude,0
stopthefakes,1
bitguild,5
adhive,0
cappasity,0
play2live,6
fintrux,1
wepower,0
ezpos,0
peculium,4
utrust,0
hacken,1
goldmint,1
tokenstars,5
coss,0
sonm,10
saifu,0
spectiv,0
bitclave,0
indahash,0
pavocoin,0
mydfs,0
streamity,0
mycreditchain,0
egretia,0
tradingene,0
shivom,0
truegame,0
pibble,0
patron,0
friendz,1
havven,0
coinmetro,0
faceter,1
dogezer,0
sp8de,1
parkgene,0
scorum,0
neuromation,0
telcoin,0
madnetwork,0
gladius,0
starbase,0
playkey,0
tierion,1
taas,1
chronobank,1
coti,2
dbrain,1
dmarket,7
cryptocurve,0
cryptyk,0
zeex,0
strykz,0
darcmatter,2
qurrex,0
moneytoken,0
boatpilot,0
moxyone,0
cryptelo,0
skyfchain,0
vestarin,0
experty,0
loci,0
gameflip,0
srg,3
tokenbox,0
coinlancer,0
sense,0
crowdholding,6
universa,0
micromoney,0
rega,0
matryx,0
kickico,0
cajutel,0
humaniq,0
wings,2
crowdvilla,1
gamb,0
alehub,0
grain,0
ethearnal,2
travelchain,1
nau,0
confideal,0
miniapps,1
eloplay,0
worldcore,0
qvolta,0
suretly,0
vtos,1
profede,0
tokenlend,0
familypoints,1
biometrids,0
aware,0
styras,0
bitboost,0
inchain,0
faireum,4
btcex,0
emusic,0
cryptoindex,0
icovo,0
sanuscoin,0
monaize,0
yumerium,0
qiibee,0
citicash,0
12ships,0
solidified,0
valpromise,0
foleum,0
namahe,0
coinet,0
opiria,0
cryptoads,0
dacc,0
curaizon,0
arweave,0
ubex,0
verasity,0
gochain,0
befund,0
blockhive,1
merculet,0
tripbit,0
coinus,7
databrokerdao,0
cosmochain,0
robet,0
eligma,0
well,0
iconiqlab,0
cloudmoolah,1
neurochain,0
giftcoin,0
sunmoney,0
rewardmob,0
lccx,0
skraps,0
taylor,0
thrive,0
crowdcoinage,0
blockex,0
skara,0
onplace,0
cryogen,0
galactikka,0
terraminer,8
gilgamesh,0
midex,0
pocketinns,0
globcoin,0
iht,0
sureremit,0
tokenomy,0
uservice,4
heartbout,5
tekycorp,0
scrinium,0
dimpay,0
aurora,0
bitcomo,0
jincor,1
bitcoen,0
medibloc,0
bankera,1
karma,0
traderstars,1
paycent,0
lucyd,0
esports,2
crypterium,0
dovu,0
payperex,0
wanchain,1
comsa,0
dentacoin,0
wordcoin,1
pluscoin,0
spheris,0
aeron,0
airtoken,2
ambrosus,0
icon,0
herocoin,2
zonto,2
cindicator,2
kin,0
cartaxi,1
latoken,1
detectortoken,0
decentraland,0
equi,0
lampix,1
bitjob,0
mybit,1
coindash,1
autoria,9
insurex,0
tezos,0
adchain,1
minter,7
botchain,0
zuum,0
longcoin,0
thermacoin,0
bytus,0
natee,0
bitzon,0
coinxes,0
gemstra,0
databloc,0
zimrii,0
angrytoken,0
transcendence,0
ojooo,0
housecoin,0
bitvalve,0
membrana,0
weave,0
fieldcoin,0
foodnation,0
biogen,0
imusify,0
synapsecoin,0
masschain,0
spectrium,0
telescopia,0
wise,0
securecryptopayments,0
combox,0
iotw,0
wowx,0
zerobank,0
aassio,0
viaz,0
stattm,0
honeypod,0
airwallet,0
azultec,0
clinicall,0
celernetwork,0
solarex,0
nodeswap,0
lightstreams,0
ukasii,0
auxledger,0
lition,0
mytvchain,0
mediarich,0
klickzie,0
sonata,0
ctr,0
calero,0
volentix,0
brickchain,0
whatsonpic,0
hyperionx,0
hexancoin,0
ipux,0
fortfc,0
fatum,0
gooreo,0
investorim,0
medicohealth,0
baanx,0
mymazzu,0
vtuur,0
xcoynz,0
fructus,0
please,0
akilos,0
swinca,0
shercoin,0
decimated,0
apollox,0
gameworks,0
patentico,0
mobu,0
encrybit,0
tripecosys,0
donocle,0
coindaily,0
list101,0
petchains,0
zynecoin,0
litenett,0
hotcoin,0
bloocys,0
trusted,0
​greenenergycoin,0
sync,0
pgf500,0
lifetask,0
amastar,0
livepod,0
greencoin,0
iov,0
stacktical,0
stackr,0
catscoin,0
betmatch,0
petlife,0
ira,0
neuronx,0
betform,0
webuy,0
lokalize,0
namacoin,0
eso,0
xendbit,0
rilstat,0
ephelants360,0
gamo,0
airdropsmart,0
aerum,0
futureenergy,0
hubrisone,0
drife,0
dexage,0
chainzilla,0
securypto,0
vanm,0
aqer,0
delta-x,0
gstar,0
istapay,0
agavecoin,0
skynavpro,0
betbox,0
tubiex,0
atpc,0
temco,0
povcoin,0
caps,0
ezcash,0
liker,0
rigoblock,0
socialgood,0
contentsprotocol,0
electrominer,0
itrue,0
gastroadvisor,0
alpha-x,0
liqnet,0
declub,0
cryptomarketcloud,0
shipnext,0
redi,0
fidelityhouse,0
spiking,0
viewo,0
cyberlottery,0
gash,0
botxcoin,0
qashback,0
coinshare,0
icumulate,0
onesolution,0
cedium,0
unboxed,0
tropitoken,0
usave,0
intrachain,0
hey,0
ydentity,0
wehome,0
pepperdb,0
hiway,0
ucoin,0
gamedex,0
javvy,0
nfxcoin,0
kambria,0
tenzorum,0
hashbyte,0
pantercon,0
lindax,0
ammeris,0
minedblock,0
impalacoin,0
goldfund,0
amos,0
atisios,0
pldgr,0
remco,0
wokecoin,0
fluzcoin,0
nexxo,0
cryptonote,0
mambocoin,0
rebglo,0
cowrium,0
